clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
niv_TAM,,,,,,,,,,,,,
FUT,1641,1313,679,468,426,101,46,62,19,5,3,2,1
PRES,849,440,420,635,129,338,180,63,37,42,15,6,0
IMPV do not,524,249,5,5,1,1,4,3,0,0,0,0,0
MOD may,137,86,152,95,191,13,14,4,3,0,0,1,0
IMPV,289,193,105,20,43,2,2,0,1,0,1,1,0
MOD let,98,51,304,8,188,0,5,0,0,0,0,0,0
PAST,164,126,149,61,45,38,16,7,8,8,1,1,1
MOD can,177,120,11,60,44,36,13,11,1,2,0,0,0
MOD must,229,125,61,16,11,3,0,2,2,0,0,0,0
MOD is to,163,86,32,12,5,30,0,5,2,1,0,0,0
TO INF,44,46,24,32,97,9,15,31,2,3,0,3,0
PRES PART,62,51,27,26,17,15,8,5,2,5,0,0,0
MOD would,74,36,35,18,23,6,6,14,2,1,3,0,0
PRES do not,61,66,1,37,0,12,34,3,0,0,0,0,0
MOD shall,122,46,24,15,3,0,0,0,0,1,0,0,0
PRES PERF,28,14,18,44,10,16,6,4,3,5,1,0,0
MOD should,56,25,5,22,8,12,3,10,0,1,1,0,0
FUT question,63,7,14,10,3,1,3,0,0,0,0,0,0
PRES wh-question,44,16,6,4,5,0,0,0,0,0,0,0,0
PRES question,43,14,7,5,2,0,3,0,1,0,0,0,0
MOD could,18,16,2,10,3,14,4,3,0,0,2,0,0
MOD quest can,29,3,3,10,2,0,0,0,0,1,0,0,0
MOD might,7,1,2,11,2,1,2,1,0,1,1,1,0
MOD quest should,20,2,2,6,0,0,0,0,0,0,0,0,0
PAST did not,7,21,0,0,0,1,1,0,0,0,0,0,0
MOD quest shall,22,1,3,0,0,0,0,0,0,0,0,0,0
PRES PROG,3,3,2,5,1,4,1,1,0,0,0,0,0
FUT wh-question,9,7,1,0,2,0,0,0,0,0,0,0,0
MOD was to,5,3,1,2,1,5,0,1,0,0,0,0,0
MOD quest would,12,1,2,1,1,0,0,0,0,0,0,0,0
PAST PERF,2,5,4,0,1,3,1,1,0,0,0,0,0
FUT going-to,10,0,0,2,3,0,0,1,0,0,0,0,0
MOD lest,0,0,0,9,2,0,0,0,0,0,0,0,0
PAST PROG,1,3,0,2,0,1,1,0,0,0,0,0,1
HAB used to,3,3,0,0,0,1,0,2,0,0,0,0,0
MOD VB,0,3,0,3,0,0,0,0,0,0,0,0,0
PRES do-support,1,0,1,1,0,0,3,0,0,0,0,0,0
PRES PERF wh-question,6,0,0,0,0,0,0,0,0,0,0,0,0
PAST wh-question,2,3,0,0,1,0,0,0,0,0,0,0,0
PRES PERF question,2,2,1,0,0,0,0,0,0,0,0,0,0
MOD need not,2,2,0,0,0,0,0,0,0,1,0,0,0
MOD quest must,1,2,1,0,0,0,0,0,0,0,0,0,0
MOD that be,0,2,0,0,1,0,0,0,0,0,0,0,0
PAST question,2,1,0,0,0,0,0,0,0,0,0,0,0
MOD quest could,1,1,0,0,0,0,0,0,1,0,0,0,0
FUT PROG,0,0,1,2,0,0,0,0,0,0,0,0,0
FUT PERF,0,1,1,0,0,0,0,0,0,0,0,0,0
JJ,0,0,0,0,1,0,0,0,0,0,0,0,0
PAST do-support,0,0,0,0,0,0,1,0,0,0,0,0,0
VB,0,0,0,0,1,0,0,0,0,0,0,0,0
