clause_rela,cltype_simp,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
Main,x,0.0,-0.07,0.08,-0.03,0.02,-0.04,-0.01,0.0,0.02,0.01,-0.02,-0.0,-0.0,-0.0,0.02,-0.01,0.0,0.01,0.01,0.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,Wx,0.11,-0.1,0.03,-0.03,0.02,-0.04,-0.0,0.01,0.01,0.01,-0.01,0.0,-0.0,0.01,0.0,-0.01,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
Main,Ø,-0.0,-0.02,-0.06,0.03,0.01,0.12,0.03,-0.03,-0.0,-0.01,-0.01,-0.0,0.0,-0.02,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
SubAdv,x,-0.05,0.19,-0.06,0.01,-0.04,-0.04,-0.01,0.0,-0.02,-0.02,-0.0,0.0,-0.0,0.01,-0.01,0.02,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.01,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Main,W,0.01,-0.12,-0.06,0.11,-0.01,0.11,-0.01,0.0,-0.02,-0.02,0.06,-0.0,0.0,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
SubMod,x,-0.18,0.31,-0.05,-0.03,-0.04,-0.05,0.02,0.02,-0.03,0.02,-0.01,0.01,-0.01,0.0,-0.01,0.01,0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Wx,-0.2,0.28,-0.04,-0.01,-0.04,-0.03,0.0,0.0,-0.03,-0.02,0.02,0.01,0.0,0.08,-0.01,0.01,-0.0,0.0,-0.01,0.0,0.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
SubArg,x,-0.06,0.06,-0.04,-0.03,-0.05,-0.05,-0.01,0.02,-0.02,-0.0,0.11,0.01,0.05,-0.0,-0.01,0.01,0.03,-0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Ø,-0.1,0.23,-0.05,-0.01,-0.03,-0.04,0.05,-0.02,-0.01,0.0,0.0,0.01,0.01,-0.01,-0.01,0.03,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Ø,-0.26,0.33,-0.05,-0.05,-0.04,-0.04,0.06,-0.01,-0.03,-0.01,0.02,0.05,-0.0,-0.01,-0.0,0.06,0.0,-0.01,-0.01,-0.01,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
