,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
FUT,1.02,1.63,1.0,0.8,1.06,0.36,0.29,0.75,0.61,0.14,0.25,0.32,1.05
PRES,0.65,0.52,0.9,2.61,0.39,4.16,3.59,1.36,2.91,4.45,4.25,2.45,0.0
IMPV do not,4.09,1.71,0.04,0.05,0.01,0.03,0.19,0.23,0.0,0.0,0.0,0.0,0.0
MOD may,0.46,0.5,1.73,1.26,4.53,0.39,0.78,0.35,0.75,0.0,0.0,1.44,0.0
IMPV,1.55,1.53,1.15,0.24,0.73,0.06,0.11,0.0,0.26,0.0,0.79,1.53,0.0
MOD let,0.33,0.29,5.92,0.09,4.83,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.68,0.91,1.94,0.85,0.81,1.4,1.02,0.69,2.4,2.64,0.84,1.61,11.31
MOD can,1.15,1.23,0.14,1.15,1.08,1.78,1.09,1.49,0.36,0.8,0.0,0.0,0.0
MOD must,2.06,1.41,0.94,0.28,0.26,0.14,0.0,0.27,0.78,0.0,0.0,0.0,0.0
MOD is to,1.84,1.25,0.63,0.29,0.16,2.13,0.0,0.94,1.05,0.56,0.0,0.0,0.0
TO INF,0.32,0.63,0.5,0.92,5.23,0.64,2.03,7.9,1.15,1.92,0.0,11.9,0.0
PRES PART,0.76,1.1,0.85,1.07,0.89,1.58,1.48,1.47,1.63,4.71,0.0,0.0,0.0
MOD would,0.99,0.71,1.15,0.71,1.25,0.6,1.09,4.46,1.63,0.88,8.09,0.0,0.0
PRES do not,0.77,1.62,0.03,1.67,0.0,1.27,7.93,0.88,0.0,0.0,0.0,0.0,0.0
MOD shall,2.68,1.01,0.77,0.6,0.15,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0
PRES PERF,0.44,0.37,0.82,3.37,0.76,2.59,1.63,1.72,3.68,7.0,3.64,0.0,0.0
MOD should,1.24,0.76,0.22,1.44,0.62,1.96,0.83,4.82,0.0,1.35,3.8,0.0,0.0
FUT question,3.23,0.27,0.97,0.87,0.32,0.21,1.18,0.0,0.0,0.0,0.0,0.0,0.0
PRES wh-question,2.75,0.98,0.52,0.44,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES question,2.61,0.83,0.62,0.56,0.29,0.0,1.61,0.0,2.37,0.0,0.0,0.0,0.0
MOD could,0.64,1.03,0.17,1.28,0.46,5.21,2.29,2.72,0.0,0.0,16.09,0.0,0.0
MOD quest can,2.96,0.24,0.4,2.08,0.46,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0
MOD might,0.59,0.12,0.43,4.6,0.76,0.73,2.77,2.14,0.0,6.64,18.75,36.2,0.0
MOD quest should,3.87,0.26,0.43,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST did not,0.59,8.48,0.0,0.0,0.0,0.73,1.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest shall,10.65,0.14,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.34,0.64,0.67,2.64,0.56,5.33,2.04,3.27,0.0,0.0,0.0,0.0,0.0
FUT wh-question,1.74,2.11,0.33,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.74,0.72,0.35,0.99,0.62,8.22,0.0,3.66,0.0,0.0,0.0,0.0,0.0
MOD quest would,4.64,0.23,0.8,0.49,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.26,1.51,1.85,0.0,0.66,4.57,2.42,3.89,0.0,0.0,0.0,0.0,0.0
FUT going-to,3.22,0.0,0.0,1.13,2.44,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,35.72,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.24,1.81,0.0,2.26,0.0,2.66,4.84,0.0,0.0,0.0,0.0,0.0,920.62
HAB used to,0.96,1.81,0.0,0.0,0.0,2.66,0.0,17.86,0.0,0.0,0.0,0.0,0.0
MOD VB,0.0,3.61,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,0.39,0.0,1.2,1.58,0.0,0.0,38.93,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF wh-question,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST wh-question,0.96,3.61,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF question,1.29,2.41,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not,1.29,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.22,0.0,0.0,0.0
MOD quest must,0.64,3.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,0.0,7.23,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST question,3.86,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest could,0.96,1.81,0.0,0.0,0.0,0.0,0.0,0.0,88.28,0.0,0.0,0.0,0.0
FUT PROG,0.0,0.0,3.0,15.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,3.61,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST do-support,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
