clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
niv_TAM,,,,,,,,,,,,,
FUT,0.34,0.28,0.14,0.1,0.09,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
PRES,0.27,0.14,0.13,0.2,0.04,0.11,0.06,0.02,0.01,0.01,0.0,0.0,0.0
IMPV do not,0.66,0.31,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.2,0.12,0.22,0.14,0.27,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0
IMPV,0.44,0.29,0.16,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.15,0.08,0.46,0.01,0.29,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.26,0.2,0.24,0.1,0.07,0.06,0.03,0.01,0.01,0.01,0.0,0.0,0.0
MOD can,0.37,0.25,0.02,0.13,0.09,0.08,0.03,0.02,0.0,0.0,0.0,0.0,0.0
MOD must,0.51,0.28,0.14,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to,0.49,0.26,0.1,0.04,0.01,0.09,0.0,0.01,0.01,0.0,0.0,0.0,0.0
TO INF,0.14,0.15,0.08,0.1,0.32,0.03,0.05,0.1,0.01,0.01,0.0,0.01,0.0
PRES PART,0.28,0.23,0.12,0.12,0.08,0.07,0.04,0.02,0.01,0.02,0.0,0.0,0.0
MOD would,0.34,0.17,0.16,0.08,0.11,0.03,0.03,0.06,0.01,0.0,0.01,0.0,0.0
PRES do not,0.29,0.31,0.0,0.17,0.0,0.06,0.16,0.01,0.0,0.0,0.0,0.0,0.0
MOD shall,0.58,0.22,0.11,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.19,0.09,0.12,0.3,0.07,0.11,0.04,0.03,0.02,0.03,0.01,0.0,0.0
MOD should,0.39,0.17,0.03,0.15,0.06,0.08,0.02,0.07,0.0,0.01,0.01,0.0,0.0
FUT question,0.62,0.07,0.14,0.1,0.03,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0
PRES wh-question,0.59,0.21,0.08,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES question,0.57,0.19,0.09,0.07,0.03,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0
MOD could,0.25,0.22,0.03,0.14,0.04,0.19,0.06,0.04,0.0,0.0,0.03,0.0,0.0
MOD quest can,0.6,0.06,0.06,0.21,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
MOD might,0.23,0.03,0.07,0.37,0.07,0.03,0.07,0.03,0.0,0.03,0.03,0.03,0.0
MOD quest should,0.67,0.07,0.07,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST did not,0.23,0.7,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest shall,0.85,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.15,0.15,0.1,0.25,0.05,0.2,0.05,0.05,0.0,0.0,0.0,0.0,0.0
FUT wh-question,0.47,0.37,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.28,0.17,0.06,0.11,0.06,0.28,0.0,0.06,0.0,0.0,0.0,0.0,0.0
MOD quest would,0.71,0.06,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.12,0.29,0.24,0.0,0.06,0.18,0.06,0.06,0.0,0.0,0.0,0.0,0.0
FUT going-to,0.62,0.0,0.0,0.12,0.19,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
MOD lest,0.0,0.0,0.0,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.11,0.33,0.0,0.22,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11
HAB used to,0.33,0.33,0.0,0.0,0.0,0.11,0.0,0.22,0.0,0.0,0.0,0.0,0.0
MOD VB,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,0.17,0.0,0.17,0.17,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
