clause_rela,prec_part,sum
Main,Ø,3848
Main,_W_,3521
SubMod,_>CR_,590
SubAdv,_KJ_,587
Main,_B_,362
Main,_W_B_,239
SubAdv,_>M_,213
Main,_H=_,173
Main,_L_,172
Main,_MN_,149
Main,_W_>T_,130
Main,_W_MN_,116
Main,_W_L_,114
SubAdv,_W_,111
SubAdv,_LM<N_,110
SubAdv,_PN_,106
SubMod,Ø,103
SubAdv,_W_>M_,99
Main,_W_<L_,92
Main,_MH_,84
Main,_K_,78
SubAdv,Ø,74
Main,_<L_,73
Main,_MJ_,73
Main,_KN_,73
Main,_LMH_,66
Main,_>T_,61
SubAdv,_K_>CR_,57
SubAdv,_W_KJ_,56
Main,_W_>L_,55
Main,_W_W_,54
Main,_>Z_,54
SubArg,_KJ_,52
Main,_>L_,51
Main,_KH_,51
SubAdv,_B_,44
SubArg,_>CR_,44
SubAdv,_KJ_B_,41
Main,_B_HW>_,41
Main,_>M_,37
Main,_GM_,37
Main,_>WLJ_,37
Main,_<L_KN_,36
SubArg,_>T_>CR_,35
Main,_<TH_,33
Main,_MWT[_,32
Main,_KJ_,31
Main,_W_K_,30
SubAdv,_>CR_,29
SubAdv,_<D_,29
SubArg,_MH_,28
Main,_W_MJ_,27
Main,_CM_,26
Main,_LKN_,26
Main,_W_GM_,25
SubAdv,_KJ_L_,24
Main,_W_CM_,24
SubAdv,_<D_>CR_,24
Main,_>P_,23
Main,_W_>XR/_,23
Main,_HNH_,23
Main,_>K_,21
SubArg,Ø,21
Main,_W_MH_,20
SubMod,_C_,19
Main,_N>_,18
SubAdv,_W_B_,18
Main,_ZH_,17
Main,_<WD/_,17
Main,_<D_,15
Main,_W_LMH_,15
Main,_<D_MTJ_,15
Main,_>JK_,14
Main,_HN_,14
Main,_W_>JK_,14
Main,_>XR/_,13
Main,_W_KN_,13
SubAdv,_W_>CR_,13
Main,_W_KH_,13
Main,_W_>XR/_KN_,13
Main,_KKH_,13
SubAdv,_KJ_MN_,12
Main,_<M_,12
SubAdv,_LM<N_>CR_,12
Main,_TXT/_,12
Main,_>W_,11
SubAdv,_KJ_W_,11
Main,_RQ_,11
Main,_MN_L_,10
Main,_H=_L_,10
Main,_W_>T==_,10
Main,_MN_CM_,10
Main,_<L_W_<L_,10
Main,_MTJ_,10
Main,_B_B_,10
Main,_>JKH_,10
Main,_PN_,10
Main,_<D_>N_,9
Main,_XJH[_,9
Main,_>K_B_,9
SubAdv,_KJ_>M_,9
Main,_B_W_B_,9
SubAdv,_KJ_<TH_,9
SubArg,_>M_,8
Main,_W_W_W_,8
SubAdv,_W_MN_,8
Main,_B_Z>T_,8
SubAdv,_KJ_MWT[_,8
SubAdv,_KJ_MJ_,7
Main,_W_<TH_,7
Main,_W_<M_,7
Main,_W_TXT/_,7
Main,_W_ZH_,7
SubAdv,_KJ_>L_,7
Main,_W_>T_W_>T_,7
Main,_W_MN_>JN_,7
SubArg,_C_,7
SubAdv,_W_<L_,7
SubAdv,_>M_B_,7
Main,_W_NQH[_,6
SubAdv,_>M_L_,6
SubAdv,_W_LM<N_,6
Main,_B_HJ>_,6
Main,_L_W_L_,6
SubAdv,_KJ_KN_,6
Main,_LM<N_,6
SubAdv,_KJ_>Z_,6
Main,_B_MH_,6
SubMod,_B_,6
Main,_RQ_B_,6
SubAdv,_>M_<L_,6
SubAdv,_GM_KJ_,6
SubAdv,_>M_CM<[_,6
Main,_W_Z>T_,6
Main,_W_B_W_B_,5
Main,_K_K_,5
SubArg,_H=_,5
Main,_MN_<D_,5
Main,_MN_>JN_,5
SubAdv,_L_,5
Main,_W_B_MH_,5
SubAdv,_W_PN_,5
SubAdv,_W_L_,5
Main,_K_KN_,5
SubAdv,_W_>M_B_,5
Main,_W_MWT[_,5
SubAdv,_>W_KJ_,5
Main,_>N_,5
SubAdv,_KJ_K_,5
Main,_JD<[_,5
SubAdv,_KJ_HNH_,5
Main,_GM_W_,5
SubAdv,_KJ_<L_,5
Main,_GM_B_,5
Main,_B_B_L_,5
Main,_HNH_K_,5
Main,_H=_<L_>LH_,5
Main,_H=_MN_,5
Main,_Z>T_,5
Main,_<L_W_,4
SubAdv,_W_>T_,4
SubAdv,_MN_>CR_,4
Main,_JXDW_,4
Main,_W_MN_CM_,4
SubAdv,_VRM/_,4
Main,_<L_MJ_,4
Main,_JXD/_,4
Main,_W_VRM/_,4
SubAdv,_KJ_>T_,4
Main,_>CR_,4
SubAdv,_RQ_>M_,4
Main,_KMW_,4
SubAdv,_<D_C_,4
SubArg,_B_MH_,4
Main,_W_HNH_,4
Main,_B_L_,4
Main,_B_W_,4
Main,_>T==_,4
Main,_MDW<_,4
Main,_CWB[_,4
Main,_MN_W_,4
SubAdv,_W_>M_KH_,4
Main,_GM_L_,4
SubAdv,_KJ_<FH[_,4
Main,_L_<L_,4
Main,_GM_>T_,4
Main,_>XR/_KN_,4
Main,_H=_>P_,4
Main,_BJN/_,4
SubAdv,_B_>CR_,4
Main,_CLM[_,4
Main,_NTN[_,4
Main,_MXR/_,4
Main,_K_B_,4
SubArg,_KJ_MWT[_,4
Main,_HN_B_,3
Main,_H=_B_,3
SubAdv,_KJ_GM_,3
SubAdv,_W_>M_PFH[_,3
Main,_W_W_>T==_,3
SubAdv,_KJ_>M_B_,3
Main,_MN_>T==_,3
Main,_RQ_W_,3
Main,_RQ_>T_,3
Main,_VRM/_,3
Main,_W_<D_,3
SubAdv,_>M_KH_,3
Main,_W_<WD/_,3
SubAdv,_W_K_,3
Main,_<L_Z>T_,3
SubMod,_L_,3
Main,_>K_>L_,3
Main,_>K_>T_,3
Main,_>K_>T_ZH_,3
Main,_>LH_,3
Main,_H=_JD<[_,3
SubAdv,_W_>T_>CR_,3
Main,_>M_CWB[_,3
Main,_W_>L_MJ_,3
Main,_>SP[_,3
Main,_>T_MJ_,3
SubAdv,_KJ_MXR/_,3
Main,_>T_W_>T_,3
Main,_HLK[_,3
Main,_H=_K_,3
Main,_W_>LH_,3
Main,_BW>[_,3
Main,_W_>N_,3
SubAdv,_>P_KJ_,3
Main,_JWMM_,3
Main,_L_L_,3
Main,_HW>_,3
Main,_L_MJ_,3
Main,_L_ZH_,3
Main,_K_<L_,3
Main,_JXD/_<L_,3
Main,_L_B_,3
Main,_K_MH_,3
SubAdv,_KJ_>JK_,3
SubAdv,_KJ_<WD/_,3
SubArg,_MJ_,3
Main,_W_W_B_,3
SubAdv,_>M_MN_,3
Main,_LMH_ZH_,3
SubAdv,_W_>M_G>L[_,3
SubAdv,_W_>L_,3
Main,_W_TMJD/_,3
SubMod,_ZW_,3
Main,_W_>Z_,3
Main,_W_B_ZH_,3
Main,_W_GM_>T_,3
SubAdv,_<L_>CR_,3
Main,_W_>T_Z>T_,3
SubAdv,_W_<M_,3
Main,_W_L_W_L_,3
Main,_W_MDW<_,3
SubAdv,_W_<D_,3
