niv_TAM,sum
FUT,4766
PRES,3154
IMPV do not,792
MOD may,696
IMPV,657
MOD let,654
PAST,625
MOD can,475
MOD must,449
MOD is to,336
TO INF,306
PRES PART,218
MOD would,218
PRES do not,214
MOD shall,211
PRES PERF,149
MOD should,143
FUT question,101
PRES question,75
PRES wh-question,75
MOD could,72
MOD quest can,48
MOD might,30
PAST did not,30
MOD quest should,30
MOD quest shall,26
PRES PROG,20
FUT wh-question,19
MOD was to,18
PAST PERF,17
MOD quest would,17
FUT going-to,16
MOD lest,11
PAST PROG,9
HAB used to,9
MOD VB,6
PAST wh-question,6
PRES do-support,6
PRES PERF wh-question,6
MOD need not,5
PRES PERF question,5
MOD quest must,4
FUT PROG,3
MOD that be,3
MOD quest could,3
PAST question,3
FUT PERF,2
JJ,1
PAST do-support,1
VB,1
