prec_part,FUT,PRES,IMPV do not,MOD may,IMPV,MOD let,PAST,MOD can,MOD must,MOD is to,TO INF,PRES PART,MOD would,PRES do not,MOD shall,PRES PERF,MOD should,FUT question,PRES wh-question,PRES question,MOD could,MOD quest can,MOD might,MOD quest should,PAST did not,MOD quest shall,PRES PROG,FUT wh-question,MOD was to,MOD quest would,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,PRES do-support,PRES PERF wh-question,PAST wh-question,PRES PERF question,MOD need not,MOD quest must,MOD that be,PAST question,MOD quest could,FUT PROG,FUT PERF,JJ,PAST do-support,VB
Ø,-0.02,-0.05,0.09,0.0,0.0,0.06,0.01,-0.02,-0.0,0.0,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
_W_,0.08,-0.11,0.01,0.03,-0.01,0.03,-0.01,-0.0,0.0,-0.01,0.02,0.0,0.0,0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
_KJ_,-0.05,0.25,-0.05,-0.04,-0.04,-0.05,-0.01,0.0,-0.03,-0.02,0.01,-0.0,-0.01,-0.0,-0.01,0.03,0.01,-0.0,0.0,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
_>CR_,-0.17,0.3,-0.05,-0.02,-0.04,-0.04,0.01,0.01,-0.03,0.03,0.0,0.01,-0.01,0.01,-0.01,0.02,0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_B_,0.02,0.1,-0.04,-0.01,0.02,-0.04,0.02,-0.01,0.0,0.02,-0.02,-0.01,-0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_>M_,-0.12,0.22,-0.05,-0.04,-0.03,-0.05,-0.01,0.0,-0.03,-0.02,-0.01,-0.0,0.0,0.05,0.02,0.03,-0.01,0.01,-0.01,0.01,0.0,0.02,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_B_,0.05,0.01,0.02,-0.04,0.03,-0.03,0.02,-0.02,0.02,0.02,-0.01,0.0,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_L_,0.09,0.08,-0.05,-0.0,-0.01,-0.02,0.02,-0.03,-0.01,0.01,-0.01,-0.0,0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_H=_,-0.26,-0.11,-0.05,-0.05,-0.05,-0.04,-0.04,-0.03,-0.03,-0.02,-0.02,-0.01,0.02,-0.01,-0.0,-0.01,0.01,0.23,-0.01,0.18,0.01,0.12,-0.0,0.03,-0.0,0.09,-0.0,-0.0,-0.0,0.04,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
_MN_,-0.06,0.09,-0.05,-0.01,0.05,-0.03,0.07,-0.01,0.02,0.03,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>T_,-0.01,-0.14,-0.03,-0.03,0.17,-0.03,-0.04,-0.02,0.08,0.03,-0.01,-0.01,-0.01,0.01,0.08,-0.0,-0.01,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_MN_,0.1,-0.04,-0.01,-0.03,-0.0,-0.02,0.03,-0.02,0.0,0.01,0.0,0.01,0.0,-0.01,0.0,-0.01,-0.01,0.01,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_L_,0.16,-0.02,-0.03,-0.05,0.06,-0.04,0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,-0.0,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_LM<N_,-0.04,-0.16,-0.05,0.46,-0.03,-0.04,-0.03,-0.02,-0.03,-0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.0,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_PN_,0.15,-0.17,-0.02,0.06,-0.04,-0.04,-0.04,-0.02,-0.03,-0.02,0.06,-0.01,0.0,0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MH_,-0.18,-0.12,-0.05,-0.03,-0.04,-0.04,-0.04,0.22,-0.03,-0.01,0.05,0.04,0.03,-0.01,0.07,0.01,0.07,-0.01,0.08,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_>M_,-0.24,0.36,-0.03,-0.04,-0.04,-0.04,-0.04,-0.0,-0.03,-0.02,-0.0,-0.01,-0.0,0.17,-0.01,0.01,-0.01,0.0,-0.01,0.0,0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_W_<L_,0.04,0.06,-0.03,-0.03,-0.0,-0.04,0.06,-0.02,0.01,0.04,-0.02,-0.0,0.02,-0.01,-0.01,-0.0,0.0,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_K_,-0.02,0.09,-0.05,-0.05,0.01,-0.04,0.02,-0.03,0.01,0.03,-0.01,0.06,0.01,-0.0,0.02,0.01,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_MJ_,-0.05,-0.15,-0.05,-0.01,-0.04,-0.04,-0.03,0.36,-0.03,-0.02,0.05,-0.0,0.05,-0.01,-0.0,0.0,0.02,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_<L_,0.06,0.06,-0.04,-0.05,0.03,-0.04,-0.0,-0.03,-0.0,0.03,-0.02,0.04,0.02,-0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
_KN_,0.28,-0.16,-0.05,0.02,0.04,-0.04,0.04,-0.03,-0.0,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
