eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,p3,2012,598,217,355,237,169,183,64,79,82,19,9
FUT ~ MOD shall,p3,1401,235,168,186,264,298,41,56,48,79,26,0
FUT,p1,1161,459,220,2,48,79,201,148,3,0,1,0
FUT,p3,1101,210,109,229,185,134,51,56,62,41,24,0
IMPV,p2,633,410,180,0,2,21,13,7,0,0,0,0
IMPV ~ MOD shall,p2,473,302,162,0,0,4,5,0,0,0,0,0
PRES,p2,421,296,65,1,8,2,33,15,0,1,0,0
MOD let,p3,348,22,18,22,28,15,65,43,101,5,29,0
PAST,p3,332,75,51,53,31,30,57,5,14,12,3,1
FUT ~ PRES,p3,289,66,34,38,57,49,11,12,8,9,5,0
FUT ~ MOD shall,p2,287,141,74,4,11,38,8,10,0,1,0,0
MOD may,p3,271,27,16,44,30,11,10,48,39,10,36,0
PRES,p1,263,163,27,0,8,5,40,15,1,1,0,3
FUT,p2,256,152,45,5,9,5,28,12,0,0,0,0
MOD must ~ MOD shall,p3,221,84,46,15,23,39,5,1,1,6,1,0
MOD is to ~ MOD shall,p3,205,65,36,33,28,20,6,2,2,13,0,0
MOD let,p1,200,15,5,0,1,0,94,84,1,0,0,0
MOD can,p3,168,37,20,42,32,20,5,0,0,11,1,0
MOD let ~ MOD may,p3,124,9,2,5,11,9,15,14,47,2,10,0
MOD shall,p3,122,24,18,26,33,11,4,0,2,4,0,0
IMPV ~ MOD let,p3,117,8,6,18,11,8,13,12,23,7,11,0
MOD must ~ MOD shall,p2,116,74,36,1,1,4,0,0,0,0,0,0
MOD shall ~ PRES,p3,104,32,9,10,19,19,6,1,3,3,2,0
FUT ~ MOD may,p3,101,17,12,12,5,5,6,20,6,7,11,0
MOD is to ~ MOD shall,p2,90,63,17,2,2,4,1,1,0,0,0,0
FUT ~ MOD shall,p1,81,51,14,1,3,2,4,6,0,0,0,0
FUT ~ PRES,p1,80,34,9,0,4,8,16,9,0,0,0,0
PAST,p1,80,24,15,0,1,0,20,20,0,0,0,0
PRES ~ PRES PART,p3,78,32,13,6,9,1,10,4,0,3,0,0
MOD would,p3,76,22,3,8,19,3,5,8,2,3,3,0
FUT ~ PRES,p2,74,44,22,0,0,1,5,2,0,0,0,0
MOD may,p1,72,5,3,0,0,0,2,61,0,1,0,0
PAST ~ PRES,p3,71,24,8,8,11,8,7,3,1,1,0,0
MOD may,p2,59,42,11,2,0,0,1,3,0,0,0,0
MOD can,p1,59,39,15,0,1,1,3,0,0,0,0,0
MOD shall,p1,56,46,4,0,0,0,4,2,0,0,0,0
MOD may ~ PRES,p3,53,9,4,15,8,1,2,3,6,1,4,0
PRES ~ PRES PERF,p3,51,14,3,15,6,3,2,1,3,4,0,0
TO INF,p3,47,9,7,0,2,0,5,22,0,1,1,0
FUT ~ MOD can,p3,46,12,7,4,13,8,1,1,0,0,0,0
MOD can ~ PRES,p3,45,13,5,14,6,5,1,0,0,1,0,0
FUT ~ MOD lest,p3,45,10,7,19,1,1,0,0,0,7,0,0
MOD should,p3,44,10,2,17,3,2,0,4,2,4,0,0
MOD can,p2,44,32,8,0,1,1,2,0,0,0,0,0
FUT ~ MOD may,p1,44,1,4,0,0,1,8,29,0,0,1,0
IMPV,p3,44,4,1,6,5,3,2,4,12,4,3,0
MOD shall,p2,43,23,10,3,3,3,1,0,0,0,0,0
MOD may ~ MOD shall,p3,42,0,0,5,15,13,0,3,3,2,1,0
MOD would,p1,41,13,8,0,1,0,12,7,0,0,0,0
PAST,p2,40,16,12,0,0,2,9,1,0,0,0,0
IMPV ~ MOD shall,p3,37,11,4,7,4,6,1,0,1,3,0,0
MOD can ~ MOD may,p1,36,3,1,0,0,0,0,31,0,0,1,0
PRES PART,p3,35,13,7,2,2,4,5,1,0,1,0,0
PRES ~ TO INF,p3,35,13,7,2,0,1,4,6,0,1,0,1
PRES PERF,p3,34,7,2,16,2,1,2,1,0,2,0,1
MOD should,p1,33,27,2,1,1,0,0,1,0,1,0,0
IMPV ~ PRES,p2,32,12,14,0,3,1,1,1,0,0,0,0
MOD could,p3,30,18,3,5,1,1,0,0,0,2,0,0
PRES ~ PRES PERF,p2,29,21,5,0,0,0,3,0,0,0,0,0
MOD shall ~ PRES,p2,27,20,5,0,1,0,1,0,0,0,0,0
IMPV ~ PRES,p3,26,1,5,2,4,2,1,0,8,2,0,1
MOD would ~ PAST,p3,26,8,9,1,2,4,0,0,1,1,0,0
MOD can ~ MOD may,p3,25,7,5,5,2,2,0,3,0,0,1,0
MOD can ~ MOD shall,p1,23,18,1,0,0,0,0,3,0,1,0,0
