,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,p3,-14.23,-12.87,23.94,1.81,-1.1,5.81,-0.23,3.01,6.41,0.57,3.44
FUT ~ MOD shall,p3,-66.99,-4.75,3.22,25.78,47.76,-10.91,-0.37,8.74,2.35,3.86,-0.61
FUT,p3,-39.14,-8.21,25.55,12.71,3.35,-1.94,-0.07,1.16,13.66,1.9,-0.41
FUT,p1,7.62,7.85,-44.16,-8.84,-0.66,7.52,3.91,-12.21,-5.24,-2.19,-0.2
IMPV ~ MOD shall,p2,30.42,22.3,-23.41,-22.44,-15.02,-8.22,-6.66,-5.8,-4.07,-0.92,0.0
PRES,p2,43.16,-0.2,-19.34,-10.87,-15.21,0.5,0.11,-4.07,-3.53,-0.73,0.0
PAST,p3,-8.32,-0.12,2.28,-0.19,-0.03,10.8,-1.21,0.39,2.02,0.34,0.44
FUT ~ MOD shall,p2,4.14,4.53,-9.31,-4.15,1.5,-2.27,0.06,-2.43,-2.31,-0.37,0.0
FUT ~ PRES,p3,-6.41,-1.39,0.68,5.88,4.29,-1.17,0.21,0.14,0.41,0.61,0.0
FUT,p2,11.97,0.31,-6.99,-4.03,-5.67,1.84,0.67,-3.01,-1.95,-0.39,0.0
PRES,p1,17.27,-1.55,-11.89,-4.8,-5.37,4.45,0.0,-1.96,-1.18,-0.39,2.42
MOD must ~ MOD shall,p3,0.03,1.2,-1.21,0.04,4.01,-2.25,-1.94,-0.08,-0.85,0.0,0.0
MOD is to ~ MOD shall,p3,-1.03,0.25,1.78,0.79,0.09,-1.5,-1.14,2.04,-0.35,-0.2,0.0
IMPV,p2,0.45,13.78,-8.77,-7.0,-0.05,-0.06,0.17,-2.15,-1.46,-0.2,0.0
MOD can,p3,-4.61,-0.77,6.39,3.32,0.55,-1.23,-2.14,2.01,-1.28,0.0,0.0
MOD shall,p3,-4.54,-0.09,3.22,6.85,0.0,-0.71,-1.44,0.11,0.0,0.0,0.0
MOD may,p3,-3.43,-1.1,4.77,3.41,-0.2,-1.61,0.22,1.06,-0.28,0.79,0.0
MOD must ~ MOD shall,p2,7.75,4.24,-4.27,-4.09,-1.62,-3.05,-1.46,-1.08,-0.75,0.0,0.0
MOD shall ~ PRES,p3,-0.52,-1.26,0.0,1.72,2.06,0.0,-0.58,0.11,-0.14,0.91,0.0
MOD is to ~ MOD shall,p2,9.34,0.32,-2.27,-2.11,-0.84,-1.52,-0.43,-0.93,-0.57,0.0,0.0
PRES ~ PRES PART,p3,0.25,0.06,-0.33,0.15,-2.21,1.43,0.48,0.3,-0.38,0.0,0.0
PAST,p1,-0.54,0.36,-3.54,-2.39,-3.16,5.72,11.31,-0.76,-0.39,0.0,0.0
FUT ~ PRES,p2,4.07,2.21,-3.37,-3.16,-1.86,0.09,0.0,-0.56,-0.39,0.0,0.0
FUT ~ MOD shall,p1,6.24,0.37,-2.4,-1.51,-1.19,-0.62,0.28,-0.56,-0.39,0.0,0.0
FUT ~ MOD may,p3,-1.84,0.06,0.91,-0.36,-0.16,0.09,0.28,2.31,0.73,2.02,0.0
PAST ~ PRES,p3,-0.27,-0.48,0.07,0.78,0.27,0.63,0.29,-0.14,0.0,0.0,0.0
MOD would,p3,-0.49,-2.49,0.07,4.23,-0.67,0.09,1.08,0.34,0.18,0.0,0.0
MOD may,p2,6.68,0.23,-1.06,-2.42,-2.24,-0.74,0.35,-0.38,-0.2,0.0,0.0
FUT ~ PRES,p1,1.37,0.0,-2.63,-0.29,0.08,1.25,-0.0,-0.38,-0.2,0.0,0.0
MOD can,p1,4.77,1.15,-2.64,-1.56,-1.39,0.0,-0.57,-0.38,-0.2,0.0,0.0
MOD shall,p1,12.19,-1.03,-2.46,-2.26,-2.07,0.11,-0.58,-0.39,-0.2,0.0,0.0
PRES ~ PRES PERF,p3,-0.83,-1.27,3.66,0.19,-0.2,-0.11,0.0,1.22,1.06,0.0,0.0
FUT ~ MOD can,p3,-0.9,0.0,-0.09,3.26,1.12,-0.43,0.0,-0.19,0.0,0.0,0.0
MOD can ~ PRES,p3,-0.55,-0.37,3.74,0.34,0.21,-0.44,-0.39,0.0,0.0,0.0,0.0
MOD can,p2,5.59,0.17,-1.91,-1.08,-0.91,0.0,-0.39,-0.19,0.0,0.0,0.0
FUT ~ MOD lest,p3,-1.36,-0.08,7.42,-1.08,-0.91,-0.93,-0.39,3.6,0.0,0.0,0.0
MOD shall,p2,1.41,0.67,-0.21,-0.21,-0.1,-0.44,-0.39,-0.2,0.0,0.0,0.0
MOD should,p3,-0.98,-1.27,6.58,-0.1,-0.23,-0.96,0.0,1.55,0.25,0.0,0.0
PAST,p2,0.13,1.3,-1.73,-1.52,-0.24,3.1,0.0,-0.2,0.0,0.0,0.0
MOD may ~ MOD shall,p3,-7.44,-2.57,0.23,5.05,4.73,-0.76,0.0,0.0,0.75,0.69,0.0
IMPV ~ MOD shall,p3,-0.31,-0.97,1.02,0.11,0.86,-0.14,-0.2,1.09,0.29,0.0,0.0
PRES PART,p3,0.0,0.31,-0.24,-0.24,0.24,1.11,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,p3,-0.67,-0.19,2.08,1.1,-1.15,0.0,0.5,-0.0,0.0,0.0,0.0
PRES PERF,p3,-1.3,-0.8,6.98,-0.24,-0.43,0.0,0.0,0.58,0.0,0.0,1.35
MOD should,p1,7.17,-0.82,-0.6,-0.6,-1.16,-0.57,-0.2,0.21,0.0,0.0,0.0
PRES ~ TO INF,p3,0.15,0.48,-0.11,-1.16,-0.45,0.84,0.56,0.22,0.0,0.0,1.39
MOD could,p3,1.86,-0.33,0.43,-0.44,-0.45,-0.58,-0.2,0.66,0.0,0.0,0.0
