eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PRES,p3,2.36,8.25,4.65,7.47,10.88,9.97,30.86,25.06,23.48,117.06,222.0
FUT ~ MOD shall,p3,4.89,7.24,6.45,4.25,3.65,33.62,27.27,29.78,16.53,64.95,inf
FUT,p3,4.22,9.0,3.76,4.89,7.13,20.37,21.24,16.58,25.59,50.9,inf
FUT,p1,1.29,3.65,503.0,20.45,11.92,6.47,10.86,335.0,inf,1007.0,inf
IMPV,p2,0.58,2.41,inf,283.5,26.1,46.42,80.29,inf,inf,inf,inf
IMPV ~ MOD shall,p2,0.57,1.91,inf,inf,117.0,93.4,inf,inf,inf,inf,inf
PRES,p2,0.42,5.48,420.0,51.62,209.5,11.76,27.07,inf,420.0,inf,inf
PAST,p3,3.41,5.49,5.37,9.68,10.03,4.81,65.2,22.64,26.58,109.33,330.0
MOD let,p3,14.37,17.25,18.47,10.23,21.46,3.56,7.34,2.6,72.0,14.37,inf
FUT ~ PRES,p3,3.35,7.44,6.55,4.04,4.86,25.09,25.09,34.88,30.89,70.75,inf
FUT ~ MOD shall,p2,1.04,2.86,70.5,25.0,6.53,34.75,27.6,inf,285.0,inf,inf
FUT,p2,0.68,4.64,49.8,27.22,49.8,8.41,20.17,inf,inf,inf,inf
PRES,p1,0.57,8.19,inf,30.0,48.6,5.89,26.56,247.0,247.0,inf,81.67
MOD may,p3,7.3,13.0,4.21,6.72,19.36,23.89,5.05,10.79,23.89,8.33,inf
MOD must ~ MOD shall,p3,1.64,3.76,13.6,8.52,4.62,42.8,218.0,218.0,42.8,218.0,inf
MOD is to ~ MOD shall,p3,2.14,4.67,5.18,6.56,9.2,33.0,101.0,101.0,14.69,inf,inf
MOD can,p3,3.54,7.4,3.0,4.25,7.4,32.6,inf,inf,14.27,167.0,inf
MOD shall,p3,4.08,5.78,3.69,2.7,10.09,29.5,inf,60.0,29.5,inf,inf
MOD must ~ MOD shall,p2,0.58,2.19,114.0,114.0,27.75,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p3,2.19,10.33,9.2,4.37,4.37,16.0,101.0,101.0,33.0,50.0,inf
MOD let ~ MOD may,p3,19.0,49.0,24.0,10.11,11.5,6.69,6.14,1.56,99.0,19.0,inf
IMPV ~ MOD let,p3,15.17,23.25,7.82,8.7,11.12,6.46,7.08,3.85,23.25,9.78,inf
FUT ~ MOD may,p3,4.29,6.5,6.5,17.0,17.0,17.0,4.62,17.0,11.86,14.0,inf
MOD is to ~ MOD shall,p2,0.43,4.29,44.0,44.0,21.5,89.0,89.0,inf,inf,inf,inf
PRES ~ PRES PART,p3,1.44,5.0,12.0,7.67,77.0,6.8,18.5,inf,25.0,inf,inf
PAST,p1,2.21,4.13,inf,76.0,inf,3.28,3.05,inf,inf,inf,inf
FUT ~ MOD shall,p1,0.52,4.43,75.0,24.33,37.0,37.0,18.0,inf,inf,inf,inf
FUT ~ PRES,p2,0.68,2.36,inf,inf,73.0,13.8,36.0,inf,inf,inf,inf
PAST ~ PRES,p3,1.96,7.88,7.88,5.45,7.88,9.14,22.67,70.0,70.0,inf,inf
MOD let,p1,10.83,16.75,inf,70.0,inf,1.73,1.09,inf,inf,inf,inf
MOD would,p3,2.23,22.67,7.88,2.74,22.67,13.2,10.83,34.5,22.67,inf,inf
FUT ~ PRES,p1,1.19,6.56,inf,16.0,8.71,4.23,16.0,inf,inf,inf,inf
MOD may,p2,0.4,4.36,28.5,inf,inf,58.0,18.67,inf,inf,inf,inf
MOD can,p1,0.53,2.87,inf,57.0,57.0,18.33,inf,inf,inf,inf,inf
MOD shall,p1,0.2,12.75,inf,inf,inf,12.75,54.0,inf,inf,inf,inf
PRES ~ PRES PERF,p3,2.64,16.0,2.4,7.5,16.0,24.5,50.0,16.0,11.75,inf,inf
MOD may ~ PRES,p3,4.44,11.25,2.27,6.0,48.0,23.5,15.33,11.25,48.0,15.33,inf
FUT ~ MOD can,p3,2.83,5.57,10.5,2.54,4.75,45.0,45.0,inf,inf,inf,inf
FUT ~ MOD lest,p3,3.5,5.43,1.37,44.0,44.0,inf,inf,inf,5.43,inf,inf
MOD can ~ PRES,p3,2.46,8.0,2.21,6.5,8.0,44.0,inf,inf,44.0,inf,inf
MOD can,p2,0.38,4.5,inf,43.0,43.0,21.0,inf,inf,inf,inf,inf
MOD should,p3,3.3,20.5,1.53,13.33,20.5,inf,13.33,20.5,9.75,inf,inf
MOD may,p1,9.75,13.33,inf,inf,inf,42.0,0.26,inf,42.0,inf,inf
MOD shall,p2,0.87,3.3,13.33,13.33,13.33,42.0,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p3,inf,inf,7.4,1.8,2.23,inf,13.0,13.0,20.0,41.0,inf
TO INF,p3,3.67,5.0,inf,20.0,inf,7.4,1.33,inf,41.0,inf,inf
PAST,p2,1.44,2.55,inf,inf,18.5,3.33,38.0,inf,inf,inf,inf
IMPV ~ MOD shall,p3,2.18,16.5,4.0,7.75,4.83,34.0,inf,34.0,10.67,inf,inf
PRES ~ TO INF,p3,1.69,4.0,16.5,inf,34.0,7.75,4.83,inf,34.0,inf,34.0
PRES PART,p3,1.69,4.0,16.5,16.5,7.75,6.0,34.0,inf,34.0,inf,inf
PRES PERF,p3,3.86,16.0,1.12,16.0,33.0,16.0,33.0,inf,16.0,inf,33.0
MOD should,p1,0.22,15.5,32.0,32.0,inf,inf,32.0,inf,32.0,inf,inf
IMPV ~ PRES,p2,1.67,1.29,inf,9.67,31.0,31.0,31.0,inf,inf,inf,inf
IMPV,p3,6.75,30.0,4.17,5.2,14.5,30.0,6.75,9.33,6.75,30.0,inf
MOD could,p3,0.67,9.0,5.0,29.0,29.0,inf,inf,inf,14.0,inf,inf
MOD would,p1,1.42,2.62,inf,28.0,inf,3.14,28.0,inf,inf,inf,inf
PRES ~ PRES PERF,p2,0.38,4.8,inf,inf,inf,8.67,inf,inf,inf,inf,inf
