,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
PRES,p3,0.67,0.58,2.07,1.21,0.86,1.55,0.91,1.56,2.14,1.41,6.45
FUT ~ MOD shall,p3,0.31,0.7,1.35,2.37,3.23,0.36,0.86,2.35,1.66,2.96,0.0
FUT,p3,0.38,0.56,2.51,1.97,1.43,0.69,0.95,1.38,3.58,2.24,0.0
FUT,p1,1.47,1.62,0.02,0.43,0.85,1.92,1.86,0.0,0.14,0.0,0.0
IMPV ~ MOD shall,p2,3.03,2.88,0.0,0.0,0.08,0.15,0.0,0.0,0.0,0.0,0.0
PRES,p2,4.18,0.93,0.02,0.16,0.04,1.21,1.08,0.08,0.0,0.0,0.0
PAST,p3,0.48,0.94,1.56,0.9,0.95,3.09,0.44,1.26,2.17,1.51,2.35
FUT ~ MOD shall,p2,1.61,1.84,0.11,0.34,1.48,0.4,1.05,0.11,0.0,0.0,0.0
FUT ~ PRES,p3,0.5,0.68,1.25,2.21,2.0,0.57,1.18,1.1,1.4,1.79,0.0
FUT,p2,2.49,1.12,0.16,0.31,0.19,1.71,1.45,0.0,0.0,0.0,0.0
PRES,p1,3.13,0.64,0.0,0.25,0.2,2.35,0.98,0.13,0.19,0.0,11.23
MOD must ~ MOD shall,p3,1.02,1.38,0.6,1.02,2.11,0.33,0.13,0.78,0.21,0.75,0.0
MOD is to ~ MOD shall,p3,0.77,1.11,1.61,1.33,1.04,0.42,0.28,2.32,0.47,0.0,0.0
IMPV,p2,1.16,3.52,0.0,0.05,0.92,0.9,1.16,0.0,0.0,0.0,0.0
MOD can,p3,0.47,0.7,2.74,2.09,1.31,0.43,0.0,2.4,0.0,0.98,0.0
MOD shall,p3,0.4,0.89,2.26,3.28,0.95,0.48,0.0,1.13,0.79,0.0,0.0
MOD may,p3,0.47,0.58,2.73,2.36,0.79,0.24,1.29,2.13,0.4,2.87,0.0
MOD must ~ MOD shall,p2,2.92,2.38,0.07,0.08,0.34,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p3,0.78,0.51,0.92,1.92,2.12,0.9,0.29,1.03,0.48,3.4,0.0
MOD is to ~ MOD shall,p2,3.92,1.21,0.19,0.2,0.44,0.16,0.32,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p3,1.16,1.03,0.69,1.13,0.12,2.09,1.57,1.34,0.0,0.0,0.0
PAST,p1,0.75,1.25,0.0,0.11,0.0,4.39,9.91,0.0,0.0,0.0,0.0
FUT ~ PRES,p2,2.54,2.1,0.0,0.0,0.13,1.04,0.82,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p1,3.35,1.25,0.12,0.25,0.27,0.4,1.26,0.0,0.0,0.0,0.0
FUT ~ MOD may,p3,0.51,1.03,1.66,0.65,0.71,1.06,1.26,3.64,2.08,7.36,0.0
PAST ~ PRES,p3,0.85,0.65,1.05,1.6,1.22,1.55,1.28,0.47,0.68,0.0,0.0
MOD would,p3,0.76,0.23,1.07,3.27,0.43,1.09,2.24,1.5,1.4,0.0,0.0
MOD may,p2,4.14,1.19,0.29,0.0,0.0,0.24,1.56,0.0,0.0,0.0,0.0
FUT ~ PRES,p1,1.73,0.93,0.0,0.63,1.08,2.23,1.02,0.0,0.0,0.0,0.0
MOD can,p1,3.18,1.81,0.0,0.15,0.17,0.77,0.0,0.0,0.0,0.0,0.0
MOD shall,p1,9.65,0.41,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p3,0.63,0.32,3.47,1.16,0.6,0.58,0.58,2.86,3.0,0.0,0.0
FUT ~ MOD can,p3,0.59,0.93,0.79,3.45,2.02,0.31,0.64,0.0,0.0,0.0,0.0
MOD can ~ PRES,p3,0.67,0.64,3.76,1.34,1.2,0.32,0.0,0.76,0.0,0.0,0.0
MOD can,p2,4.46,1.15,0.0,0.2,0.22,0.67,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,p3,0.49,0.82,6.35,0.2,0.22,0.0,0.0,6.42,0.0,0.0,0.0
MOD shall,p2,1.92,1.57,0.62,0.65,0.72,0.34,0.0,0.0,0.0,0.0,0.0
MOD should,p3,0.55,0.27,6.17,0.7,0.5,0.0,0.74,3.74,1.22,0.0,0.0
PAST,p2,1.16,2.04,0.0,0.0,0.52,4.28,0.76,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,p3,0.0,0.0,1.29,5.34,5.23,0.0,0.8,0.93,2.73,4.58,0.0
IMPV ~ MOD shall,p3,0.76,0.31,2.07,1.12,1.98,0.42,0.0,3.15,1.4,0.0,0.0
PRES PART,p3,0.98,1.29,0.5,0.53,1.23,2.36,0.85,0.98,0.0,0.0,0.0
MOD may ~ PRES,p3,0.6,0.69,2.99,2.26,0.0,0.88,1.81,1.01,0.0,0.0,0.0
PRES PERF,p3,0.43,0.32,7.42,0.54,0.29,0.88,0.88,2.09,0.0,0.0,24.12
MOD should,p1,9.03,0.34,0.27,0.28,0.0,0.0,0.0,1.08,0.0,0.0,0.0
PRES ~ TO INF,p3,1.2,1.51,0.57,0.0,0.32,2.1,2.0,1.11,0.0,0.0,26.54
MOD could,p3,2.5,0.57,1.65,0.3,0.33,0.0,0.0,2.39,0.0,0.0,0.0
IMPV ~ PRES,p2,1.02,3.66,0.0,1.0,0.34,0.5,1.03,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,p2,4.38,1.08,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p2,4.77,1.17,0.0,0.33,0.0,0.54,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,p3,0.74,2.74,0.33,0.72,1.74,0.0,0.0,1.34,1.91,0.0,0.0
MOD let,p3,0.3,2.3,0.69,0.35,0.0,1.85,3.8,1.34,3.99,13.96,0.0
MOD would,p1,1.31,2.01,0.0,0.36,0.0,3.55,1.21,0.0,0.0,0.0,0.0
TO INF,p3,0.89,1.83,0.0,0.83,0.0,2.99,2.77,1.52,0.0,0.0,0.0
PAST ~ PRES,p2,2.0,0.52,0.0,0.0,0.0,8.15,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p1,1.83,1.22,0.0,0.91,1.01,1.49,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,p1,7.09,0.26,0.0,0.0,0.0,0.0,3.06,1.67,0.0,0.0,0.0
TO INF,p2,1.67,1.72,0.0,0.0,0.5,3.55,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p3,0.55,0.91,4.47,2.18,0.5,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,p3,0.71,1.72,2.76,0.97,1.06,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,p2,3.89,0.27,0.0,0.0,1.06,1.57,1.53,0.0,0.0,0.0,0.0
FUT ~ MOD may,p2,30.06,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0
PAST ~ PRES PART,p3,0.64,1.99,1.03,0.51,0.56,0.83,5.83,0.0,0.0,0.0,0.0
