eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,ZYq0,WYq0,xYqX,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD shall,p3,194,163,292,233,40,56,136,46,78,26,0
PRES,p3,239,149,152,198,140,57,135,74,25,15,4
FUT,p1,353,214,78,46,197,148,2,3,0,1,0
FUT,p3,140,101,131,159,47,55,138,62,40,24,0
IMPV,p2,406,180,21,1,13,7,0,0,0,0,0
IMPV ~ MOD shall,p2,292,162,4,0,5,0,0,0,0,0,0
MOD let,p3,19,17,15,27,65,43,21,101,4,29,0
PAST,p3,44,45,28,30,51,5,29,13,11,3,0
FUT ~ MOD shall,p2,113,73,38,7,8,10,2,0,1,0,0
FUT ~ PRES,p3,37,29,49,55,8,12,20,8,9,5,0
MOD may,p3,6,14,9,29,10,48,19,39,9,36,0
MOD must ~ MOD shall,p3,80,46,39,22,5,1,15,1,6,1,0
MOD let,p1,15,5,0,1,94,84,0,1,0,0,0
FUT,p2,110,35,4,5,28,11,3,0,0,0,0
MOD is to ~ MOD shall,p3,59,36,20,27,6,2,30,2,13,0,0
PRES,p2,107,31,2,5,30,14,0,0,0,0,0
PRES,p1,69,23,4,6,32,14,0,1,0,0,0
MOD let ~ MOD may,p3,9,2,9,11,15,14,5,47,2,10,0
IMPV ~ MOD let,p3,8,6,8,11,13,12,17,22,6,11,0
MOD shall,p3,18,18,11,32,4,0,25,2,4,0,0
MOD can,p3,12,19,19,25,3,0,26,0,7,1,0
MOD must ~ MOD shall,p2,67,36,4,0,0,0,1,0,0,0,0
MOD shall ~ PRES,p3,25,9,19,15,5,1,7,2,2,2,0
FUT ~ MOD may,p3,2,12,4,4,5,20,2,6,6,11,0
FUT ~ PRES,p1,24,8,8,4,16,9,0,0,0,0,0
MOD may,p1,1,3,0,0,1,61,0,0,1,0,0
PAST,p1,14,13,0,1,19,19,0,0,0,0,0
MOD is to ~ MOD shall,p2,38,17,4,2,1,1,1,0,0,0,0
FUT ~ MOD shall,p1,33,12,2,1,4,5,1,0,0,0,0
MOD would,p3,12,2,3,14,4,8,5,2,3,3,0
PAST ~ PRES,p3,16,6,7,9,5,3,5,1,1,0,0
MOD shall,p1,41,4,0,0,3,2,0,0,0,0,0
PRES ~ PRES PART,p3,14,10,1,8,6,3,4,0,2,0,0
MOD can,p1,29,14,1,0,2,0,0,0,0,0,0
IMPV,p3,4,1,3,5,2,4,6,12,4,3,0
FUT ~ MOD may,p1,0,4,1,0,8,29,0,0,0,1,0
MOD shall,p2,23,10,3,3,1,0,3,0,0,0,0
TO INF,p3,3,7,0,2,4,22,0,0,1,1,0
MOD may ~ MOD shall,p3,0,0,13,14,0,3,3,3,2,1,0
FUT ~ MOD can,p3,8,7,8,11,0,1,3,0,0,0,0
IMPV ~ MOD shall,p3,11,4,6,4,1,0,6,1,3,0,0
MOD can ~ MOD may,p1,3,1,0,0,0,31,0,0,0,1,0
FUT ~ PRES,p2,18,11,1,0,4,2,0,0,0,0,0
MOD would,p1,10,7,0,1,11,6,0,0,0,0,0
MOD may ~ PRES,p3,1,3,1,6,2,3,8,6,1,4,0
MOD should,p3,7,1,2,1,0,3,13,2,4,0,0
MOD can,p2,21,7,1,1,2,0,0,0,0,0,0
PAST,p2,11,9,2,0,6,1,0,0,0,0,0
MOD may,p2,17,7,0,0,1,3,0,0,0,0,0
MOD can ~ PRES,p3,5,2,3,3,1,0,11,0,1,0,0
PRES PART,p3,8,7,4,2,4,1,0,0,0,0,0
MOD would ~ PAST,p3,6,9,4,1,0,0,1,1,1,0,0
MOD can ~ MOD shall,p1,18,1,0,0,0,3,0,0,1,0,0
FUT ~ MOD let,p1,2,2,1,0,7,7,0,1,0,1,0
MOD may ~ TO INF,p1,0,0,0,0,0,19,0,0,0,1,0
MOD may ~ TO INF,p3,1,1,0,0,0,17,0,0,0,1,0
IMPV ~ MOD may,p3,0,1,2,3,1,4,4,5,0,0,0
IMPV ~ PRES,p2,5,10,1,2,1,0,0,0,0,0,0
PRES ~ PRES PERF,p3,3,2,1,4,1,1,3,3,1,0,0
MOD let ~ PRES,p3,1,1,0,3,4,1,1,7,0,1,0
PAST ~ PRES,p1,6,2,0,0,4,6,0,0,0,0,0
IMPV ~ PRES,p3,1,3,2,3,1,0,0,8,0,0,0
MOD shall ~ PRES,p2,11,4,0,1,1,0,0,0,0,0,0
MOD shall ~ PRES PART,p3,6,3,3,0,0,1,3,0,1,0,0
MOD can ~ MOD may,p3,4,4,2,2,0,3,1,0,0,1,0
MOD would,p2,11,1,2,0,2,1,0,0,0,0,0
MOD let ~ MOD shall,p3,4,2,2,1,2,1,2,2,1,0,0
FUT ~ MOD lest,p3,0,7,1,0,0,0,1,0,7,0,0
MOD let ~ TO INF,p3,0,0,2,0,1,12,0,1,0,0,0
PRES ~ PRES PERF,p2,9,5,0,0,2,0,0,0,0,0,0
FUT ~ MOD would,p1,5,2,1,1,2,4,0,0,0,0,0
PAST ~ PRES PART,p3,3,4,1,1,1,3,2,0,0,0,0
PRES ~ TO INF,p3,2,3,1,0,3,6,0,0,0,0,0
MOD should,p1,10,1,0,1,0,1,1,0,1,0,0
MOD shall ~ TO INF,p3,2,4,2,3,0,2,0,0,1,1,0
MOD can ~ MOD shall,p3,5,0,3,4,0,0,1,0,2,0,0
MOD could,p3,6,3,1,1,0,0,2,0,2,0,0
IMPV ~ MOD let,p2,8,6,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,p3,1,3,0,2,2,3,3,0,0,0,0
PAST ~ PRES,p2,6,2,0,0,6,0,0,0,0,0,0
MOD may ~ MOD shall,p2,8,4,1,0,0,0,0,0,1,0,0
PRES PERF,p3,0,2,1,1,1,1,7,0,1,0,0
MOD shall ~ PRES,p1,4,4,2,2,2,0,0,0,0,0,0
FUT ~ IMPV,p2,3,5,1,1,3,1,0,0,0,0,0
MOD must,p3,4,3,1,1,1,1,1,1,0,0,0
FUT ~ MOD would,p3,5,0,2,3,0,0,2,0,1,0,0
MOD should ~ PRES,p2,6,4,1,0,0,1,1,0,0,0,0
PRES PART,p2,7,3,0,0,2,0,0,0,0,0,0
MOD can ~ PRES,p2,8,3,0,0,1,0,0,0,0,0,0
IMPV ~ MOD must,p2,7,2,1,0,0,0,0,1,0,0,0
FUT ~ MOD let,p3,1,0,0,0,2,2,1,2,0,3,0
MOD shall ~ MOD should,p1,10,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,p1,4,3,1,0,0,3,0,0,0,0,0
PAST ~ PRES PERF,p3,2,0,0,1,0,0,3,4,1,0,0
MOD must,p1,8,0,0,0,2,1,0,0,0,0,0
IMPV ~ MOD may,p2,5,5,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD let,p3,1,1,1,3,0,1,2,1,0,0,0
PRES ~ PRES PART,p2,10,0,0,0,0,0,0,0,0,0,0
MOD must,p2,5,3,1,1,0,0,0,0,0,0,0
TO INF,p2,3,4,1,0,2,0,0,0,0,0,0
PRES PERF,p2,5,3,0,0,2,0,0,0,0,0,0
MOD shall ~ TO INF,p2,4,3,0,3,0,0,0,0,0,0,0
IMPV ~ MOD can,p3,0,9,0,1,0,0,0,0,0,0,0
FUT ~ PRES PART,p3,5,2,0,0,0,1,1,0,0,1,0
MOD should ~ PRES,p3,1,1,1,3,0,0,4,0,0,0,0
IMPV ~ TO INF,p2,2,7,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,p3,3,3,1,0,0,0,1,0,1,0,0
FUT ~ MOD would,p2,6,1,0,0,2,0,0,0,0,0,0
FUT ~ PAST,p3,2,1,3,1,0,0,1,0,0,1,0
IMPV ~ MOD let,p1,2,1,0,0,5,1,0,0,0,0,0
IMPV ~ MOD should,p2,2,6,0,0,0,0,1,0,0,0,0
HAB used to ~ PAST,p3,2,2,0,1,0,0,3,0,1,0,0
MOD shall ~ PAST,p3,2,0,2,1,0,0,2,0,1,0,0
PAST ~ PRES PERF,p2,1,1,0,0,6,0,0,0,0,0,0
MOD would ~ PRES,p2,3,1,0,1,1,1,0,1,0,0,0
MOD can ~ PRES,p1,3,3,0,0,0,1,1,0,0,0,0
PAST ~ PRES PERF,p1,2,1,0,0,1,4,0,0,0,0,0
IMPV ~ PRES PART,p2,4,4,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,p3,1,2,0,2,0,0,3,0,0,0,0
FUT ~ MOD can,p2,4,3,0,0,0,1,0,0,0,0,0
FUT ~ TO INF,p1,0,1,1,0,2,3,0,0,0,0,0
MOD let ~ MOD should,p3,0,0,0,1,0,1,4,1,0,0,0
MOD let ~ MOD may,p1,0,0,0,0,1,5,0,1,0,0,0
TO INF,p1,0,0,0,0,0,7,0,0,0,0,0
MOD let ~ PAST,p3,1,0,0,0,0,1,2,3,0,0,0
MOD let ~ PRES,p1,1,1,0,0,3,2,0,0,0,0,0
MOD may ~ MOD must,p3,3,0,2,0,0,2,0,0,0,0,0
