,,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT ~ MOD shall,p3,-38.02,-8.17,33.36,14.26,4.88,-12.78,-1.17,10.96,0.9,2.94,0.0
PRES,p3,-17.26,-9.24,0.35,7.41,5.55,7.79,0.36,-1.1,9.89,0.55,3.53
FUT,p3,-24.5,-8.83,2.28,8.65,16.31,-1.91,-0.23,2.4,13.09,1.68,0.0
FUT,p1,8.04,6.18,-2.08,-9.9,-26.44,6.33,2.74,-10.71,-6.3,-2.61,0.0
IMPV ~ MOD shall,p2,46.64,16.51,-20.36,-25.6,-16.4,-10.02,-8.54,-5.88,-5.15,-1.3,0.0
PAST,p3,-6.46,-0.24,-0.25,0.0,1.12,9.86,-1.22,0.72,1.57,0.35,0.0
FUT ~ MOD shall,p2,5.39,3.95,0.85,-6.56,-6.29,-2.29,0.0,-2.13,-2.68,-0.57,0.0
FUT ~ PRES,p3,-6.11,-2.01,4.12,6.55,0.15,-1.68,0.21,0.5,0.4,0.6,0.0
MOD must ~ MOD shall,p3,1.22,0.42,1.97,-0.23,-0.1,-2.82,-2.78,-0.08,-1.32,0.0,0.0
FUT,p2,12.67,-0.11,-6.45,-5.34,-3.69,2.65,0.55,-2.34,-1.98,-0.39,0.0
MOD is to ~ MOD shall,p3,-0.03,-0.03,-0.3,0.3,3.48,-1.89,-1.74,2.12,-0.6,-0.39,0.0
PRES,p2,13.04,-0.52,-7.9,-5.01,-6.51,3.93,1.38,-2.15,-1.99,-0.39,0.0
IMPV,p2,2.06,10.88,-0.69,-9.67,-6.15,-0.25,0.0,-1.96,-1.8,-0.19,0.0
PRES,p1,5.3,-0.18,-3.57,-2.76,-4.54,5.59,0.54,-1.45,-0.57,-0.2,0.0
MOD shall,p3,-3.51,-0.33,-0.33,5.64,5.77,-0.96,-1.8,0.24,-0.11,0.0,0.0
MOD can,p3,-6.12,-0.15,0.96,2.81,5.99,-1.33,-1.82,1.34,-0.91,0.24,0.0
MOD must ~ MOD shall,p2,10.3,3.54,-2.37,-5.6,-2.51,-3.47,-1.83,-1.11,-0.92,0.0,0.0
MOD shall ~ PRES,p3,0.0,-1.18,1.78,0.77,0.08,-0.08,-0.57,0.0,-0.76,0.87,0.0
MOD may,p3,-5.18,-0.28,-0.07,6.71,-0.09,-0.62,0.69,1.89,0.0,1.04,0.0
PAST,p1,-0.87,0.12,-3.42,-2.26,-2.05,5.44,11.07,-0.58,-0.38,0.0,0.0
MOD is to ~ MOD shall,p2,5.44,0.83,-0.75,-1.52,-1.22,-1.04,-0.28,-0.58,-0.38,0.0,0.0
PAST ~ PRES,p3,0.0,-0.66,0.08,0.55,0.22,0.22,0.31,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p1,5.37,0.42,-1.08,-2.47,-0.74,-0.36,0.0,-0.39,-0.19,0.0,0.0
MOD would,p3,-0.45,-2.47,-0.56,2.83,0.23,0.1,1.22,0.74,0.42,0.0,0.0
PRES ~ PRES PART,p3,-0.06,0.15,-1.59,0.57,0.1,0.75,0.34,0.19,-0.19,0.0,0.0
FUT ~ PRES,p1,0.93,-0.07,0.08,-0.19,-1.51,1.57,0.0,-0.39,-0.19,0.0,0.0
