eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD shall,p3,5.43,6.66,3.27,4.36,31.0,8.18,24.47,28.02,15.0,58.43,inf
PRES,p3,3.95,6.94,6.78,4.97,7.45,7.76,20.12,15.43,46.32,90.0,294.75
FUT,p1,1.66,3.2,10.57,18.8,5.8,444.5,9.48,296.0,inf,890.0,inf
FUT,p3,5.37,7.77,5.76,4.57,17.85,5.42,17.46,13.29,21.15,41.19,inf
IMPV,p2,0.58,2.38,25.86,563.0,46.0,inf,79.57,inf,inf,inf,inf
IMPV ~ MOD shall,p2,0.59,1.85,114.5,inf,91.4,inf,inf,inf,inf,inf,inf
MOD let,p3,15.82,18.07,21.0,10.44,3.47,19.43,7.17,2.53,94.33,14.05,inf
PAST,p3,4.86,4.73,8.21,7.6,4.06,8.21,50.6,18.85,22.45,85.0,inf
FUT ~ MOD shall,p2,1.24,2.44,5.61,34.86,30.38,124.5,24.1,inf,250.0,inf,inf
FUT ~ PRES,p3,5.22,6.93,3.69,3.18,27.75,10.5,19.91,27.75,24.56,56.5,inf
MOD must ~ MOD shall,p3,1.71,3.65,4.49,8.73,41.8,13.27,213.0,213.0,41.8,213.0,inf
MOD is to ~ MOD shall,p3,2.29,4.39,8.7,6.46,31.33,5.47,96.0,96.0,13.92,inf,inf
FUT,p2,0.78,4.54,47.5,37.8,6.19,63.67,16.64,inf,inf,inf,inf
PRES,p2,0.77,5.1,93.5,36.8,5.3,inf,12.5,inf,inf,inf,inf
MOD may,p3,27.67,11.29,18.11,5.14,18.11,8.56,3.65,8.05,20.5,6.17,inf
PRES,p1,1.06,5.0,33.5,22.0,3.93,inf,14.33,137.0,inf,inf,inf
MOD shall,p3,5.33,5.33,9.36,2.56,27.5,3.56,inf,56.0,27.5,inf,inf
MOD can,p3,8.33,4.89,4.89,3.48,36.33,3.31,inf,inf,15.0,111.0,inf
MOD must ~ MOD shall,p2,0.62,1.97,25.75,inf,inf,106.0,inf,inf,inf,inf,inf
MOD let ~ MOD may,p3,19.0,49.0,11.5,10.11,6.69,24.0,6.14,1.56,99.0,19.0,inf
IMPV ~ MOD let,p3,14.67,22.5,10.75,8.4,6.23,8.4,6.83,3.95,30.33,9.44,inf
MOD shall ~ PRES,p3,2.4,8.44,3.47,4.67,16.0,11.14,84.0,inf,41.5,41.5,inf
MOD let,p1,10.83,16.75,inf,70.0,1.73,inf,1.09,inf,inf,inf,inf
MOD is to ~ MOD shall,p2,0.68,2.76,15.0,31.0,63.0,63.0,63.0,inf,inf,inf,inf
PAST,p1,3.57,3.92,inf,63.0,2.76,inf,2.37,inf,inf,inf,inf
FUT ~ MOD may,p3,29.5,4.08,14.25,14.25,14.25,29.5,2.81,11.2,9.17,9.17,inf
FUT ~ PRES,p1,1.71,6.12,7.14,13.25,3.38,inf,13.25,inf,inf,inf,inf
PAST ~ PRES,p3,2.31,7.83,6.57,4.89,9.6,9.6,16.67,52.0,52.0,inf,inf
FUT ~ MOD shall,p1,0.66,3.42,25.5,52.0,25.5,52.0,16.67,inf,inf,inf,inf
MOD would,p3,3.25,24.5,16.0,2.64,11.75,9.2,7.5,24.5,16.0,inf,inf
MOD shall,p1,0.2,11.25,inf,inf,15.33,inf,48.0,inf,inf,inf,inf
PRES ~ PRES PART,p3,2.43,3.8,47.0,5.0,7.0,11.0,15.0,inf,23.0,inf,inf
MOD can,p1,0.61,2.21,44.0,inf,21.5,inf,inf,inf,inf,inf,inf
MOD shall,p2,0.87,3.3,13.33,13.33,42.0,13.33,inf,inf,inf,inf,inf
MOD may,p1,39.0,12.33,inf,inf,39.0,inf,0.18,inf,39.0,inf,inf
MOD may ~ MOD shall,p3,inf,inf,2.0,1.79,inf,12.0,12.0,12.0,18.5,38.0,inf
FUT ~ MOD can,p3,3.75,4.43,3.75,2.45,inf,11.67,37.0,inf,inf,inf,inf
FUT ~ PRES,p2,1.0,2.27,35.0,inf,8.0,inf,17.0,inf,inf,inf,inf
TO INF,p3,10.67,4.0,inf,16.5,7.75,inf,0.94,inf,34.0,inf,inf
IMPV ~ MOD shall,p3,2.09,16.0,4.67,7.5,33.0,4.67,inf,33.0,10.33,inf,inf
MOD should,p3,3.57,31.0,15.0,31.0,inf,1.46,15.0,15.0,7.0,inf,inf
MOD can,p2,0.52,3.57,31.0,31.0,15.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,p3,30.0,9.33,30.0,5.2,14.5,2.88,9.33,6.75,30.0,9.33,inf
IMPV,p3,6.75,30.0,14.5,5.2,30.0,4.17,6.75,9.33,6.75,30.0,inf
PAST,p2,1.55,2.5,13.0,inf,3.67,inf,27.0,inf,inf,inf,inf
MOD may,p2,0.65,3.0,inf,inf,27.0,inf,8.33,inf,inf,inf,inf
PRES PART,p3,2.25,2.71,5.5,12.0,5.5,inf,25.0,inf,inf,inf,inf
MOD can ~ PRES,p3,4.2,12.0,7.67,7.67,25.0,1.36,inf,inf,25.0,inf,inf
FUT ~ MOD may,p1,inf,5.0,23.0,inf,3.0,inf,1.0,inf,inf,23.0,inf
MOD would,p1,1.67,2.43,inf,23.0,3.0,inf,23.0,inf,inf,inf,inf
MOD would ~ PAST,p3,2.83,1.56,4.75,22.0,inf,22.0,inf,22.0,22.0,inf,inf
MOD can ~ MOD shall,p1,0.24,20.0,inf,inf,inf,inf,9.5,inf,20.0,inf,inf
MOD may ~ TO INF,p3,19.0,19.0,inf,inf,inf,inf,0.18,inf,inf,19.0,inf
IMPV ~ PRES,p2,2.8,0.9,18.0,8.5,18.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,p3,5.33,8.5,18.0,3.75,18.0,5.33,18.0,5.33,18.0,inf,inf
MOD can ~ MOD may,p1,5.0,17.0,inf,inf,inf,inf,0.38,inf,inf,17.0,inf
MOD let ~ PRES,p3,16.0,16.0,inf,4.67,3.25,16.0,16.0,2.4,inf,16.0,inf
MOD can ~ MOD may,p3,3.25,3.25,7.5,7.5,inf,16.0,4.67,inf,inf,16.0,inf
MOD shall ~ PRES,p2,0.55,3.25,inf,16.0,16.0,inf,inf,inf,inf,inf,inf
MOD would,p2,0.55,16.0,7.5,inf,7.5,inf,16.0,inf,inf,inf,inf
PRES ~ PRES PERF,p2,0.78,2.2,inf,inf,7.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,p3,inf,1.29,15.0,inf,inf,15.0,inf,inf,1.29,inf,inf
MOD shall ~ PRES PART,p3,1.67,4.33,4.33,inf,inf,7.0,15.0,inf,15.0,inf,inf
IMPV ~ MOD may,p3,inf,15.0,15.0,4.33,15.0,3.0,3.0,7.0,inf,inf,inf
PAST ~ PRES PART,p3,4.0,2.75,14.0,14.0,14.0,6.5,4.0,inf,inf,inf,inf
MOD can ~ MOD shall,p3,2.0,inf,4.0,2.75,inf,14.0,inf,inf,6.5,inf,inf
MOD shall ~ TO INF,p3,6.5,2.75,6.5,4.0,inf,inf,6.5,inf,14.0,14.0,inf
MOD should,p1,0.5,14.0,inf,14.0,inf,14.0,14.0,inf,14.0,inf,inf
PAST ~ PRES,p1,1.5,6.5,inf,inf,6.5,inf,2.0,inf,inf,inf,inf
MOD could,p3,1.5,4.0,14.0,14.0,inf,6.5,inf,inf,6.5,inf,inf
PRES ~ TO INF,p3,6.5,4.0,14.0,inf,4.0,inf,1.5,inf,inf,inf,inf
MOD let ~ MOD shall,p3,2.75,14.0,6.5,14.0,6.5,14.0,14.0,6.5,14.0,inf,inf
IMPV ~ PRES,p3,13.0,3.67,6.0,3.67,13.0,inf,inf,2.5,inf,inf,inf
PRES PERF,p3,inf,6.0,13.0,13.0,13.0,1.0,13.0,inf,13.0,inf,inf
PAST ~ PRES,p2,1.33,6.0,inf,inf,1.33,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p2,0.75,2.5,13.0,inf,inf,inf,inf,inf,13.0,inf,inf
FUT ~ IMPV,p2,3.67,1.8,13.0,13.0,3.67,inf,13.0,inf,inf,inf,inf
MOD shall ~ PRES,p1,2.25,2.25,5.5,5.5,12.0,inf,inf,inf,inf,inf,inf
MOD must,p3,2.25,3.33,12.0,12.0,12.0,12.0,12.0,12.0,inf,inf,inf
FUT ~ TO INF,p3,12.0,3.33,inf,5.5,5.5,3.33,5.5,inf,inf,inf,inf
FUT ~ MOD would,p3,1.6,inf,5.5,3.33,inf,5.5,inf,inf,12.0,inf,inf
MOD should ~ PRES,p2,1.17,2.25,12.0,inf,inf,12.0,12.0,inf,inf,inf,inf
MOD let ~ TO INF,p3,inf,inf,11.0,inf,inf,inf,0.2,11.0,inf,inf,inf
MOD can ~ PRES,p2,0.5,3.0,inf,inf,11.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p2,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,p2,0.71,3.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,p1,0.1,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,p3,4.5,inf,inf,10.0,inf,2.67,inf,1.75,10.0,inf,inf
FUT ~ MOD would,p1,1.75,4.5,10.0,10.0,10.0,inf,4.5,inf,inf,inf,inf
IMPV ~ MOD may,p2,1.2,1.2,inf,inf,inf,inf,10.0,inf,inf,inf,inf
IMPV ~ MOD must,p2,0.57,4.5,10.0,inf,inf,inf,inf,10.0,inf,inf,inf
TO INF,p2,2.33,1.5,9.0,inf,4.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,p3,9.0,inf,inf,inf,4.0,9.0,9.0,4.0,inf,2.33,inf
MOD must,p2,1.0,2.33,9.0,9.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF,p2,1.0,2.33,inf,inf,4.0,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,p2,1.5,2.33,inf,2.33,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,p3,9.0,9.0,9.0,2.33,inf,1.5,inf,inf,inf,inf,inf
MOD must,p1,0.29,inf,inf,inf,8.0,inf,8.0,inf,inf,inf,inf
IMPV ~ MOD can,p3,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,p3,3.5,3.5,inf,8.0,inf,2.0,inf,inf,8.0,inf,inf
FUT ~ PAST,p3,3.5,8.0,2.0,8.0,inf,8.0,inf,inf,inf,8.0,inf
FUT ~ MOD would,p2,0.5,8.0,inf,inf,3.5,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,p3,0.8,3.5,inf,inf,inf,8.0,inf,inf,inf,8.0,inf
