eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT ~ MOD shall,p3,6.35,7.56,4.23,5.29,9.06,34.22,30.8,15.79,30.05,61.6,inf
PRES,p3,4.92,7.89,7.78,5.93,8.77,8.39,21.36,47.0,17.28,97.92,293.75
FUT,p3,6.2,8.53,6.58,5.42,6.29,18.34,26.12,21.55,13.9,66.31,inf
FUT,p1,2.5,3.88,10.71,18.5,407.0,8.06,15.36,inf,271.33,inf,inf
IMPV ~ MOD shall,p2,1.59,2.83,114.75,inf,inf,91.8,inf,inf,inf,inf,inf
PAST,p3,5.86,5.73,9.21,8.6,9.21,5.06,51.6,23.45,19.85,86.0,inf
FUT ~ MOD shall,p2,2.24,3.44,6.61,35.86,125.5,31.38,25.1,251.0,inf,inf,inf
FUT ~ PRES,p3,6.08,8.04,4.69,4.17,11.84,28.12,20.45,25.0,28.12,75.0,inf
MOD must ~ MOD shall,p3,2.71,4.65,5.49,9.73,14.27,42.8,214.0,42.8,214.0,214.0,inf
FUT,p2,1.78,5.54,48.5,38.8,64.67,7.19,17.64,inf,inf,inf,inf
MOD is to ~ MOD shall,p3,3.29,5.39,9.7,7.46,6.47,32.33,97.0,14.92,97.0,inf,inf
PRES,p2,1.76,6.27,94.0,37.6,inf,6.27,13.43,inf,inf,inf,inf
IMPV,p2,2.49,2.45,11.19,inf,inf,16.27,25.57,inf,inf,inf,inf
PRES,p1,2.01,5.87,33.75,27.0,inf,5.0,16.88,inf,135.0,inf,inf
MOD shall,p3,6.33,6.33,10.36,3.56,4.56,28.5,inf,28.5,57.0,inf,inf
MOD can,p3,9.25,5.84,5.84,4.44,4.44,37.0,inf,15.86,inf,111.0,inf
MOD must ~ MOD shall,p2,1.62,2.97,26.75,inf,107.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p3,3.32,9.22,4.61,5.93,11.86,16.6,83.0,41.5,inf,41.5,inf
