,,V,AV,_W_V,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,AOV,_W_ASV,IV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,p3,0.78,0.74,0.47,1.87,0.79,1.06,0.71,3.39,0.55,0.86,0.37,0.62,1.41,3.66,1.64,1.84,0.28,0.65,2.08,1.08,0.49,11.23,0.98,1.98,1.55,1.84,1.15,1.21,2.68,2.87,0.0,1.77,1.91,1.56,0.96,1.56,8.05,11.51,1.15,2.46,1.64,3.44,1.91,0.96,2.29,1.15,8.61,inf,1.91,1.91,0.0,1.91,5.74,0.0,2.87,2.87,0.0,2.87,0.0,5.74,0.0,5.74,0.0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,p3,0.6,1.12,1.02,0.25,3.1,2.65,1.44,0.29,0.46,0.57,0.12,0.86,5.08,0.06,3.13,1.33,0.1,0.13,2.03,0.32,0.74,0.0,0.95,0.47,2.81,0.56,6.75,3.1,0.0,2.06,0.0,0.0,0.0,1.46,6.59,1.46,0.0,0.0,1.75,3.76,2.5,1.25,0.0,1.46,0.0,1.75,0.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,p3,0.87,1.15,0.97,0.56,1.53,2.27,0.8,0.69,0.63,0.38,1.12,1.81,1.32,0.0,1.05,2.27,0.42,0.89,1.63,1.1,0.71,0.0,1.23,0.95,0.73,0.73,1.27,4.04,0.54,0.57,0.71,0.71,2.64,0.88,0.88,3.11,0.0,0.0,1.04,1.27,3.26,6.86,1.63,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
FUT,p1,1.2,1.48,1.0,0.51,1.1,0.63,1.37,0.32,2.33,1.88,0.03,1.28,0.19,0.08,0.24,0.14,0.0,0.0,0.4,2.03,5.23,0.0,3.02,2.26,0.8,1.71,0.43,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,6.21,6.21,0.0,0.0,0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,p2,4.61,0.68,1.29,0.02,0.51,0.03,1.64,0.0,1.58,1.41,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.93,0.0,0.57,1.23,0.71,7.37,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,p2,1.47,1.94,0.69,0.02,0.12,0.0,2.03,0.08,3.98,5.77,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.72,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,p2,0.45,0.43,0.34,4.76,0.07,0.12,0.37,2.48,0.66,0.55,3.47,1.92,0.0,7.22,0.2,0.34,1.54,3.55,0.0,1.73,0.62,3.13,0.78,4.62,0.0,0.0,1.07,0.0,0.0,0.0,4.16,0.0,4.46,2.4,0.0,0.0,2.83,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PAST,p3,1.28,1.48,0.42,0.66,1.07,1.28,1.83,1.46,1.01,0.62,0.0,0.98,0.84,0.78,1.06,0.0,0.0,0.0,0.63,0.0,0.0,0.93,1.0,0.0,4.01,0.0,0.0,0.0,0.0,4.21,0.0,0.0,2.66,3.07,0.0,3.07,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,19.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD let,p3,5.28,0.39,1.87,0.03,0.4,1.4,0.24,0.0,0.64,0.5,0.0,0.27,0.47,0.0,0.59,0.0,0.0,0.0,0.72,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,p3,0.48,0.94,0.9,0.73,2.24,3.03,0.75,1.09,0.82,0.83,0.51,0.7,1.75,0.9,2.22,0.51,0.55,0.0,2.28,5.52,0.0,0.0,0.0,1.21,2.99,0.0,0.0,2.1,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
