eng_TAMsimp,person,V,_W_V,AV,CV,_W_SV,SV,_W_AV,RV,_W_OV,OV,QV,CAV,_W_SAV,_W_CV,SAV,CSV,_W_QV,QAV,ASV,COV,_W_OAV,_W_CAV,OAV,IV,AOV,_W_ASV,CSAV,_W_SOV,QSV,SOV,QOV,CQV,ACV,IAV,ISV,_W_RV,_W_COV,_W_CSV,_W_AOV,ASAV,_W_OSV,ISAV,CASV,RSV,RAV,CSOV,ROV,CCV,CISV,CAOV,OOV,IOV,COSV,COAV,ACAV,_W_OOV,_W_OQV,_W_ACV,_W_IV,RASV,_W_ASAV,CQAV,QSAV,OSV,ACSV,AOAV,_W_QOV,_W_SOAV,ARV,_W_QAV,ASOV,OASV,_W_ASOV,CAQV,_W_ISV,_W_IAV,IISOAV,CISAV,_W_AOAV,SOAV,SAOV,QAOV,OQV,QSAOV
PRES,p3,6.55,14.37,9.27,7.21,18.63,17.2,24.54,8.28,39.45,34.1,71.86,60.97,52.95,33.53,59.18,91.45,503.0,287.43,118.35,223.56,503.0,69.38,335.33,251.5,201.2,287.43,402.4,503.0,287.43,287.43,inf,503.0,503.0,670.67,1006.0,670.67,287.43,251.5,1006.0,670.67,1006.0,670.67,1006.0,2012.0,1006.0,2012.0,670.67,503.0,2012.0,2012.0,inf,2012.0,1006.0,inf,2012.0,2012.0,inf,2012.0,inf,2012.0,inf,2012.0,inf,1006.0,inf,2012.0,inf,inf,inf,inf,inf,2012.0,inf,inf,inf,2012.0,2012.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p3,8.1,7.45,6.8,40.03,6.61,8.54,13.74,60.91,48.31,50.04,233.5,46.7,20.3,1401.0,35.02,116.75,1401.0,1401.0,116.75,700.5,350.25,inf,350.25,700.5,700.5,175.12,107.77,233.5,inf,350.25,inf,inf,inf,700.5,233.5,700.5,inf,inf,700.5,467.0,700.5,1401.0,inf,1401.0,inf,1401.0,inf,inf,700.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1401.0,inf,1401.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p1,4.21,6.11,5.92,23.22,16.35,31.38,15.69,64.5,13.34,18.43,1161.0,36.28,290.25,1161.0,387.0,1161.0,inf,inf,387.0,145.12,77.4,inf,129.0,290.25,193.5,580.5,1161.0,inf,inf,1161.0,inf,inf,inf,inf,inf,1161.0,inf,inf,inf,inf,1161.0,inf,inf,inf,1161.0,inf,inf,inf,inf,inf,1161.0,inf,inf,1161.0,1161.0,inf,inf,inf,1161.0,inf,inf,inf,inf,inf,inf,inf,inf,1161.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p3,6.12,7.65,6.67,18.98,10.9,9.33,22.47,27.52,36.7,73.4,27.52,24.47,55.05,inf,84.69,73.4,367.0,220.2,137.62,220.2,367.0,inf,275.25,550.5,367.0,550.5,367.0,183.5,1101.0,1101.0,1101.0,1101.0,367.0,1101.0,1101.0,367.0,inf,inf,1101.0,1101.0,550.5,367.0,1101.0,1101.0,inf,inf,inf,inf,inf,inf,inf,inf,1101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1101.0,inf,inf,inf
IMPV,p2,1.99,6.33,10.91,633.0,31.65,633.0,13.19,inf,17.11,20.42,inf,316.5,inf,inf,inf,inf,inf,inf,inf,633.0,316.5,inf,633.0,70.33,316.5,633.0,633.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,p2,4.08,11.0,4.38,473.0,118.25,inf,9.85,236.5,7.28,6.76,inf,94.6,inf,inf,inf,inf,inf,inf,inf,236.5,78.83,inf,236.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,473.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p2,10.79,21.05,15.59,3.37,210.5,140.33,46.78,8.77,35.08,52.62,10.02,22.16,inf,15.04,421.0,421.0,105.25,60.14,inf,140.33,421.0,105.25,421.0,inf,84.2,inf,421.0,inf,inf,inf,210.5,inf,210.5,421.0,inf,inf,421.0,inf,210.5,inf,inf,inf,inf,inf,inf,210.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,421.0,inf,inf
MOD let,p3,1.91,4.3,20.47,116.0,34.8,14.5,87.0,inf,43.5,69.6,inf,174.0,174.0,inf,174.0,inf,inf,inf,348.0,inf,174.0,inf,inf,348.0,inf,inf,inf,174.0,inf,348.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,348.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,p3,4.55,17.47,5.27,16.6,14.43,14.43,10.71,13.83,23.71,47.43,inf,41.5,83.0,110.67,83.0,inf,inf,inf,332.0,inf,inf,332.0,332.0,inf,inf,110.67,inf,inf,inf,166.0,inf,inf,332.0,332.0,inf,332.0,inf,inf,inf,332.0,inf,inf,inf,inf,inf,inf,332.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,332.0,332.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,332.0,inf,inf,inf,inf,inf
FUT ~ PRES,p3,10.32,8.26,7.81,15.21,7.61,6.88,24.08,18.06,28.9,36.12,57.8,57.8,41.29,96.33,41.29,289.0,289.0,inf,96.33,48.17,inf,inf,inf,inf,289.0,144.5,inf,289.0,inf,inf,289.0,inf,inf,inf,inf,inf,inf,inf,inf,289.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
