eng_TAMsimp,person,V,_W_V,AV,_W_SV,SV,_W_AV,_W_OV,OV,QV,_W_SAV,SAV,_W_QV,CV,QAV,ASV,_W_OAV,IV,OAV,AOV,_W_ASV,_W_SOV,QSV,CAV,SOV,QOV,IAV,ISV,_W_AOV,ASAV,_W_OSV,ISAV,COV,CSV,CQV,IOV,OOV,_W_IV,_W_OQV,_W_ASAV,_W_OOV,_W_CV,CSAV,RV,QSAV,OSV,OASV,CQAV,SOAV,ASOV,_W_ISV,_W_IAV,QSAOV,_W_QOV,QAOV,_W_AOAV,_W_SOAV,_W_COV,_W_QAV,IISOAV,OQV,SAOV,_W_ASOV,AOAV
FUT ~ MOD shall,p3,7.48,6.76,6.14,6.14,7.75,12.64,43.59,46.81,316.0,18.32,31.6,1264.0,1264.0,1264.0,105.33,316.0,632.0,316.0,632.0,158.0,210.67,inf,inf,316.0,inf,632.0,210.67,632.0,421.33,632.0,1264.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1264.0,inf,inf,inf,inf,inf,inf,1264.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1264.0,inf
PRES,p3,4.64,9.9,5.85,11.88,10.42,16.5,25.28,24.24,45.69,32.11,34.94,297.0,56.57,169.71,74.25,594.0,148.5,237.6,132.0,169.71,297.0,169.71,396.0,198.0,inf,396.0,594.0,1188.0,396.0,594.0,396.0,1188.0,594.0,396.0,1188.0,inf,inf,inf,inf,1188.0,inf,inf,594.0,inf,594.0,1188.0,1188.0,inf,inf,inf,1188.0,inf,inf,inf,inf,inf,inf,inf,1188.0,inf,inf,inf,1188.0
FUT,p1,3.83,5.48,5.32,14.68,28.16,14.68,12.12,16.81,1042.0,260.5,347.33,inf,347.33,inf,347.33,69.47,260.5,115.78,173.67,1042.0,inf,inf,347.33,1042.0,inf,inf,inf,inf,inf,1042.0,inf,inf,inf,inf,inf,1042.0,1042.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1042.0,inf,inf,inf,inf,inf,inf,inf
FUT,p3,5.22,6.32,5.54,9.15,7.8,19.93,30.93,59.8,27.18,44.85,69.0,299.0,299.0,224.25,112.12,299.0,448.5,224.25,299.0,448.5,149.5,897.0,897.0,897.0,897.0,897.0,897.0,897.0,897.0,448.5,299.0,inf,897.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,897.0,inf,inf
IMPV,p2,1.98,6.28,10.83,31.4,628.0,13.08,16.97,20.26,inf,inf,inf,inf,inf,inf,inf,314.0,69.78,628.0,314.0,628.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,628.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,p2,3.99,10.77,4.29,115.75,inf,9.65,7.12,6.61,inf,inf,inf,inf,inf,inf,inf,77.17,inf,231.5,inf,inf,inf,inf,463.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p3,1.87,4.26,20.06,34.1,14.83,85.25,48.71,68.2,inf,170.5,170.5,inf,341.0,inf,341.0,170.5,341.0,inf,inf,inf,170.5,inf,inf,341.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,341.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,p3,3.98,13.63,4.11,12.33,11.77,8.63,19.92,37.0,inf,64.75,64.75,inf,inf,inf,259.0,inf,inf,259.0,inf,86.33,inf,inf,inf,129.5,inf,259.0,inf,inf,259.0,inf,inf,inf,inf,inf,inf,inf,259.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,259.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p2,7.41,7.64,3.55,8.13,42.0,8.69,12.6,16.8,inf,36.0,inf,inf,inf,inf,252.0,126.0,inf,inf,252.0,inf,inf,inf,inf,inf,inf,252.0,inf,inf,inf,inf,inf,inf,inf,inf,252.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p3,9.28,6.63,6.82,6.11,5.66,21.09,25.78,29.0,77.33,33.14,33.14,232.0,77.33,inf,77.33,inf,inf,inf,232.0,116.0,232.0,inf,232.0,inf,232.0,inf,inf,inf,232.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p3,4.13,2.38,12.17,31.29,9.12,19.91,54.75,109.5,inf,219.0,73.0,inf,219.0,inf,219.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,219.0,inf,inf,219.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,p3,7.71,10.29,3.66,6.75,13.5,15.43,12.0,16.62,inf,30.86,43.2,inf,inf,inf,inf,inf,inf,216.0,inf,inf,inf,216.0,inf,inf,inf,inf,inf,216.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,p1,2.0,2.27,28.57,inf,200.0,inf,200.0,200.0,200.0,inf,inf,inf,200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,p2,4.9,11.53,4.17,49.0,49.0,17.82,24.5,39.2,6.76,inf,inf,21.78,65.33,24.5,196.0,inf,inf,196.0,inf,inf,inf,inf,65.33,inf,39.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,196.0,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,p3,9.29,24.38,2.75,13.93,8.48,6.29,19.5,48.75,inf,65.0,48.75,inf,inf,inf,inf,195.0,inf,195.0,inf,65.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,195.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p2,5.56,9.95,8.22,94.5,63.0,27.0,18.9,23.62,4.61,inf,189.0,47.25,14.54,27.0,inf,189.0,inf,189.0,47.25,inf,inf,inf,94.5,inf,94.5,189.0,inf,94.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,94.5,189.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,189.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES,p1,4.03,7.84,3.55,49.67,74.5,14.9,24.83,37.25,74.5,149.0,74.5,inf,49.67,49.67,149.0,inf,74.5,149.0,49.67,inf,inf,inf,inf,149.0,149.0,74.5,inf,inf,inf,inf,inf,74.5,inf,inf,inf,inf,149.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,149.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,p3,1.8,4.77,41.33,13.78,15.5,62.0,inf,124.0,inf,inf,62.0,inf,inf,inf,124.0,inf,41.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p3,2.19,3.8,22.8,16.29,10.36,57.0,38.0,114.0,inf,114.0,inf,inf,114.0,inf,inf,inf,114.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,p3,4.96,57.0,5.43,11.4,5.43,22.8,7.6,57.0,57.0,114.0,28.5,inf,114.0,inf,38.0,inf,inf,inf,inf,inf,inf,114.0,114.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,p3,7.0,6.22,16.0,18.67,37.33,37.33,56.0,inf,3.5,inf,inf,7.47,112.0,112.0,inf,inf,inf,112.0,inf,inf,inf,inf,inf,inf,112.0,inf,56.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,112.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,112.0,inf,inf,inf
MOD must ~ MOD shall,p2,4.15,15.43,4.7,36.0,inf,10.8,6.75,6.35,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,108.0,inf,108.0,inf,inf,inf,inf,inf,inf,108.0,inf,inf,inf,108.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,p3,9.67,21.75,3.11,6.21,9.67,17.4,17.4,87.0,inf,21.75,17.4,inf,inf,87.0,inf,inf,inf,inf,inf,inf,87.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,87.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,p3,5.54,1.53,36.0,24.0,inf,72.0,72.0,inf,inf,inf,36.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,72.0,inf,inf,36.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,p1,3.29,6.9,4.93,9.86,34.5,23.0,23.0,13.8,inf,69.0,69.0,inf,inf,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,p1,67.0,1.03,67.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,p1,3.3,2.87,11.0,inf,66.0,11.0,22.0,22.0,inf,inf,inf,inf,33.0,inf,inf,inf,66.0,inf,inf,inf,inf,inf,66.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,p2,10.67,64.0,2.37,16.0,32.0,8.0,7.11,10.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,64.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,p1,3.62,6.44,4.83,29.0,inf,9.67,58.0,58.0,9.67,inf,58.0,58.0,58.0,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
