eng_TAMsimp,poetry,prose,prophetic,instruction,list
PRES,2.12,6.4,4.13,7.72,1348.0
FUT,3.35,3.42,2.6,40.61,2518.0
FUT ~ MOD shall,9.36,3.77,1.82,13.61,176.9
IMPV,3.03,2.51,4.11,35.68,inf
MOD let,3.03,2.39,4.44,37.0,inf
IMPV ~ MOD shall,inf,4.02,18.21,1.46,85.0
PAST,2.06,3.45,5.26,90.4,41.09
FUT ~ PRES,2.15,5.21,3.33,23.32,inf
MOD may,4.52,2.2,8.04,5.02,inf
MOD must ~ MOD shall,341.0,5.68,14.21,1.34,341.0
MOD is to ~ MOD shall,inf,5.36,10.17,1.45,42.14
MOD can,2.19,4.11,3.76,30.11,inf
MOD shall,20.09,2.23,10.05,2.48,inf
FUT ~ MOD may,3.93,2.39,4.71,8.68,inf
MOD shall ~ PRES,6.38,4.37,4.25,2.78,51.0
IMPV ~ MOD let,3.78,1.84,6.36,28.0,inf
MOD would,2.08,3.19,5.07,inf,137.0
MOD let ~ MOD may,1.5,3.57,22.0,132.0,inf
PAST ~ PRES,1.93,8.77,3.08,38.0,57.0
PRES ~ PRES PART,2.37,5.71,3.46,8.82,inf
PRES ~ PRES PERF,2.84,4.19,4.63,5.18,inf
MOD should,4.94,1.58,6.46,84.0,inf
TO INF,4.65,2.14,3.76,19.75,inf
FUT ~ MOD lest,5.14,2.18,7.2,4.8,inf
MOD can ~ PRES,2.06,3.6,4.5,72.0,inf
MOD can ~ MOD may,6.9,1.44,11.5,13.8,inf
MOD may ~ PRES,3.4,2.52,6.18,6.8,inf
FUT ~ MOD can,3.05,3.53,2.68,67.0,inf
PRES PERF,2.35,3.81,5.08,8.71,inf
IMPV ~ PRES,2.19,4.21,3.69,29.5,inf
MOD may ~ MOD shall,3.87,3.62,11.6,2.64,inf
PRES PART,3.12,4.17,2.5,25.0,inf
MOD can ~ MOD shall,3.54,2.71,3.29,23.0,inf
FUT ~ MOD would,2.3,2.88,4.6,inf,inf
MOD may ~ TO INF,23.0,1.21,15.33,15.33,inf
MOD should ~ PRES,3.0,2.37,5.0,22.5,inf
PRES ~ TO INF,3.21,6.43,6.43,2.65,inf
MOD could,3.15,2.41,6.83,8.2,inf
MOD must,6.67,2.67,3.08,6.67,inf
