,Q,D,?,N
PRES,0.65,0.92,2.89,0.11
FUT,1.75,0.42,0.89,0.13
FUT ~ MOD shall,2.29,0.39,0.56,0.19
IMPV ~ MOD shall,1.15,1.6,0.05,0.0
PAST,0.16,10.2,0.79,11.46
FUT ~ PRES,0.92,0.51,2.07,0.0
MOD must ~ MOD shall,0.92,1.45,0.67,0.0
MOD is to ~ MOD shall,1.88,0.54,0.6,0.0
MOD can,1.42,0.13,1.69,0.0
MOD shall,2.52,0.48,0.34,0.0
MOD may,1.58,0.86,0.4,0.0
IMPV,inf,0.0,0.0,0.0
MOD shall ~ PRES,1.48,0.73,0.68,0.0
MOD would,0.66,1.65,0.0,24.15
PAST ~ PRES,0.58,1.93,1.18,3.4
FUT ~ MOD may,2.66,0.51,0.24,0.0
PRES ~ PRES PART,1.03,0.75,1.36,0.0
PRES ~ PRES PERF,2.25,0.82,0.0,0.0
MOD should,1.1,1.16,0.31,4.76
MOD can ~ PRES,1.8,0.0,1.48,0.0
FUT ~ MOD lest,inf,0.0,0.0,0.0
FUT ~ MOD can,1.61,0.55,0.8,0.0
PRES PERF,2.07,0.89,0.0,0.0
MOD may ~ MOD shall,1.31,0.33,1.48,0.0
PRES PART,1.64,1.12,0.0,0.0
IMPV ~ PRES,inf,0.0,0.0,0.0
TO INF,1.57,0.37,0.0,17.08
MOD may ~ PRES,0.59,1.2,2.36,0.0
MOD can ~ MOD shall,2.25,0.0,1.18,0.0
MOD should ~ PRES,inf,0.0,0.0,0.0
PRES ~ TO INF,1.36,0.43,1.27,0.0
FUT ~ MOD would,inf,0.0,0.0,0.0
MOD could,0.18,10.24,0.0,0.0
MOD shall ~ TO INF,inf,0.0,0.0,0.0
MOD must,3.75,0.0,0.7,0.0
MOD let,3.64,0.0,0.73,0.0
MOD can ~ MOD may,1.71,0.0,1.54,0.0
PAST ~ PRES PERF,inf,0.0,0.0,0.0
MOD shall ~ MOD should,inf,0.0,0.0,0.0
MOD would ~ PAST,0.03,46.66,0.88,0.0
FUT ~ TO INF,2.78,0.0,0.95,0.0
MOD would ~ PRES,1.12,0.78,1.12,0.0
FUT ~ IMPV,2.14,0.86,0.0,0.0
PAST ~ PRES PART,0.12,13.08,1.23,0.0
MOD shall ~ PRES PART,2.03,0.0,1.3,0.0
MOD should ~ TO INF,0.37,0.0,1.45,79.61
MOD must ~ PRES,1.82,1.01,0.0,0.0
PRES ~ PRES PROG,0.46,3.99,0.0,0.0
MOD lest ~ MOD may,0.75,2.46,0.0,0.0
MOD let ~ PRES,0.43,1.23,3.81,0.0
FUT ~ PRES PART,0.43,1.23,3.81,0.0
FUT ~ PAST,1.5,1.23,0.0,0.0
