genre,prophetic,poetry,prose,instruction,prose,prose,prophetic,instruction,prophetic,poetry,poetry,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,list,prophetic,list,prophetic,prose,list,list,prophetic,prose,list,prose,instruction,prophetic,instruction
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,Q,D,?,?,N,N,D,Q,N,N,?,D
person,p3,p3,p3,p3,p2,p1,p1,p2,p2,p2,p1,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p3,p1,p2,p2,p3,p3,p3,p3,p1,p1,p2,p3,p2,p1
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES,445,758,221,249,126,60,57,43,90,148,119,158,10,15,32,29,65,11,14,3,1,1,0,5,0,2,0,1,0,0,0,0,0,0,0,0
FUT,344,299,258,33,72,334,427,3,79,98,143,48,1,30,32,5,15,0,0,19,0,0,0,5,0,2,0,0,0,1,1,1,0,0,0,1
FUT ~ MOD shall,729,133,315,99,114,24,14,13,146,12,30,2,1,34,33,6,0,1,6,4,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IMPV ~ MOD shall,2,0,11,17,114,0,0,286,25,0,0,0,0,0,0,5,0,37,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
PAST,40,115,8,1,4,7,20,0,7,28,49,5,98,17,2,3,17,0,1,0,9,0,8,0,0,0,4,2,1,0,1,0,0,0,0,0
FUT ~ PRES,76,114,39,12,31,11,23,4,21,15,22,28,0,6,3,0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,8,1,18,165,38,3,1,54,14,0,0,0,0,1,0,16,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,21,0,25,137,30,0,0,50,8,0,0,0,0,0,0,7,0,2,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,45,73,23,7,11,31,10,0,12,21,17,12,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall,9,3,48,54,15,36,11,26,0,1,7,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,16,15,33,44,24,7,3,24,7,2,1,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV,4,0,0,0,98,0,0,7,34,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,25,15,12,37,12,11,5,9,5,0,5,0,0,0,0,5,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD would,16,25,13,0,8,4,5,0,3,8,16,0,10,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,20,27,6,1,1,1,9,0,4,16,7,3,4,1,2,2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,13,17,22,16,7,7,1,0,10,2,3,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,22,30,9,9,8,0,1,1,2,4,1,4,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,10,19,8,11,11,2,3,3,5,9,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,7,7,19,0,5,22,4,0,1,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MOD can ~ PRES,10,21,10,0,5,4,1,1,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,6,10,18,10,12,2,4,3,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,18,16,7,1,5,6,1,0,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,10,7,10,4,3,3,2,2,0,9,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,3,8,8,14,5,1,0,6,2,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,12,11,7,2,4,0,0,0,5,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,10,6,0,1,6,1,0,1,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,7,8,4,2,7,3,1,0,7,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
