,poetry,prophetic,prose,prose,instruction,prose,poetry,prophetic,poetry,prophetic,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,prose,list,poetry,prophetic,instruction,instruction
,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,D,N,Q,D,?,N,D
,p3,p3,p3,p2,p3,p1,p1,p1,p2,p2,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p2,p1,p1,p2,p3,p1
PRES,2.58,1.08,0.58,0.55,1.39,0.25,0.87,0.34,1.14,0.65,0.33,4.87,0.22,0.55,1.58,1.46,5.73,0.85,1.59,0.31,0.17,0.21,2.16,0.0,1.23,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,0.71,0.84,0.8,0.32,0.14,3.33,2.51,8.57,0.75,0.6,0.02,0.87,0.02,1.37,1.72,0.21,0.7,0.0,0.0,3.78,0.0,0.0,2.35,0.0,1.34,0.0,0.0,0.0,2.35,0.0,4.7,0.0,0.0,inf,inf,0.0,0.0,inf
FUT ~ MOD shall,0.4,5.24,1.72,0.83,0.74,0.17,0.32,0.13,0.13,2.02,0.16,0.05,0.03,2.67,2.73,0.39,0.0,0.11,0.93,0.69,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.08,0.07,0.22,8.75,0.02,0.02,0.0,0.0,12.01,7.31,0.63,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,1.52,0.86,1.9,0.04,0.16,3.68,1.14,1.5,0.13,0.0,0.04,1.58,0.0,0.57,0.21,0.0,0.44,0.0,0.0,4.62,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,0.0,0.02,0.16,3.9,0.46,0.0,0.0,0.0,0.0,1.03,59.8,0.0,0.0,0.0,0.0,1.24,0.0,35.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PAST,1.83,0.51,0.12,0.11,0.03,0.2,2.26,0.81,1.32,0.31,0.0,0.51,36.7,4.64,0.52,0.82,5.5,0.0,0.6,0.0,15.66,0.0,0.0,62.55,0.0,0.0,62.0,20.57,0.0,30.8,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,1.96,1.11,0.71,0.93,0.35,0.39,1.65,1.05,0.71,1.0,0.21,3.32,0.0,1.49,0.8,0.0,1.13,0.0,0.0,2.25,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
