genre,poetry,prophetic,prose,prose,instruction,prose,prophetic,prophetic,poetry,poetry,instruction,poetry,prose,prophetic,prophetic,instruction,poetry,instruction,instruction,instruction,prose,list,prophetic,list,prophetic,list,prose,list,prophetic,list,prose,prose,list,instruction,prose,instruction,prophetic
domain2,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,?,D,D,?,D,D,D,?,Q,N,Q,D,D,D,Q,?,?,N,N,D,N,Q,N,D,D,?
person,p3,p3,p3,p2,p3,p1,p1,p2,p2,p1,p2,p3,p3,p3,p3,p3,p3,p2,p3,p1,p3,p3,p1,p3,p2,p2,p3,p3,p3,p3,p1,p2,p1,p3,p2,p1,p2
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES,3.51,5.97,12.05,21.24,10.75,44.6,46.95,29.41,18.08,21.76,62.23,16.94,267.6,178.4,83.62,92.28,41.17,243.27,191.14,892.0,2676.0,2676.0,535.2,inf,1338.0,inf,inf,2676.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,7.51,6.76,8.91,32.67,71.27,6.64,5.35,29.77,24.0,12.58,784.0,49.0,2352.0,78.4,73.5,470.4,156.8,inf,inf,123.79,inf,inf,470.4,inf,1176.0,inf,inf,inf,2352.0,inf,2352.0,inf,2352.0,inf,inf,2352.0,inf
FUT ~ MOD shall,12.75,2.38,5.41,15.32,17.65,72.79,124.79,11.97,145.58,51.38,134.38,873.5,1747.0,51.38,52.94,291.17,inf,1747.0,291.17,436.75,inf,174.7,inf,inf,inf,inf,inf,inf,1747.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,54.64,66.78,66.78,2.66,601.0,601.0,inf,3.98,3.49,inf,33.39,inf,inf,inf,601.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,601.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,601.0,inf,inf
IMPV ~ MOD shall,inf,253.5,46.09,4.41,29.82,inf,inf,20.28,inf,inf,1.76,inf,inf,inf,inf,101.4,inf,13.7,inf,inf,inf,inf,inf,inf,inf,84.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,507.0
PAST,3.89,11.18,55.88,111.75,447.0,63.86,22.35,63.86,15.96,9.12,inf,89.4,4.56,26.29,223.5,149.0,26.29,inf,447.0,inf,49.67,inf,inf,55.88,inf,inf,111.75,223.5,inf,447.0,447.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES,3.64,5.64,10.72,13.84,35.75,39.0,17.88,20.43,26.81,14.3,107.25,15.32,inf,71.5,143.0,inf,107.25,inf,inf,143.0,inf,inf,inf,inf,214.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
