eng_TAMsimp,SBH,LBH
FUT,0.13,7.57
PRES,0.08,13.16
FUT ~ MOD shall,0.22,4.45
IMPV ~ MOD shall,0.01,67.43
MOD must ~ MOD shall,0.02,50.83
IMPV,0.2,5.09
MOD may,0.08,13.22
MOD let,0.21,4.86
MOD is to ~ MOD shall,0.03,31.86
PAST,0.21,4.82
MOD shall,0.05,19.33
FUT ~ PRES,0.11,9.27
MOD shall ~ PRES,0.04,22.75
FUT ~ MOD may,0.09,10.71
IMPV ~ MOD let,0.36,2.76
MOD can,0.08,11.83
MOD should,0.36,2.79
MOD can ~ MOD may,0.13,7.83
FUT ~ MOD lest,0.04,23.0
MOD would,0.26,3.78
TO INF,0.24,4.12
MOD may ~ TO INF,0.22,4.57
MOD let ~ MOD may,0.15,6.8
PRES ~ PRES PERF,0.05,18.5
MOD may ~ MOD shall,0.0,inf
MOD may ~ PRES,0.03,33.0
PRES ~ PRES PART,0.14,7.25
MOD shall ~ TO INF,0.29,3.5
PAST ~ PRES,0.04,26.0
IMPV ~ MOD may,0.0,inf
PRES ~ TO INF,0.09,11.0
MOD could,0.1,10.0
MOD can ~ PRES,0.05,20.0
MOD must,0.0,inf
MOD should ~ PRES,0.24,4.25
MOD can ~ MOD shall,0.11,9.0
PRES PERF,0.33,3.0
FUT ~ MOD can,0.46,2.17
IMPV ~ PRES,0.12,8.0
FUT ~ MOD would,0.06,16.0
MOD would ~ PAST,0.42,2.4
MOD let ~ TO INF,0.0,inf
FUT ~ TO INF,0.33,3.0
PRES PART,0.15,6.5
MOD shall ~ MOD should,0.15,6.5
FUT ~ MOD let,0.08,13.0
MOD let ~ MOD must,0.18,5.5
PAST ~ PRES PERF,0.0,inf
MOD may ~ MOD must,0.1,10.0
IMPV ~ MOD must,0.0,inf
MOD let ~ MOD shall,0.1,10.0
MOD lest ~ PRES,0.0,inf
PRES ~ PRES PROG,0.1,10.0
MOD is to ~ MOD let,0.43,2.33
MOD must ~ PRES,0.11,9.0
MOD should ~ TO INF,1.0,1.0
MOD lest ~ MOD may,0.0,inf
MOD let ~ MOD should,0.12,8.0
FUT ~ IMPV,0.0,inf
HAB used to ~ PAST,0.12,8.0
MOD shall ~ PRES PART,0.0,inf
PAST ~ PRES PART,0.33,3.0
MOD shall ~ PAST,0.17,6.0
MOD should ~ MOD was to,1.33,0.75
PAST ~ TO INF,0.75,1.33
MOD is to,0.0,inf
