eng_TAMsimp,SBH,LBH
PRES,1.07,14.38
FUT,1.14,8.24
FUT ~ MOD shall,1.22,5.5
IMPV ~ MOD shall,1.01,68.0
MOD must ~ MOD shall,1.02,51.33
IMPV,1.2,6.05
MOD is to ~ MOD shall,1.03,32.86
MOD may,1.05,22.1
PAST,1.21,5.79
MOD shall,1.05,20.33
MOD let,1.21,5.75
FUT ~ PRES,1.11,10.0
MOD shall ~ PRES,1.04,23.75
MOD can,1.09,12.67
FUT ~ MOD may,1.08,13.0
IMPV ~ MOD let,1.38,3.65
MOD should,1.36,3.79
FUT ~ MOD lest,1.04,24.0
MOD would,1.28,4.56
PRES ~ PRES PERF,1.05,19.5
MOD may ~ MOD shall,1.0,inf
MOD can ~ MOD may,1.16,7.4
TO INF,1.21,5.83
PRES ~ PRES PART,1.14,8.25
MOD may ~ PRES,1.03,30.0
MOD may ~ TO INF,1.22,5.6
PAST ~ PRES,1.04,27.0
MOD shall ~ TO INF,1.29,4.5
MOD let ~ MOD may,1.24,5.2
PRES ~ TO INF,1.09,12.0
IMPV ~ MOD may,1.0,inf
MOD could,1.1,11.0
MOD must,1.0,inf
MOD should ~ PRES,1.24,5.25
MOD can ~ MOD shall,1.11,10.0
PRES PERF,1.33,4.0
MOD can ~ PRES,1.05,20.0
FUT ~ MOD can,1.5,3.0
MOD would ~ PAST,1.42,3.4
MOD shall ~ MOD should,1.15,7.5
PRES PART,1.15,7.5
FUT ~ TO INF,1.36,3.75
IMPV ~ PRES,1.07,15.0
FUT ~ MOD would,1.08,14.0
MOD let ~ TO INF,1.0,inf
MOD lest ~ PRES,1.0,inf
PRES ~ PRES PROG,1.1,11.0
PAST ~ PRES PERF,1.0,inf
IMPV ~ MOD must,1.0,inf
MOD may ~ MOD must,1.11,10.0
MOD must ~ PRES,1.11,10.0
MOD should ~ TO INF,2.0,2.0
MOD lest ~ MOD may,1.0,inf
MOD let ~ MOD shall,1.12,9.0
MOD is to ~ MOD let,1.5,3.0
MOD shall ~ PRES PART,1.0,inf
HAB used to ~ PAST,1.12,9.0
PAST ~ PRES PART,1.33,4.0
MOD let ~ MOD must,1.0,inf
FUT ~ IMPV,1.0,inf
FUT ~ MOD let,1.17,7.0
MOD is to,1.0,inf
MOD should ~ MOD was to,2.33,1.75
MOD shall ~ PAST,1.17,7.0
PAST ~ TO INF,1.75,2.33
PAST ~ PAST PERF,1.2,6.0
MOD is to ~ MOD may,1.2,6.0
PAST PERF,1.2,6.0
MOD let ~ MOD should,1.2,6.0
FUT ~ FUT going-to,1.0,inf
MOD would ~ PRES,1.2,6.0
FUT ~ PAST,1.67,2.5
FUT ~ PRES PART,1.25,5.0
MOD lest ~ TO INF,1.0,inf
FUT going-to ~ MOD shall,1.0,inf
MOD lest ~ MOD might,1.0,inf
MOD could ~ MOD might,2.0,2.0
MOD was to ~ PAST,1.0,inf
MOD should ~ MOD would,1.33,4.0
IMPV ~ PRES PART,1.0,inf
MOD was to,1.33,4.0
HAB used to,1.0,inf
PRES PART ~ TO INF,1.0,inf
MOD might,1.0,inf
MOD is to ~ MOD must,1.0,inf
MOD can ~ MOD let,1.0,inf
IMPV ~ TO INF,1.0,inf
FUT ~ PRES PROG,1.0,inf
FUT ~ PRES PERF,1.0,inf
MOD shall ~ MOD would,1.0,inf
MOD lest ~ MOD would,1.0,inf
FUT ~ MOD is to,1.5,3.0
IMPV ~ MOD is to,1.5,3.0
PAST PROG,1.5,3.0
MOD let ~ PRES,1.5,3.0
MOD can ~ MOD should,1.5,3.0
MOD can ~ MOD could,1.0,inf
FUT ~ MOD that be,1.0,inf
FUT ~ MOD should,1.0,inf
MOD can ~ MOD might,1.0,inf
MOD could ~ PAST,1.0,inf
MOD may ~ PRES PART,1.5,3.0
MOD might ~ MOD should,1.5,3.0
MOD shall ~ PRES PERF,1.0,inf
PAST ~ PAST PROG,1.0,inf
MOD could ~ MOD would,1.0,inf
MOD could ~ MOD should,2.0,2.0
MOD can ~ TO INF,1.0,inf
IMPV ~ MOD can,1.0,inf
?VB ~ PAST,1.0,inf
MOD let ~ PAST,1.0,inf
FUT ~ MOD must,1.0,inf
MOD should ~ PRES PERF,1.0,inf
?VB ~ MOD shall,1.0,inf
MOD is to ~ PRES PART,2.0,2.0
MOD lest ~ MOD should,1.0,inf
?VB ~ MOD must,2.0,2.0
MOD let ~ MOD would,1.0,inf
MOD let ~ PRES PART,1.0,inf
MOD let ~ PRES PERF,2.0,2.0
MOD is to ~ PRES,1.0,inf
FUT PROG ~ PRES,1.0,inf
PAST PERF ~ PRES,1.0,inf
FUT PERF ~ PRES,inf,1.0
FUT PROG ~ MOD shall,1.0,inf
?VB,1.0,inf
HAB used to ~ PRES,1.0,inf
FUT going-to ~ MOD lest,1.0,inf
?VB ~ IMPV,inf,1.0
FUT ~ MOD,1.0,inf
?VB ~ MOD let,inf,1.0
FUT ~ PRES shall,1.0,inf
IMPV ~ MOD,1.0,inf
IMPV ~ MOD need not,1.0,inf
MOD lest ~ MOD that be,1.0,inf
IMPV ~ MOD should,1.0,inf
MOD might ~ MOD would,1.0,inf
MOD must ~ MOD should,1.0,inf
MOD must ~ PRES PART,1.0,inf
MOD must ~ PRES shall,1.0,inf
MOD must ~ TO INF,1.0,inf
MOD need not ~ MOD shall,1.0,inf
MOD need not ~ PRES,1.0,inf
MOD quest must ~ MOD shall,1.0,inf
MOD should ~ PAST,1.0,inf
MOD should ~ PRES PART,inf,1.0
MOD that be,1.0,inf
MOD that be ~ TO INF,1.0,inf
MOD was to ~ PRES,1.0,inf
MOD would ~ PRES PART,1.0,inf
MOD would ~ TO INF,inf,1.0
MOD ~ PRES,1.0,inf
PRES PART ~ PRES PERF,1.0,inf
PRES PART ~ PRES PROG,1.0,inf
PRES ~ PRES can,1.0,inf
PRES ~ PRES shall,1.0,inf
MOD might ~ TO INF,inf,1.0
MOD may ~ PRES PERF,1.0,inf
IMPV ~ PAST,1.0,inf
MOD may ~ PAST,1.0,inf
MOD VB ~ MOD may,1.0,inf
MOD can ~ MOD lest,1.0,inf
MOD can ~ MOD must,1.0,inf
MOD can ~ PAST,1.0,inf
MOD can ~ PRES PART,1.0,inf
MOD could ~ MOD shall,1.0,inf
MOD could ~ PAST PERF,1.0,inf
MOD could ~ PRES PERF,1.0,inf
MOD could ~ TO INF,1.0,inf
MOD is to ~ MOD should,1.0,inf
MOD is to ~ PRES PROG,1.0,inf
MOD is to ~ TO INF,1.0,inf
MOD lest ~ MOD let,1.0,inf
MOD lest ~ MOD must,1.0,inf
MOD lest ~ MOD shall,1.0,inf
MOD let ~ MOD that be,1.0,inf
MOD let ~ VB,1.0,inf
MOD may ~ MOD might,1.0,inf
MOD may ~ MOD would,1.0,inf
??VB ~ MOD let,inf,1.0
