period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,LBH,LBH,LBH,LBH,SBH,SBH
genre,prose,instruction,prose,poetry,instruction,prose,instruction,prose,poetry,list,prose,list,prose,list,prophetic,prose,list,prose,list,list,instruction,list
domain2,Q,Q,Q,Q,D,D,?,D,Q,Q,N,D,N,D,Q,?,?,?,Q,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,
FUT,610,56,93,37,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES,342,289,54,39,40,10,14,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
FUT ~ MOD shall,355,104,104,24,7,1,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,117,307,7,0,42,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,53,217,6,0,25,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV,204,19,44,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,158,68,18,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,183,15,38,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,48,152,7,0,9,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
PAST,14,1,4,43,1,83,1,15,6,0,9,4,0,4,0,3,2,1,0,1,0,0
MOD shall,88,77,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,71,18,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,30,42,4,7,5,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,56,17,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,51,5,19,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,57,7,6,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,35,0,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0
MOD can ~ MOD may,42,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,31,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,22,0,3,2,0,6,0,4,0,0,4,0,1,0,0,0,0,0,1,0,0,0
TO INF,26,4,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,29,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,32,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,19,14,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,16,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,23,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,12,9,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,6,1,1,10,2,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,4,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,6,5,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,16,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,8,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,10,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,14,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD let ~ TO INF,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,10,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,2,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
MOD may ~ MOD must,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,3,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,5,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
