period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH
genre,prose,instruction,prose,poetry,instruction,prose,instruction,prose,poetry,list,prose,list,prose,list,list,prose,prophetic,prose,list,list,instruction,list
domain2,Q,Q,Q,Q,D,D,?,D,Q,Q,N,D,N,D,?,?,Q,?,Q,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,
PRES,-0.08,0.1,-0.02,0.01,0.02,-0.02,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
FUT,0.29,-0.23,0.04,0.0,-0.03,-0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.08,-0.12,0.09,-0.0,-0.02,-0.03,0.0,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD shall,-0.28,0.4,-0.08,-0.04,0.06,-0.03,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.35,0.45,-0.07,-0.04,0.05,-0.03,0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,0.22,-0.21,0.07,-0.0,-0.03,-0.03,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.31,0.4,-0.06,-0.04,0.01,-0.03,0.02,-0.01,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,0.09,0.03,-0.04,-0.04,0.01,-0.03,0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.44,-0.28,-0.07,0.19,-0.03,0.42,-0.0,0.07,0.03,-0.01,0.05,0.02,-0.0,0.02,0.01,0.02,-0.0,0.01,-0.0,0.01,-0.0,-0.0
MOD shall,-0.02,0.15,-0.04,-0.04,0.0,-0.03,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,0.22,-0.21,0.06,-0.0,-0.03,-0.03,-0.01,-0.01,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,0.12,-0.11,0.01,0.08,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,-0.19,0.17,-0.05,0.03,0.02,-0.03,0.03,-0.01,-0.01,0.02,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,0.24,-0.19,-0.01,0.03,-0.03,-0.03,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,0.13,-0.01,-0.01,-0.04,-0.0,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,0.11,-0.2,0.17,-0.01,-0.03,-0.03,-0.01,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,0.16,-0.28,0.08,-0.0,-0.03,-0.01,-0.01,0.07,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,0.02,-0.0
FUT ~ MOD lest,0.14,0.04,-0.05,-0.04,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.02,-0.28,-0.01,0.01,-0.03,0.12,-0.01,0.09,-0.01,-0.01,0.09,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.02,0.08,-0.04,-0.01,0.05,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD shall,-0.08,0.25,-0.09,-0.04,-0.01,-0.03,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,0.23,-0.14,0.05,-0.04,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,0.15,-0.16,0.06,-0.01,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,0.03,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,-0.14,-0.0,0.03,0.17,-0.0,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,0.13,-0.04,-0.05,-0.04,0.07,-0.03,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
