period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH
genre,prose,instruction,prose,poetry,instruction,prose,instruction,prose,poetry,list,prose,list,prose,list,list,prose,prophetic,prose,list,list,instruction,list
domain2,Q,Q,Q,Q,D,D,?,D,Q,Q,N,D,N,D,?,?,Q,?,Q,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,
PRES,1.32,1.74,13.92,19.28,18.78,78.1,55.5,inf,394.5,790.0,790.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,790.0
FUT,0.33,12.78,7.33,21.97,125.33,378.0,inf,inf,757.0,757.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,0.74,4.93,5.05,26.77,86.29,610.0,100.83,inf,60.1,60.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,3.1,0.56,67.0,inf,10.33,inf,inf,inf,inf,78.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,4.92,0.43,50.33,inf,11.32,inf,33.22,inf,inf,307.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,0.39,12.05,5.36,26.56,inf,247.0,inf,inf,123.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,3.79,0.51,31.86,inf,24.56,inf,31.86,inf,inf,31.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,0.69,2.25,21.1,inf,23.56,inf,72.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,12.64,190.0,46.75,3.55,190.0,1.3,190.0,11.73,30.83,inf,20.22,46.75,inf,46.75,94.5,62.67,inf,190.0,inf,190.0,inf,inf
MOD shall,1.08,1.38,19.33,inf,29.5,inf,60.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,0.39,12.8,5.9,26.6,inf,inf,inf,inf,33.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,0.62,5.11,9.0,7.46,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,2.17,1.26,22.75,12.57,18.0,inf,22.75,inf,inf,46.5,inf,94.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,0.36,9.86,11.67,14.2,inf,inf,37.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,0.59,2.82,12.0,inf,31.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,0.63,11.4,2.88,30.0,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,0.51,inf,4.89,25.5,inf,52.0,inf,12.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.0,inf,inf,52.0,inf
FUT ~ MOD lest,0.55,2.2,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,1.05,inf,12.67,19.5,inf,5.83,inf,9.25,inf,inf,9.25,inf,40.0,inf,inf,inf,inf,inf,40.0,inf,inf,inf
PRES ~ PRES PERF,1.05,1.79,18.5,38.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,1.38,0.9,inf,inf,37.0,inf,37.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,0.37,6.4,6.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,0.52,7.75,6.0,34.0,inf,inf,inf,inf,inf,inf,34.0,inf,34.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,1.75,2.67,7.25,3.71,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,0.58,3.29,29.0,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,0.4,8.33,4.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,3.5,26.0,26.0,1.7,12.5,5.75,inf,inf,inf,26.0,26.0,26.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,0.69,4.4,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.3,25.0,4.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,5.0,0.41,11.0,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,0.21,6.67,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,2.67,3.4,21.0,21.0,inf,1.75,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,0.4,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,0.4,9.5,4.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,0.25,9.0,19.0,inf,inf,inf,inf,inf,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,1.5,2.33,3.0,inf,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
