period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH
genre,prose,instruction,prose,poetry,instruction,prose,instruction,prose,poetry,list,prose,list,prose,list,list,prose,prophetic,prose,list,list,instruction,list
domain2,Q,Q,Q,Q,D,D,?,D,Q,Q,N,D,N,D,?,?,Q,?,Q,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,,
PRES,2.32,2.74,14.92,20.28,19.78,79.1,56.5,inf,395.5,791.0,791.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,791.0
FUT,1.33,13.78,8.33,22.97,126.33,379.0,inf,inf,758.0,758.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,1.74,5.93,6.05,27.77,87.29,611.0,101.83,inf,61.1,61.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,4.1,1.56,68.0,inf,11.33,inf,inf,inf,inf,79.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,5.92,1.43,51.33,inf,12.32,inf,34.22,inf,inf,308.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,1.39,13.05,6.36,27.56,inf,248.0,inf,inf,124.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,4.79,1.51,32.86,inf,25.56,inf,32.86,inf,inf,32.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,1.69,3.25,22.1,inf,24.56,inf,73.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST,13.64,191.0,47.75,4.55,191.0,2.3,191.0,12.73,31.83,inf,21.22,47.75,inf,47.75,95.5,63.67,inf,191.0,inf,191.0,inf,inf
MOD shall,2.08,2.38,20.33,inf,30.5,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,1.39,13.8,6.9,27.6,inf,inf,inf,inf,34.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,1.62,6.11,10.0,8.46,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,3.17,2.26,23.75,13.57,19.0,inf,23.75,inf,inf,47.5,inf,95.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,1.36,10.86,12.67,15.2,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,1.59,3.82,13.0,inf,32.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,1.63,12.4,3.88,31.0,inf,inf,inf,inf,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,1.51,inf,5.89,26.5,inf,53.0,inf,13.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,53.0,inf,inf,53.0,inf
FUT ~ MOD lest,1.55,3.2,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,2.05,inf,13.67,20.5,inf,6.83,inf,10.25,inf,inf,10.25,inf,41.0,inf,inf,inf,inf,inf,41.0,inf,inf,inf
PRES ~ PRES PERF,2.05,2.79,19.5,39.0,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,2.38,1.9,inf,inf,38.0,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,1.37,7.4,7.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,1.52,8.75,7.0,35.0,inf,inf,inf,inf,inf,inf,35.0,inf,35.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,2.75,3.67,8.25,4.71,33.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,1.58,4.29,30.0,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,1.4,9.33,5.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,4.5,27.0,27.0,2.7,13.5,6.75,inf,inf,inf,27.0,27.0,27.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,1.69,5.4,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,1.3,26.0,5.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,6.0,1.41,12.0,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,1.21,7.67,inf,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,3.67,4.4,22.0,22.0,inf,2.75,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,1.4,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,1.4,10.5,5.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,1.25,10.0,20.0,inf,inf,inf,inf,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,2.5,3.33,4.0,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
