genre,prophetic,prose,poetry,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,list,prophetic,instruction
domain2,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,
PRES,4.49,6.56,2.59,9.07,16.94,267.6,66.9,121.64,83.62,41.17,191.14,2676.0,2676.0,inf,inf,2676.0,inf,inf,inf
FUT,2.71,3.41,3.93,42.76,49.0,1176.0,392.0,63.57,73.5,156.8,inf,2352.0,inf,inf,inf,inf,inf,2352.0,inf
FUT ~ MOD shall,1.96,3.79,9.55,15.06,873.5,1747.0,249.57,51.38,52.94,inf,291.17,174.7,inf,inf,inf,inf,inf,1747.0,inf
IMPV,3.76,2.55,3.28,31.63,inf,601.0,inf,601.0,601.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD shall,18.78,4.02,inf,1.66,inf,inf,12.07,inf,507.0,inf,inf,84.5,inf,inf,inf,inf,inf,inf,inf
PAST,6.67,23.53,2.33,447.0,89.4,4.52,149.0,26.29,223.5,26.29,447.0,inf,49.67,55.88,111.75,223.5,447.0,inf,inf
FUT ~ PRES,3.55,5.23,2.62,22.58,15.32,inf,inf,53.62,143.0,107.25,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,3.99,2.96,3.08,36.7,21.59,inf,inf,122.33,367.0,367.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,14.7,5.73,338.0,1.54,inf,inf,13.52,338.0,inf,inf,37.56,338.0,inf,inf,inf,inf,inf,inf,inf
MOD may,9.31,2.23,5.02,4.79,inf,inf,36.22,inf,inf,inf,108.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,10.14,5.35,inf,1.57,inf,inf,32.67,inf,inf,inf,42.0,42.0,inf,inf,inf,inf,inf,inf,inf
MOD can,3.97,4.15,2.43,38.57,22.5,inf,inf,270.0,90.0,270.0,135.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,10.48,2.22,20.0,2.75,inf,inf,36.67,inf,inf,inf,73.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,4.29,4.29,6.82,3.26,inf,inf,30.0,inf,inf,inf,37.5,75.0,inf,150.0,inf,inf,inf,inf,inf
FUT ~ MOD may,4.62,2.68,3.94,7.88,inf,inf,67.0,134.0,134.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,4.8,4.8,2.31,inf,inf,12.0,inf,120.0,inf,inf,inf,120.0,20.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,5.33,1.93,4.15,22.4,112.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,3.36,13.88,2.18,111.0,37.0,27.75,55.5,55.5,55.5,55.5,inf,111.0,111.0,111.0,inf,inf,inf,inf,inf
MOD let ~ MOD may,20.8,4.16,1.42,104.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,3.84,5.65,2.74,9.6,24.0,inf,96.0,96.0,96.0,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.89,4.19,2.84,6.29,inf,inf,29.33,88.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,6.38,1.77,5.19,inf,inf,16.6,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,83.0
FUT ~ MOD lest,7.2,2.18,5.14,4.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,4.44,3.74,2.29,71.0,17.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,3.74,2.45,4.44,17.75,inf,inf,inf,inf,inf,71.0,inf,inf,35.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,3.05,3.56,3.2,64.0,32.0,inf,inf,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,6.2,2.82,3.88,8.86,20.67,inf,20.67,inf,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,5.08,3.81,2.54,10.17,inf,inf,61.0,inf,inf,30.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,11.6,3.62,4.46,2.9,29.0,inf,58.0,inf,inf,inf,58.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,3.44,5.0,2.12,27.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,10.0,1.56,8.33,10.0,50.0,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,2.88,4.45,3.06,24.5,inf,49.0,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,7.5,6.43,3.75,2.65,22.5,inf,inf,45.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,5.0,2.37,3.0,22.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,3.67,2.59,4.0,22.0,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,4.2,3.0,2.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,3.45,2.53,7.6,6.33,inf,inf,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,3.8,1.73,38.0,7.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,9.5,5.43,4.75,7.6,inf,3.8,inf,19.0,inf,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,4.71,16.5,1.5,16.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,11.0,1.27,33.0,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,2.38,2.07,15.5,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,30.0,1.58,4.29,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,4.83,2.07,3.62,inf,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,14.5,inf,9.67,14.5,inf,1.81,inf,5.8,inf,inf,inf,inf,inf,inf,inf,29.0,inf,inf,inf
MOD would ~ PRES,23.0,4.6,1.53,inf,inf,inf,inf,inf,inf,23.0,23.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,3.29,3.29,2.88,inf,inf,inf,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,3.67,5.5,2.44,inf,11.0,inf,inf,inf,inf,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,10.5,21.0,3.0,21.0,inf,5.25,inf,5.25,21.0,inf,inf,inf,inf,21.0,inf,inf,inf,inf,inf
FUT ~ MOD let,4.2,3.0,2.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,2.5,10.0,inf,2.22,inf,inf,inf,inf,inf,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,6.33,2.71,3.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.33,inf,inf,19.0,inf,inf,inf
MOD must ~ PRES,9.0,3.6,3.0,4.5,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,2.43,3.4,8.5,inf,inf,inf,inf,17.0,8.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,17.0,1.42,4.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,16.0,5.33,4.0,2.67,inf,inf,16.0,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,8.0,2.29,8.0,8.0,inf,inf,5.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,2.5,5.0,inf,15.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,2.14,3.0,7.5,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,7.0,1.27,inf,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,14.0,1.4,7.0,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,2.0,2.8,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,14.0,4.67,2.0,inf,inf,inf,14.0,14.0,inf,inf,inf,inf,14.0,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,6.5,13.0,4.33,13.0,inf,4.33,inf,13.0,inf,inf,inf,13.0,inf,inf,inf,inf,13.0,inf,inf
FUT ~ MOD should,3.0,6.0,3.0,12.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,6.0,4.0,12.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,11.0,2.75,1.83,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,inf,2.2,11.0,2.75,inf,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,inf,5.5,1.22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,10.0,2.0,inf,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,10.0,2.5,inf,inf,3.33,inf,inf,10.0,inf,inf,inf,10.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,9.0,1.5,inf,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,4.5,9.0,9.0,4.5,inf,9.0,9.0,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf
MOD is to ~ MOD let,inf,1.8,inf,2.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,2.67,2.0,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,8.0,8.0,2.67,8.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,8.0,1.33,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,8.0,2.67,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,1.75,3.5,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,1.75,3.5,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD should,1.17,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,3.5,3.5,2.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest,7.0,inf,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,inf,3.5,3.5,inf,inf,3.5,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,7.0,inf,inf,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,2.33,2.33,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,2.33,inf,2.33,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,3.5,3.5,7.0,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,6.0,inf,3.0,3.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,6.0,1.5,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,inf,6.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,3.0,2.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,6.0,3.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,3.0,inf,2.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,3.0,2.0,inf,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,6.0,3.0,6.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,6.0,1.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,inf,3.0,2.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD let,inf,6.0,1.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,inf,inf,6.0,inf,inf,2.0,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,5.0,5.0,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,2.5,inf,5.0,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,5.0,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,2.5,inf,2.5,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,5.0,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,inf,1.25,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,5.0,inf,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,5.0,2.5,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,1.67,inf,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,inf,inf,5.0,inf,inf,1.67,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf
MOD might ~ MOD should,inf,2.5,2.5,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,4.0,4.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,4.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,2.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,4.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,4.0,4.0,4.0,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,4.0,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
