eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,0.8,2.8,12.39,8.76,171.7
IMPV ~ MOD shall,17.0,3.03,0.46,inf,83.0
FUT ~ PRES,2.16,4.11,20.79,1.26,inf
MOD must ~ MOD shall,13.08,4.73,0.34,337.0,337.0
MOD is to ~ MOD shall,9.14,4.35,0.45,inf,41.0
MOD shall ~ PRES,3.23,3.23,1.69,6.4,48.33
PAST ~ PRES,1.97,7.46,35.67,1.0,54.0
FUT ~ MOD may,2.96,1.86,4.42,3.68,inf
PRES ~ PRES PART,2.56,4.65,7.73,1.34,inf
PRES ~ PRES PERF,3.63,3.19,4.18,1.84,inf
FUT ~ MOD lest,6.1,1.22,3.73,4.07,inf
MOD can ~ PRES,3.44,2.74,70.0,1.03,inf
FUT ~ MOD can,1.78,2.56,63.0,1.91,inf
MOD may ~ MOD shall,9.6,2.79,1.41,3.42,inf
IMPV ~ PRES,2.13,5.71,22.5,1.04,inf
MOD may ~ PRES,3.6,3.6,3.6,1.88,inf
MOD should ~ PRES,3.89,1.32,21.0,2.14,inf
MOD can ~ MOD shall,2.67,1.59,21.0,2.38,inf
PRES ~ TO INF,4.86,4.86,2.15,1.93,inf
FUT ~ MOD would,3.0,2.08,inf,1.35,inf
MOD shall ~ TO INF,2.7,0.76,6.4,36.0,inf
MOD can ~ MOD may,5.8,1.0,5.8,3.86,inf
PAST ~ PRES PERF,3.71,15.5,15.5,0.5,inf
MOD shall ~ MOD should,1.38,1.07,30.0,14.5,inf
MOD would ~ PAST,3.14,0.81,13.5,8.67,28.0
FUT ~ TO INF,3.5,1.25,inf,2.0,inf
MOD would ~ PRES,22.0,3.6,22.0,0.44,inf
PAST ~ PRES PART,2.0,3.2,20.0,2.0,20.0
FUT ~ IMPV,3.2,2.0,20.0,1.62,inf
MOD shall ~ PRES PART,1.5,9.0,1.0,inf,inf
MOD must ~ PRES,8.0,2.6,2.6,2.0,inf
MOD should ~ TO INF,8.0,0.8,inf,2.6,17.0
MOD lest ~ MOD may,7.0,4.33,1.29,3.0,inf
PRES ~ PRES PROG,7.0,1.29,2.2,7.0,inf
FUT ~ PRES PART,0.5,4.0,inf,6.5,inf
FUT ~ PAST,0.88,2.0,inf,6.5,inf
MOD let ~ PRES,2.0,4.0,inf,1.14,inf
MOD lest ~ PRES,13.0,0.4,13.0,6.0,inf
FUT ~ MOD let,2.5,1.8,inf,1.8,inf
MOD should ~ MOD would,6.0,2.5,13.0,1.0,inf
MOD shall ~ PAST,1.0,1.8,6.0,inf,inf
IMPV ~ MOD may,12.0,1.17,5.5,2.25,inf
MOD let ~ MOD shall,2.25,3.33,1.17,inf,inf
HAB used to ~ PAST,5.0,0.33,inf,11.0,inf
MOD may ~ TO INF,5.0,0.5,11.0,11.0,inf
FUT ~ MOD should,2.0,5.0,11.0,1.4,inf
IMPV ~ MOD must,5.0,0.33,11.0,inf,inf
IMPV ~ MOD let,2.67,1.75,1.75,inf,inf
PAST ~ TO INF,4.5,2.67,10.0,2.67,4.5
IMPV ~ MOD can,inf,4.5,inf,0.22,inf
MOD may ~ MOD must,inf,1.0,1.0,inf,inf
PAST ~ PAST PERF,9.0,1.0,inf,1.5,inf
MOD was to ~ PAST,3.5,2.0,2.0,8.0,inf
MOD can ~ MOD should,1.67,1.0,inf,7.0,inf
MOD can ~ MOD could,7.0,1.67,inf,1.0,inf
FUT ~ MOD must,2.5,2.5,inf,1.33,inf
MOD should ~ MOD was to,inf,0.4,inf,2.5,inf
MOD could ~ MOD would,0.5,2.0,inf,inf,inf
MOD let ~ MOD must,inf,0.5,2.0,inf,inf
MOD could ~ PAST,inf,2.0,inf,0.5,inf
MOD is to ~ MOD may,inf,2.0,0.5,inf,inf
FUT going-to ~ MOD shall,5.0,0.2,inf,inf,inf
PRES PART ~ TO INF,5.0,inf,1.0,2.0,inf
FUT ~ PRES PERF,2.0,1.0,inf,5.0,inf
MOD shall ~ MOD would,inf,2.0,5.0,1.0,inf
MOD lest ~ MOD might,5.0,0.5,5.0,inf,inf
MOD might ~ MOD would,2.0,inf,5.0,1.0,inf
PAST ~ PAST PROG,2.0,1.0,inf,5.0,inf
MOD may ~ PRES PART,0.67,1.5,inf,inf,inf
