,prophetic,prose,instruction,poetry,list
FUT ~ MOD shall,5.2,0.96,0.18,0.41,0.85
IMPV ~ MOD shall,0.11,0.89,9.5,0.0,2.03
FUT ~ PRES,1.02,0.64,0.14,4.25,0.0
MOD must ~ MOD shall,0.16,0.56,12.03,0.01,0.44
MOD is to ~ MOD shall,0.23,0.61,8.56,0.0,4.46
MOD shall ~ PRES,0.68,0.84,1.98,0.71,3.39
PAST ~ PRES,1.12,0.36,0.09,4.79,2.96
FUT ~ MOD may,0.74,1.48,0.74,1.25,0.0
PRES ~ PRES PART,0.86,0.58,0.42,3.51,0.0
PRES ~ PRES PERF,0.6,0.85,0.78,2.53,0.0
FUT ~ MOD lest,0.36,2.27,0.88,1.12,0.0
MOD can ~ PRES,0.64,1.0,0.05,4.57,0.0
FUT ~ MOD can,1.24,1.07,0.05,2.42,0.0
MOD may ~ MOD shall,0.23,0.98,2.35,1.34,0.0
IMPV ~ PRES,1.04,0.47,0.14,4.46,0.0
MOD may ~ PRES,0.61,0.76,0.91,2.46,0.0
MOD should ~ PRES,0.57,2.09,0.15,2.15,0.0
MOD can ~ MOD shall,0.83,1.72,0.15,1.93,0.0
PRES ~ TO INF,0.45,0.56,1.53,2.39,0.0
FUT ~ MOD would,0.73,1.32,0.0,3.42,0.0
MOD shall ~ TO INF,0.82,3.62,0.51,0.13,0.0
MOD can ~ MOD may,0.38,2.75,0.56,1.18,0.0
PAST ~ PRES PERF,0.59,0.17,0.21,9.32,0.0
MOD shall ~ MOD should,1.6,2.57,0.11,0.31,0.0
MOD would ~ PAST,0.7,3.38,0.24,0.53,5.62
FUT ~ TO INF,0.63,2.19,0.0,2.29,0.0
MOD would ~ PRES,0.1,0.76,0.15,10.6,0.0
PAST ~ PRES PART,1.1,0.85,0.16,2.29,7.88
FUT ~ IMPV,0.69,1.36,0.16,2.82,0.0
MOD shall ~ PRES PART,1.47,0.3,3.3,0.0,0.0
MOD must ~ PRES,0.28,1.05,1.26,2.29,0.0
MOD should ~ TO INF,0.28,3.42,0.0,1.76,9.27
MOD lest ~ MOD may,0.31,0.63,2.56,1.52,0.0
PRES ~ PRES PROG,0.31,2.13,1.49,0.65,0.0
FUT ~ PRES PART,4.44,0.68,0.0,0.7,0.0
