genre,prophetic,prose,instruction,poetry,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,list,prophetic,prose
domain2,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT ~ MOD shall,889,453,116,175,7,34,2,1,33,6,10,0,0,0,0,0,1,0
IMPV ~ MOD shall,27,125,303,0,42,0,0,0,1,0,6,0,0,0,0,0,0,0
FUT ~ PRES,120,81,19,151,0,8,28,0,3,0,0,4,0,0,0,0,0,0
MOD must ~ MOD shall,23,59,219,1,25,1,0,0,0,9,1,0,0,0,0,0,0,0
MOD is to ~ MOD shall,29,55,187,0,9,0,0,0,0,7,7,0,0,0,0,0,0,0
MOD shall ~ PRES,35,35,46,20,5,0,0,0,0,4,2,0,0,1,0,0,0,0
PAST ~ PRES,33,8,1,50,2,2,3,4,2,0,1,2,1,1,0,0,0,0
FUT ~ MOD may,24,36,17,22,2,1,0,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,25,17,10,35,1,1,4,0,1,0,0,2,0,0,0,0,0,0
PRES ~ PRES PERF,18,21,14,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,10,32,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,16,19,1,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,21,18,1,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,5,14,20,10,1,0,2,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ PRES,15,7,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,9,10,7,13,3,0,3,0,1,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,9,19,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,12,17,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,6,7,13,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,10,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
