genre,prose,prophetic,poetry,instruction,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,prophetic,list,prose
domain2,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT ~ MOD shall,2.78,0.96,8.46,14.12,251.71,48.14,883.5,1768.0,52.61,293.83,175.9,inf,inf,inf,inf,1768.0,inf,inf
IMPV ~ MOD shall,3.02,17.89,inf,0.66,11.14,inf,inf,inf,509.0,inf,84.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,4.21,2.63,1.55,22.32,inf,54.38,14.82,inf,146.67,inf,inf,109.75,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,4.68,13.83,340.0,0.54,12.64,340.0,inf,inf,inf,36.89,340.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,4.36,9.17,inf,0.57,31.78,inf,inf,inf,inf,41.14,41.14,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD may,1.39,4.0,2.93,8.71,81.5,164.0,inf,inf,164.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,3.37,3.25,5.38,2.33,29.6,inf,inf,inf,inf,37.25,75.5,inf,inf,152.0,inf,inf,inf,inf
IMPV ~ MOD let,0.84,5.36,2.89,27.0,inf,inf,139.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,2.57,25.4,0.5,131.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,131.0,inf,inf
PAST ~ PRES,13.25,2.45,1.11,113.0,56.0,56.0,37.0,27.5,56.0,inf,113.0,56.0,113.0,113.0,inf,inf,inf,inf
PRES ~ PRES PART,4.71,2.73,1.77,8.7,96.0,96.0,23.25,inf,96.0,inf,inf,47.5,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,3.19,3.89,1.84,5.29,28.33,87.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,2.6,3.5,1.32,71.0,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
