genre,prophetic,prose,instruction,poetry,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,list,prophetic,prose
domain2,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT ~ MOD shall,1.94,3.81,14.89,9.87,246.71,50.79,863.5,1727.0,52.33,287.83,172.7,inf,inf,inf,inf,inf,1727.0,inf
IMPV ~ MOD shall,18.67,4.03,1.66,inf,12.0,inf,inf,inf,504.0,inf,84.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,3.45,5.11,21.79,2.74,inf,51.75,14.79,inf,138.0,inf,inf,103.5,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,14.7,5.73,1.54,338.0,13.52,338.0,inf,inf,inf,37.56,338.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,10.14,5.35,1.57,inf,32.67,inf,inf,inf,inf,42.0,42.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,4.23,4.23,3.22,7.4,29.6,inf,inf,inf,inf,37.0,74.0,inf,inf,148.0,inf,inf,inf,inf
PAST ~ PRES,3.33,13.75,110.0,2.2,55.0,55.0,36.67,27.5,55.0,inf,110.0,55.0,110.0,110.0,inf,inf,inf,inf
FUT ~ MOD may,4.29,2.86,6.06,4.68,51.5,103.0,inf,inf,103.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,3.84,5.65,9.6,2.74,96.0,96.0,24.0,inf,96.0,inf,inf,48.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.89,4.19,6.29,2.84,29.33,88.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,7.1,2.22,4.73,5.07,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,4.44,3.74,71.0,2.29,inf,inf,17.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,3.05,3.56,64.0,3.2,inf,32.0,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
