esv_TAMsimp,TOTAL,FUT,PRES,IMPV,MOD may,PAST,MOD let,MOD can,MOD must,MOD is to,TO INF,MOD shall,MOD would,PRES PART,MOD should,PRES PERF,MOD could,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,MOD that be,FUT PROG,FUT PERF,JJ,VB
MOD shall,3526,1767,152,509,57,14,15,46,339,295,38,221,6,21,30,3,1,0,0,0,0,6,0,0,0,1,3,1,0,1,0,0,0
PRES,3316,188,2696,30,37,73,10,51,14,2,33,1,12,65,17,62,0,0,13,1,3,0,0,2,1,1,1,0,0,2,0,1,0
FUT,2977,2518,255,15,17,11,16,44,6,0,24,2,30,17,9,1,0,0,4,1,0,6,0,0,0,0,0,0,0,0,1,0,0
MOD let,924,18,19,126,122,5,555,7,14,10,20,2,5,5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
IMPV,795,9,29,678,19,2,14,12,8,3,7,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,751,148,31,15,402,2,10,69,11,6,43,1,0,7,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
PAST,591,6,41,5,1,452,7,1,0,0,11,0,13,15,0,18,5,1,0,4,6,0,0,3,2,0,0,0,0,0,0,0,0
MOD can,337,23,21,0,0,3,0,271,0,0,6,0,0,4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,198,16,12,0,1,16,0,0,0,0,5,0,137,2,2,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MOD should,177,3,28,2,1,4,0,7,1,1,14,1,12,1,84,2,2,5,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
MOD lest,135,72,14,4,16,0,2,1,1,1,5,2,3,0,0,0,0,6,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
TO INF,126,7,12,2,3,2,2,1,0,1,79,0,1,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,116,5,26,1,2,16,1,0,0,0,1,0,0,2,0,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,103,2,32,6,0,6,1,2,0,0,1,0,1,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD must,67,1,5,6,1,0,0,2,40,4,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MOD could,48,0,0,0,0,1,0,0,2,0,1,0,2,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,43,0,0,0,2,4,1,3,0,0,5,0,7,0,0,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,22,4,0,1,0,0,0,0,1,10,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HAB used to,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
PAST PERF,13,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG,8,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be,8,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
MOD VB,7,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,7,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MOD,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES shall,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRES do,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IMPV not,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES can,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
