niv_TAMsimp,TOTAL,MOD shall,PRES,FUT,IMPV,MOD let,MOD may,PAST,MOD can,MOD would,MOD should,MOD lest,PRES PERF,TO INF,PRES PART,MOD must,MOD could,MOD might,MOD is to,HAB used to,PAST PERF,?VB,MOD was to,PRES PROG,MOD that be,MOD VB,PAST PROG,PRES shall,MOD,FUT PERF,FUT PROG,MOD need not,PRES do,MOD quest must,PRES can,??VB
FUT,4566,1745,185,2352,8,14,120,6,21,15,3,72,5,7,2,1,0,0,4,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0
PRES,3342,149,2676,244,25,14,29,41,21,11,28,14,26,12,32,5,0,0,0,0,1,0,0,3,0,3,0,1,1,1,1,1,2,0,1,0
IMPV,1295,506,30,15,601,101,15,5,0,0,2,4,1,1,4,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
PAST,625,14,70,9,2,3,2,447,3,16,4,0,16,2,6,0,1,4,0,10,4,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0
MOD may,571,57,33,14,15,98,326,1,0,1,1,16,2,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MOD can,490,44,50,43,11,5,50,1,270,0,7,1,0,1,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD must,429,336,13,6,8,9,10,0,0,0,1,1,0,0,0,38,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MOD let,424,13,8,7,11,367,6,5,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MOD is to,330,294,2,0,2,9,6,0,0,0,1,1,0,1,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,267,38,33,22,6,16,31,11,5,4,14,5,1,71,1,1,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MOD shall,232,220,1,2,1,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,208,6,12,27,0,3,0,13,0,120,12,3,0,1,1,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRES PART,195,20,64,15,3,4,6,15,4,2,1,0,2,5,49,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,162,30,17,9,5,8,0,0,1,2,83,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,156,3,62,1,0,2,1,17,0,0,2,0,61,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,69,1,0,0,0,0,0,5,8,5,2,0,1,1,0,1,38,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,25,0,0,0,0,0,1,1,0,0,5,6,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG,20,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to,17,0,1,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,17,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to,14,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB,12,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest,10,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,9,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HAB used to,8,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MOD that be,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FUT PROG,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
??VB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
