esv_TAMsimp,FUT,PRES,IMPV,PAST,MOD can,MOD must,MOD is to,MOD may,MOD shall,TO INF,MOD would,PRES PART,PRES PERF,MOD should,MOD could,MOD let,MOD might,PRES PROG,MOD was to,PAST PERF,FUT going-to,MOD lest,PAST PROG,HAB used to,MOD VB,MOD need not,MOD quest must,FUT PROG,MOD that be,JJ,FUT PERF
MOD shall,0.19,-0.33,0.11,-0.07,-0.04,0.09,0.08,-0.01,0.06,-0.01,-0.02,-0.01,-0.02,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
PRES,-0.43,0.75,-0.08,-0.04,-0.03,-0.04,-0.04,-0.03,-0.03,-0.01,-0.02,0.01,0.01,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
FUT,0.62,-0.24,-0.08,-0.06,-0.03,-0.04,-0.03,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.37,-0.21,-0.06,0.76,-0.04,-0.04,-0.03,-0.03,-0.02,0.0,0.01,0.01,0.02,-0.01,0.0,-0.0,-0.0,-0.0,0.01,0.01,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.13,-0.22,-0.04,-0.05,0.05,-0.01,-0.01,0.47,-0.02,0.01,-0.02,-0.0,-0.01,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.31,-0.22,-0.07,-0.04,0.79,-0.04,-0.03,-0.03,-0.02,-0.0,-0.02,-0.0,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV,-0.35,-0.2,0.72,-0.04,0.01,-0.01,-0.02,-0.01,-0.02,-0.0,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.28,-0.22,-0.07,0.04,-0.04,-0.04,-0.03,-0.02,-0.02,0.01,0.66,-0.0,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,-0.35,-0.11,-0.05,-0.03,0.0,-0.03,-0.02,-0.02,-0.01,0.06,0.05,-0.01,-0.0,0.46,0.01,-0.0,0.03,-0.0,0.04,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest,0.17,-0.17,-0.03,-0.05,-0.03,-0.03,-0.02,0.1,-0.0,0.02,0.01,-0.02,-0.01,-0.01,-0.01,0.0,0.04,-0.0,-0.0,-0.0,0.01,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.33,-0.05,-0.06,0.09,-0.04,-0.04,-0.03,-0.02,-0.02,-0.01,-0.02,0.0,0.52,-0.01,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.35,0.05,-0.02,0.01,-0.03,-0.04,-0.03,-0.03,-0.02,-0.01,-0.01,0.49,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.26,-0.16,0.06,-0.03,-0.01,0.03,-0.03,0.02,0.0,0.01,-0.02,-0.0,-0.01,-0.0,-0.01,0.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
TO INF,-0.31,-0.14,-0.05,-0.04,-0.04,-0.04,-0.02,-0.0,-0.02,0.54,-0.0,0.04,0.02,0.05,0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,-0.35,-0.2,0.02,-0.05,-0.01,0.56,0.04,-0.01,0.01,-0.0,-0.02,0.0,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
MOD could,-0.37,-0.28,-0.06,-0.03,-0.04,0.01,-0.03,-0.03,-0.02,0.01,0.01,-0.02,-0.01,0.01,0.86,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
