niv_TAMsimp,MOD shall,PRES,FUT,PAST,MOD may,MOD can,IMPV,MOD would,MOD should,MOD lest,PRES PERF,PRES PART,MOD let,TO INF,MOD must,MOD could,MOD might,MOD is to,HAB used to,PAST PERF,MOD was to,PRES PROG,MOD VB,PAST PROG,MOD that be,?VB,PRES shall,MOD,FUT PROG,FUT PERF,PRES do,MOD need not,MOD quest must,PRES can
FUT,0.16,-0.36,0.46,-0.07,-0.02,-0.04,-0.03,-0.02,-0.02,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES,-0.34,0.74,-0.21,-0.05,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.0,0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
IMPV,0.39,-0.25,-0.22,-0.05,-0.02,-0.03,0.24,-0.02,-0.01,-0.01,-0.01,-0.0,0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
PAST,-0.28,-0.17,-0.22,0.71,-0.03,-0.02,-0.02,0.01,-0.01,-0.01,0.02,0.0,-0.0,-0.01,-0.01,-0.0,0.0,-0.0,0.02,0.01,0.01,-0.0,-0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.2,-0.17,-0.14,-0.05,0.04,0.57,0.0,-0.02,0.0,-0.01,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.53,-0.25,-0.21,-0.05,-0.01,-0.03,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.08,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,0.65,-0.27,-0.23,-0.05,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.12,-0.21,-0.19,-0.05,0.6,-0.03,-0.01,-0.01,-0.01,0.04,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,0.67,-0.27,-0.22,-0.05,-0.03,-0.03,-0.02,-0.01,-0.01,-0.0,-0.01,-0.01,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.1,-0.13,-0.11,0.0,0.02,-0.0,-0.01,0.01,0.05,0.01,-0.0,-0.0,0.0,0.23,-0.0,0.0,0.02,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would,-0.26,-0.21,-0.1,0.02,-0.03,-0.03,-0.02,0.58,0.05,0.0,-0.01,-0.0,-0.01,-0.0,-0.01,0.0,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
