eng_TAMsimp,poetry,prose,prophetic,instruction,list
PRES,1.12,5.4,3.13,6.72,1347.0
FUT,2.35,2.42,1.6,39.61,2517.0
FUT ~ MOD shall,8.36,2.77,0.82,12.61,175.9
IMPV,2.03,1.51,3.11,34.68,inf
MOD let,2.03,1.39,3.44,36.0,inf
IMPV ~ MOD shall,inf,3.02,17.21,0.46,84.0
PAST,1.06,2.45,4.26,89.4,40.09
FUT ~ PRES,1.15,4.21,2.33,22.32,inf
MOD may,3.52,1.2,7.04,4.02,inf
MOD must ~ MOD shall,340.0,4.68,13.21,0.34,340.0
MOD is to ~ MOD shall,inf,4.36,9.17,0.45,41.14
MOD can,1.19,3.11,2.76,29.11,inf
MOD shall,19.09,1.23,9.05,1.48,inf
FUT ~ MOD may,2.93,1.39,3.71,7.68,inf
MOD shall ~ PRES,5.38,3.37,3.25,1.78,50.0
IMPV ~ MOD let,2.78,0.84,5.36,27.0,inf
MOD would,1.08,2.19,4.07,inf,136.0
MOD let ~ MOD may,0.5,2.57,21.0,131.0,inf
PAST ~ PRES,0.93,7.77,2.08,37.0,56.0
PRES ~ PRES PART,1.37,4.71,2.46,7.82,inf
PRES ~ PRES PERF,1.84,3.19,3.63,4.18,inf
MOD should,3.94,0.58,5.46,83.0,inf
TO INF,3.65,1.14,2.76,18.75,inf
FUT ~ MOD lest,4.14,1.18,6.2,3.8,inf
MOD can ~ PRES,1.06,2.6,3.5,71.0,inf
MOD can ~ MOD may,5.9,0.44,10.5,12.8,inf
MOD may ~ PRES,2.4,1.52,5.18,5.8,inf
FUT ~ MOD can,2.05,2.53,1.68,66.0,inf
PRES PERF,1.35,2.81,4.08,7.71,inf
IMPV ~ PRES,1.19,3.21,2.69,28.5,inf
MOD may ~ MOD shall,2.87,2.62,10.6,1.64,inf
PRES PART,2.12,3.17,1.5,24.0,inf
MOD can ~ MOD shall,2.54,1.71,2.29,22.0,inf
FUT ~ MOD would,1.3,1.88,3.6,inf,inf
MOD may ~ TO INF,22.0,0.21,14.33,14.33,inf
MOD should ~ PRES,2.0,1.37,4.0,21.5,inf
PRES ~ TO INF,2.21,5.43,5.43,1.65,inf
MOD could,2.15,1.41,5.83,7.2,inf
MOD must,5.67,1.67,2.08,5.67,inf
MOD shall ~ TO INF,37.0,0.73,2.8,6.6,inf
PAST ~ PRES PERF,0.55,16.0,3.25,16.0,inf
IMPV ~ MOD may,3.25,0.55,33.0,10.33,inf
FUT ~ MOD let,1.62,1.62,3.86,33.0,inf
FUT ~ TO INF,2.44,1.07,3.43,inf,inf
MOD shall ~ MOD should,14.5,1.07,1.38,30.0,inf
MOD let ~ PRES,0.93,2.62,3.83,inf,inf
MOD would ~ PAST,8.67,0.81,3.14,13.5,28.0
FUT ~ IMPV,2.0,2.0,2.43,23.0,inf
MOD would ~ PRES,0.41,3.8,23.0,23.0,inf
MOD let ~ TO INF,2.67,0.47,21.0,inf,inf
PAST ~ PRES PART,2.0,3.2,2.0,20.0,20.0
MOD shall ~ PRES PART,inf,9.5,1.33,1.1,inf
