,poetry,prophetic,prose,instruction,list
PRES,2.69,0.76,0.42,0.9,0.17
FUT,0.94,1.86,1.1,0.14,0.1
FUT ~ MOD shall,0.25,3.72,0.92,0.45,1.69
IMPV,1.07,0.92,1.73,0.19,0.0
IMPV ~ MOD shall,0.0,0.14,0.85,16.09,3.53
PAST,2.31,0.58,1.08,0.07,8.43
FUT ~ PRES,2.1,1.11,0.6,0.28,0.0
MOD let,1.47,0.88,1.33,0.17,0.0
MOD must ~ MOD shall,0.01,0.19,0.54,20.95,0.8
MOD may,0.6,0.29,2.14,2.04,0.0
MOD is to ~ MOD shall,0.0,0.27,0.59,15.23,7.47
MOD can,2.1,0.9,0.82,0.21,0.0
MOD shall,0.13,0.26,2.15,4.33,0.0
MOD shall ~ PRES,0.42,0.76,0.79,3.63,5.78
FUT ~ MOD may,0.83,0.75,1.55,1.02,0.0
MOD would,1.87,0.69,1.35,0.0,2.29
IMPV ~ MOD let,0.81,0.57,2.81,0.29,0.0
PAST ~ PRES,2.5,1.25,0.34,0.17,5.11
MOD let ~ MOD may,5.82,0.12,0.82,0.06,0.0
PRES ~ PRES PART,1.82,0.97,0.56,0.79,0.0
PRES ~ PRES PERF,1.33,0.68,0.81,1.48,0.0
MOD should,0.58,0.46,4.62,0.07,0.0
FUT ~ MOD lest,0.59,0.4,2.2,1.62,0.0
MOD can ~ PRES,2.38,0.72,0.95,0.09,0.0
TO INF,0.77,0.91,2.01,0.37,0.0
FUT ~ MOD can,1.28,1.4,1.01,0.1,0.0
MOD may ~ PRES,1.08,0.54,1.43,1.18,0.0
PRES PERF,1.81,0.61,0.92,0.8,0.0
MOD may ~ MOD shall,0.85,0.23,0.99,3.79,0.0
IMPV ~ PRES,2.19,1.02,0.65,0.23,0.0
MOD can ~ MOD may,0.4,0.34,4.63,0.68,0.0
PRES PART,1.18,1.58,0.84,0.26,0.0
PRES ~ TO INF,1.1,0.46,0.48,3.75,0.0
MOD should ~ PRES,1.22,0.62,1.9,0.28,0.0
MOD can ~ MOD shall,1.02,0.93,1.63,0.29,0.0
FUT ~ MOD would,1.83,0.78,1.3,0.0,0.0
MOD must,0.37,1.15,1.69,1.15,0.0
MOD shall ~ TO INF,0.07,0.89,3.57,0.93,0.0
MOD could,0.87,0.47,2.1,0.93,0.0
PAST ~ PRES PERF,4.89,0.67,0.17,0.4,0.0
MOD may ~ TO INF,0.08,0.25,9.68,0.61,0.0
MOD shall ~ MOD should,0.17,1.8,2.43,0.2,0.0
IMPV ~ MOD may,0.74,0.09,4.49,0.68,0.0
FUT ~ TO INF,1.1,0.65,2.42,0.0,0.0
MOD would ~ PAST,0.28,0.79,3.2,0.45,9.79
MOD would ~ PRES,5.58,0.11,0.72,0.28,0.0
FUT ~ IMPV,1.3,1.09,1.13,0.28,0.0
