eng_TAMsimp,Q,D,?,N
PRES,2320,137,205,1
FUT,2110,60,80,1
FUT ~ MOD shall,1643,42,41,1
IMPV ~ MOD shall,461,42,1,0
PAST,279,144,14,10
FUT ~ PRES,371,12,31,0
MOD must ~ MOD shall,303,26,9,0
MOD is to ~ MOD shall,278,9,7,0
MOD can,250,2,17,0
MOD shall,210,6,3,0
MOD may,176,9,3,0
IMPV,187,0,0,0
MOD shall ~ PRES,138,6,4,0
MOD would,99,10,0,6
PAST ~ PRES,93,11,5,1
FUT ~ MOD may,99,3,1,0
PRES ~ PRES PART,87,4,5,0
PRES ~ PRES PERF,84,4,0,0
MOD should,72,5,1,1
MOD can ~ PRES,67,0,4,0
FUT ~ MOD lest,71,0,0,0
FUT ~ MOD can,60,2,2,0
PRES PERF,58,3,0,0
MOD may ~ MOD shall,49,1,3,0
PRES PART,46,3,0,0
IMPV ~ PRES,47,0,0,0
TO INF,44,1,0,2
MOD may ~ PRES,39,3,4,0
MOD can ~ MOD shall,42,0,2,0
MOD should ~ PRES,44,0,0,0
PRES ~ TO INF,38,1,2,0
FUT ~ MOD would,40,0,0,0
MOD could,24,14,0,0
MOD shall ~ TO INF,37,0,0,0
MOD must,35,0,1,0
MOD let,34,0,1,0
MOD can ~ MOD may,32,0,2,0
PAST ~ PRES PERF,33,0,0,0
MOD shall ~ MOD should,31,0,0,0
MOD would ~ PAST,7,21,1,0
FUT ~ TO INF,26,0,1,0
MOD would ~ PRES,21,1,1,0
FUT ~ IMPV,20,1,0,0
PAST ~ PRES PART,11,9,1,0
MOD shall ~ PRES PART,19,0,1,0
MOD should ~ TO INF,14,0,1,3
MOD must ~ PRES,17,1,0,0
PRES ~ PRES PROG,13,3,0,0
MOD lest ~ MOD may,14,2,0,0
MOD let ~ PRES,12,1,2,0
FUT ~ PRES PART,12,1,2,0
FUT ~ PAST,14,1,0,0
MOD shall ~ PAST,14,0,0,0
FUT ~ MOD let,14,0,0,0
