eng_TAMsimp,Q,D,?,N
PRES,0.15,18.68,12.15,2695.0
FUT,0.06,40.28,30.48,2517.0
FUT ~ MOD shall,0.05,39.2,42.15,1768.0
IMPV,0.01,225.0,677.0,inf
MOD let,0.05,91.5,28.21,inf
IMPV ~ MOD shall,0.09,11.14,509.0,inf
PAST,0.59,2.14,31.29,44.2
FUT ~ PRES,0.11,35.92,13.29,inf
MOD may,0.03,43.67,133.0,inf
MOD must ~ MOD shall,0.11,12.12,36.89,inf
MOD is to ~ MOD shall,0.06,31.78,41.14,inf
MOD can,0.08,134.5,14.94,inf
MOD shall,0.04,35.83,72.67,inf
FUT ~ MOD may,0.02,54.0,164.0,inf
MOD shall ~ PRES,0.07,24.5,37.25,inf
IMPV ~ MOD let,0.01,inf,139.0,inf
MOD would,0.15,10.42,inf,21.83
MOD let ~ MOD may,0.01,inf,inf,131.0
PAST ~ PRES,0.18,9.36,21.8,113.0
PRES ~ PRES PART,0.1,23.25,18.4,inf
PRES ~ PRES PERF,0.05,21.0,inf,inf
MOD should,0.09,15.8,83.0,83.0
TO INF,0.05,38.5,inf,38.5
FUT ~ MOD lest,0.0,inf,inf,inf
MOD can ~ PRES,0.06,inf,17.0,inf
MOD can ~ MOD may,0.03,inf,33.5,inf
MOD may ~ PRES,0.11,21.67,16.0,inf
FUT ~ MOD can,0.06,32.5,32.5,inf
PRES PERF,0.05,19.33,inf,inf
IMPV ~ PRES,0.0,inf,inf,inf
MOD may ~ MOD shall,0.07,57.0,18.33,inf
PRES PART,0.06,15.67,inf,inf
MOD can ~ MOD shall,0.05,inf,22.0,inf
FUT ~ MOD would,0.0,inf,inf,inf
MOD may ~ TO INF,0.0,inf,inf,inf
MOD should ~ PRES,0.0,inf,inf,inf
PRES ~ TO INF,0.07,44.0,21.5,inf
MOD could,0.52,1.93,inf,inf
MOD must,0.03,inf,39.0,inf
MOD shall ~ TO INF,0.0,inf,inf,inf
PAST ~ PRES PERF,0.0,inf,inf,inf
IMPV ~ MOD may,0.0,inf,inf,inf
FUT ~ MOD let,0.0,inf,inf,inf
FUT ~ TO INF,0.03,inf,30.0,inf
MOD shall ~ MOD should,0.0,inf,inf,inf
MOD let ~ PRES,0.12,28.0,13.5,inf
MOD would ~ PAST,3.14,0.38,28.0,inf
FUT ~ IMPV,0.04,23.0,inf,inf
MOD would ~ PRES,0.09,23.0,23.0,inf
MOD let ~ TO INF,0.0,inf,inf,inf
PAST ~ PRES PART,0.91,1.33,20.0,inf
MOD shall ~ PRES PART,0.05,inf,20.0,inf
MOD must ~ PRES,0.06,18.0,inf,inf
MOD should ~ TO INF,0.27,inf,18.0,5.33
FUT ~ PRES PART,0.19,18.0,8.5,inf
FUT ~ PAST,0.06,16.0,inf,inf
MOD let ~ MOD shall,0.42,2.4,inf,inf
MOD lest ~ MOD may,0.14,7.0,inf,inf
PRES ~ PRES PROG,0.23,4.33,inf,inf
MOD let ~ MOD must,0.0,inf,inf,inf
IMPV ~ MOD must,0.0,inf,inf,inf
MOD lest ~ PRES,0.0,inf,inf,inf
MOD should ~ MOD would,0.27,6.0,inf,13.0
MOD shall ~ PAST,0.0,inf,inf,inf
MOD might,0.0,inf,inf,inf
PAST ~ TO INF,0.62,2.25,inf,12.0
HAB used to ~ PAST,1.0,1.0,inf,inf
MOD let ~ PAST,0.2,inf,5.0,inf
MOD may ~ MOD must,0.09,11.0,inf,inf
FUT ~ MOD should,0.09,inf,11.0,inf
