eng_TAMsimp,TOTAL,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,2676,1685,397,325,151,69,24,22,3,0,0,0,0
FUT,2352,1474,421,279,136,24,4,12,2,0,0,0,0
FUT ~ MOD shall,1747,1256,136,86,204,31,15,11,8,0,0,0,0
IMPV,601,417,76,59,31,18,0,0,0,0,0,0,0
IMPV ~ MOD shall,507,341,81,66,10,6,1,0,2,0,0,0,0
PAST,447,244,93,58,32,10,4,5,1,0,0,0,0
FUT ~ PRES,429,280,61,53,18,13,0,3,1,0,0,0,0
MOD let,367,232,47,45,27,9,6,0,1,0,0,0,0
MOD must ~ MOD shall,338,179,36,45,35,7,33,0,3,0,0,0,0
MOD may,326,245,28,31,17,3,0,0,2,0,0,0,0
MOD is to ~ MOD shall,294,210,44,10,24,1,5,0,0,0,0,0,0
MOD can,270,176,50,19,16,4,2,3,0,0,0,0,0
MOD shall,220,156,18,4,19,1,19,0,3,0,0,0,0
MOD shall ~ PRES,150,118,10,9,12,1,0,0,0,0,0,0,0
FUT ~ MOD may,134,92,17,11,10,3,0,0,1,0,0,0,0
MOD would,120,77,27,9,6,1,0,0,0,0,0,0,0
IMPV ~ MOD let,112,73,13,7,15,3,1,0,0,0,0,0,0
PAST ~ PRES,111,65,19,11,9,3,2,2,0,0,0,0,0
MOD let ~ MOD may,104,80,8,6,9,0,0,0,0,0,0,1,0
PRES ~ PRES PART,96,61,13,13,1,5,1,0,0,0,1,0,1
PRES ~ PRES PERF,88,57,15,7,7,0,2,0,0,0,0,0,0
MOD should,83,61,10,5,4,1,1,1,0,0,0,0,0
FUT ~ MOD lest,72,52,7,2,10,0,0,1,0,0,0,0,0
MOD can ~ PRES,71,48,8,5,8,2,0,0,0,0,0,0,0
TO INF,71,49,11,7,2,2,0,0,0,0,0,0,0
FUT ~ MOD can,64,26,17,12,5,3,0,0,0,1,0,0,0
MOD may ~ PRES,62,44,4,7,6,0,0,0,1,0,0,0,0
PRES PERF,61,37,11,9,2,1,1,0,0,0,0,0,0
MOD may ~ MOD shall,58,53,1,0,4,0,0,0,0,0,0,0,0
IMPV ~ PRES,55,33,10,9,2,1,0,0,0,0,0,0,0
MOD can ~ MOD may,50,39,2,4,3,0,1,1,0,0,0,0,0
PRES PART,49,29,3,9,6,2,0,0,0,0,0,0,0
PRES ~ TO INF,45,20,10,6,8,1,0,0,0,0,0,0,0
MOD should ~ PRES,45,23,9,6,4,3,0,0,0,0,0,0,0
MOD can ~ MOD shall,44,22,5,4,11,1,1,0,0,0,0,0,0
FUT ~ MOD would,42,29,8,5,0,0,0,0,0,0,0,0,0
MOD must,38,27,6,4,1,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,38,25,1,5,7,0,0,0,0,0,0,0,0
MOD could,38,24,6,0,7,1,0,0,0,0,0,0,0
PAST ~ PRES PERF,33,19,9,3,1,1,0,0,0,0,0,0,0
MOD may ~ TO INF,33,21,4,5,2,1,0,0,0,0,0,0,0
MOD shall ~ MOD should,31,15,4,2,3,3,3,1,0,0,0,0,0
IMPV ~ MOD may,30,20,6,3,1,0,0,0,0,0,0,0,0
FUT ~ TO INF,29,16,8,4,1,0,0,0,0,0,0,0,0
MOD would ~ PAST,29,21,3,2,2,0,0,0,1,0,0,0,0
MOD would ~ PRES,23,11,7,2,0,3,0,0,0,0,0,0,0
FUT ~ IMPV,23,13,6,1,2,1,0,0,0,0,0,0,0
MOD let ~ PRES,22,12,4,2,4,0,0,0,0,0,0,0,0
PAST ~ PRES PART,21,9,1,6,4,1,0,0,0,0,0,0,0
FUT ~ MOD let,21,8,7,4,2,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,20,16,2,2,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,19,15,1,2,1,0,0,0,0,0,0,0,0
MOD must ~ PRES,18,10,0,3,1,3,1,0,0,0,0,0,0
FUT ~ PRES PART,17,12,4,0,0,1,0,0,0,0,0,0,0
MOD let ~ TO INF,17,8,5,4,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,16,13,0,1,1,1,0,0,0,0,0,0,0
PRES ~ PRES PROG,16,7,1,3,5,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,15,7,2,1,5,0,0,0,0,0,0,0,0
FUT ~ PAST,15,4,7,2,1,1,0,0,0,0,0,0,0
IMPV ~ MOD must,14,9,3,0,0,1,1,0,0,0,0,0,0
MOD lest ~ PRES,14,10,2,2,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,14,7,2,0,5,0,0,0,0,0,0,0,0
MOD should ~ MOD would,14,9,0,1,2,1,1,0,0,0,0,0,0
PAST ~ TO INF,13,10,3,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,12,7,1,1,2,0,1,0,0,0,0,0,0
HAB used to ~ PAST,12,8,3,0,0,0,0,0,1,0,0,0,0
MOD might,11,10,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,11,8,1,0,1,0,0,0,1,0,0,0,0
IMPV ~ MOD can,11,5,3,3,0,0,0,0,0,0,0,0,0
MOD is to,10,5,0,0,3,1,1,0,0,0,0,0,0
PAST ~ PAST PERF,10,7,1,1,0,0,0,1,0,0,0,0,0
MOD let ~ MOD must,9,5,0,1,1,1,1,0,0,0,0,0,0
MOD was to ~ PAST,9,7,2,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,9,6,1,1,1,0,0,0,0,0,0,0,0
MOD can ~ MOD should,8,4,2,0,2,0,0,0,0,0,0,0,0
MOD let ~ PAST,8,7,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,8,6,0,1,0,0,1,0,0,0,0,0,0
MOD can ~ MOD could,8,6,1,0,1,0,0,0,0,0,0,0,0
IMPV ~ PAST,7,4,2,0,1,0,0,0,0,0,0,0,0
MOD could ~ MOD would,7,2,3,2,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,7,5,1,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD must,7,3,1,3,0,0,0,0,0,0,0,0,0
MOD lest,7,5,1,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,7,6,0,0,0,0,1,0,0,0,0,0,0
PAST PERF,7,3,2,0,1,1,0,0,0,0,0,0,0
IMPV ~ PRES PART,7,5,1,1,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,7,4,1,1,1,0,0,0,0,0,0,0,0
IMPV ~ TO INF,7,6,0,0,0,1,0,0,0,0,0,0,0
FUT ~ FUT going-to,6,5,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,6,3,1,0,0,0,2,0,0,0,0,0,0
MOD lest ~ MOD might,6,3,1,1,1,0,0,0,0,0,0,0,0
MOD could ~ PAST,6,4,0,0,2,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,6,6,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,6,2,1,2,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,6,6,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,6,5,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,6,6,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,6,6,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,6,6,0,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD let,6,4,1,1,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,6,2,0,4,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,5,3,0,0,2,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,5,2,1,1,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,5,4,0,0,0,0,1,0,0,0,0,0,0
MOD might ~ TO INF,5,4,0,0,1,0,0,0,0,0,0,0,0
