eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,0.59,5.72,7.19,16.85,38.07,111.33,121.55,897.67,inf,inf,inf,inf
FUT,0.61,4.55,6.82,17.38,99.72,628.5,208.83,1258.0,inf,inf,inf,inf
FUT ~ MOD shall,0.39,11.82,19.57,7.42,54.28,116.93,159.82,220.13,inf,inf,inf,inf
IMPV,0.5,5.28,9.94,20.87,26.12,inf,inf,inf,inf,inf,inf,inf
MOD let,0.47,7.04,8.74,15.32,49.45,91.5,inf,554.0,inf,inf,inf,inf
IMPV ~ MOD shall,0.49,5.14,6.73,50.0,84.0,509.0,inf,254.0,inf,inf,inf,inf
PAST,0.83,3.81,6.66,13.12,44.2,112.0,89.4,451.0,inf,inf,inf,inf
FUT ~ PRES,0.54,5.82,7.2,23.61,28.53,inf,146.67,442.0,inf,inf,inf,inf
MOD may,0.36,7.93,10.82,17.27,133.0,inf,inf,200.0,inf,inf,inf,inf
MOD must ~ MOD shall,0.91,7.74,6.58,8.74,47.71,9.33,inf,112.67,inf,inf,inf,inf
MOD is to ~ MOD shall,0.4,5.7,28.5,11.29,294.0,58.0,inf,inf,inf,inf,inf,inf
MOD can,0.54,4.42,12.55,15.94,66.75,134.5,89.33,inf,inf,inf,inf,inf
MOD shall,0.42,11.28,54.25,10.05,220.0,10.63,inf,72.67,inf,inf,inf,inf
FUT ~ MOD may,0.45,7.68,9.31,14.0,40.25,inf,inf,164.0,inf,inf,inf,inf
MOD shall ~ PRES,0.26,14.3,16.0,11.75,152.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,0.52,5.67,19.0,7.75,45.67,139.0,inf,inf,inf,inf,inf,inf
MOD would,0.57,3.28,11.45,21.83,136.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.27,15.5,17.86,10.0,inf,inf,inf,inf,inf,inf,131.0,inf
PAST ~ PRES,0.68,5.0,9.36,11.67,37.0,56.0,56.0,inf,inf,inf,inf,inf
PRES ~ PRES PART,0.59,6.46,5.93,96.0,18.4,96.0,inf,inf,inf,96.0,inf,96.0
PRES ~ PRES PERF,0.54,4.87,11.57,11.57,inf,43.0,inf,inf,inf,inf,inf,inf
MOD should,0.35,7.4,15.8,20.0,83.0,83.0,83.0,inf,inf,inf,inf,inf
TO INF,0.46,4.64,10.29,38.5,38.5,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,0.38,9.29,35.0,6.2,inf,inf,71.0,inf,inf,inf,inf,inf
MOD can ~ PRES,0.47,8.0,13.4,8.0,35.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,0.38,8.86,10.5,16.25,inf,68.0,68.0,inf,inf,inf,inf,inf
MOD may ~ PRES,0.36,16.0,8.71,10.33,inf,inf,inf,67.0,inf,inf,inf,inf
FUT ~ MOD can,1.39,2.94,4.58,10.17,21.33,inf,inf,inf,66.0,inf,inf,inf
PRES PERF,0.65,4.55,5.78,29.5,60.0,60.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,0.64,4.36,5.56,28.5,58.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,0.09,57.0,inf,13.5,inf,inf,inf,inf,inf,inf,inf,inf
