eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,htpo
PRES,1.59,6.72,8.22,17.64,39.16,110.96,121.05,887.67,inf,inf,inf
FUT,1.57,5.73,8.93,17.18,97.87,562.75,187.58,2251.0,inf,inf,inf
FUT ~ MOD shall,1.39,12.89,20.08,8.68,57.57,115.13,157.0,215.88,inf,inf,inf
IMPV ~ MOD shall,1.48,6.3,7.75,50.4,84.0,504.0,inf,252.0,inf,inf,inf
PAST,1.83,4.81,7.71,13.97,44.7,111.75,89.4,447.0,inf,inf,inf
FUT ~ PRES,1.5,7.53,8.28,24.35,31.85,inf,138.0,inf,inf,inf,inf
MOD must ~ MOD shall,1.89,9.39,7.51,9.66,48.29,10.24,inf,112.67,inf,inf,inf
MOD is to ~ MOD shall,1.4,6.68,29.4,12.25,294.0,58.8,inf,inf,inf,inf,inf
MOD can,1.54,5.38,14.16,16.81,67.25,134.5,89.67,inf,inf,inf,inf
MOD shall,1.4,12.17,54.75,12.17,219.0,11.53,inf,73.0,inf,inf,inf
MOD may,1.34,8.95,11.75,20.89,94.0,inf,inf,inf,inf,inf,inf
IMPV,1.51,5.84,10.39,18.7,62.33,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,1.28,14.8,16.44,12.33,148.0,inf,inf,inf,inf,inf,inf
MOD would,1.53,4.6,14.38,19.17,115.0,inf,inf,inf,inf,inf,inf
PAST ~ PRES,1.72,5.79,10.0,12.22,36.67,55.0,55.0,inf,inf,inf,inf
FUT ~ MOD may,1.43,9.36,12.88,11.44,51.5,inf,inf,103.0,inf,inf,inf
PRES ~ PRES PART,1.57,7.38,7.38,96.0,19.2,96.0,inf,inf,inf,96.0,96.0
PRES ~ PRES PERF,1.54,5.87,12.57,12.57,inf,44.0,inf,inf,inf,inf,inf
MOD should,1.34,7.9,19.75,19.75,inf,79.0,79.0,inf,inf,inf,inf
MOD can ~ PRES,1.48,8.88,14.2,8.88,35.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,1.37,11.83,35.5,7.1,inf,inf,71.0,inf,inf,inf,inf
FUT ~ MOD can,2.46,3.76,5.33,12.8,21.33,inf,inf,inf,64.0,inf,inf
PRES PERF,1.65,5.55,6.78,30.5,61.0,61.0,inf,inf,inf,inf,inf
MOD may ~ MOD shall,1.08,inf,inf,13.25,inf,inf,inf,inf,inf,inf,inf
PRES PART,1.69,16.33,5.44,8.17,24.5,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,1.74,4.7,6.71,23.5,47.0,inf,inf,inf,inf,inf,inf
TO INF,1.57,5.88,9.4,23.5,23.5,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,1.28,15.33,15.33,11.5,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,2.0,8.8,11.0,4.0,44.0,44.0,inf,inf,inf,inf,inf
MOD should ~ PRES,1.91,5.5,7.33,11.0,14.67,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,2.28,4.1,8.2,5.86,41.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,1.43,5.71,8.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,1.58,6.33,inf,5.43,38.0,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,1.54,37.0,7.4,5.29,inf,inf,inf,inf,inf,inf,inf
MOD must,1.44,6.0,9.0,36.0,inf,inf,inf,inf,inf,inf,inf
MOD let,2.69,5.0,2.92,17.5,35.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,1.21,34.0,34.0,17.0,inf,34.0,34.0,inf,inf,inf,inf
PAST ~ PRES PERF,1.74,3.67,11.0,33.0,33.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,2.07,7.75,15.5,10.33,10.33,10.33,31.0,inf,inf,inf,inf
MOD would ~ PAST,1.38,9.67,14.5,14.5,inf,inf,inf,29.0,inf,inf,inf
FUT ~ TO INF,1.93,3.38,6.75,27.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,2.09,3.29,11.5,inf,7.67,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,1.75,3.5,21.0,10.5,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,2.33,21.0,3.5,5.25,21.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,1.25,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,1.29,18.0,9.0,18.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,1.8,inf,6.0,18.0,6.0,18.0,inf,inf,inf,inf,inf
PRES ~ PRES PROG,2.29,16.0,5.33,3.2,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,1.23,inf,16.0,16.0,16.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,2.5,3.75,7.5,5.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.5,3.75,inf,inf,15.0,inf,inf,inf,inf,inf,inf
FUT ~ PAST,3.75,2.14,7.5,15.0,15.0,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,2.0,7.0,inf,2.8,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,3.5,2.8,4.67,7.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,1.4,7.0,7.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,1.56,inf,14.0,7.0,14.0,14.0,inf,inf,inf,inf,inf
IMPV ~ MOD may,1.86,4.33,6.5,13.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,2.17,6.5,13.0,3.25,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,1.71,12.0,12.0,6.0,inf,12.0,inf,inf,inf,inf,inf
HAB used to ~ PAST,1.5,4.0,inf,inf,inf,inf,inf,12.0,inf,inf,inf
MOD may ~ TO INF,1.5,4.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,1.71,4.0,inf,inf,12.0,12.0,inf,inf,inf,inf,inf
IMPV ~ MOD let,2.75,5.5,5.5,5.5,inf,11.0,inf,inf,inf,inf,inf
IMPV ~ MOD can,2.2,3.67,3.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,1.1,11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,1.38,3.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.43,10.0,inf,10.0,inf,inf,inf,10.0,inf,inf,inf
PAST ~ PAST PERF,1.43,10.0,10.0,inf,inf,inf,10.0,inf,inf,inf,inf
MOD is to,2.0,inf,inf,3.33,10.0,10.0,inf,inf,inf,inf,inf
MOD was to ~ PAST,1.29,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,1.33,8.0,inf,8.0,inf,inf,inf,inf,inf,inf,inf
MOD lest,1.4,7.0,7.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,2.33,3.5,inf,7.0,7.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,2.33,7.0,2.33,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,1.17,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf
MOD might ~ MOD would,2.0,6.0,6.0,6.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,1.5,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
