eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,0.63,0.15,0.12,0.06,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0
FUT,0.62,0.18,0.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.72,0.08,0.05,0.12,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
IMPV,0.67,0.16,0.09,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.68,0.12,0.1,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,0.67,0.16,0.13,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.55,0.21,0.13,0.07,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.65,0.15,0.12,0.04,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0
MOD may,0.74,0.11,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.52,0.11,0.13,0.1,0.02,0.1,0.0,0.01,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.72,0.15,0.03,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.65,0.18,0.07,0.06,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
MOD shall,0.71,0.08,0.02,0.09,0.0,0.09,0.0,0.01,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.69,0.12,0.1,0.07,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.79,0.07,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.66,0.15,0.05,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.64,0.23,0.08,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.79,0.06,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
PAST ~ PRES,0.6,0.17,0.1,0.08,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.63,0.13,0.14,0.01,0.05,0.01,0.0,0.0,0.0,0.01,0.0,0.01
PRES ~ PRES PERF,0.65,0.17,0.08,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,0.74,0.12,0.06,0.05,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
TO INF,0.68,0.18,0.09,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.72,0.1,0.03,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.68,0.11,0.07,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.72,0.1,0.09,0.06,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.74,0.06,0.1,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.42,0.25,0.18,0.09,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0
PRES PERF,0.61,0.18,0.15,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.61,0.19,0.15,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.91,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.6,0.06,0.18,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.48,0.13,0.11,0.24,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.63,0.26,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.72,0.09,0.11,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.51,0.2,0.13,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.44,0.22,0.13,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.59,0.2,0.02,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.7,0.15,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.66,0.03,0.13,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.59,0.26,0.09,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.71,0.18,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.41,0.26,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.55,0.29,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,0.48,0.13,0.06,0.1,0.1,0.1,0.03,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.62,0.17,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.72,0.1,0.07,0.07,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.58,0.25,0.04,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
