,p3,p2,p1
PRES,61.83,-22.18,-28.96
FUT,-57.79,-57.81,269.66
FUT ~ MOD shall,65.57,-11.31,-58.56
IMPV,-197.44,inf,-44.66
IMPV ~ MOD shall,-152.96,266.6,-39.26
PAST,8.07,-14.25,0.29
FUT ~ PRES,1.81,-2.23,-0.02
MOD let,13.5,-34.49,1.01
MOD must ~ MOD shall,0.71,5.87,-20.0
MOD may,2.32,-1.29,-0.77
MOD is to ~ MOD shall,2.44,2.83,-22.44
MOD can,0.12,-1.91,1.72
MOD shall,-1.09,-0.54,3.23
MOD shall ~ PRES,1.04,-0.7,-0.24
FUT ~ MOD may,0.74,-1.77,0.39
MOD would,-0.19,-0.9,1.63
IMPV ~ MOD let,8.41,-2.84,-5.11
PAST ~ PRES,0.2,-0.24,-0.0
MOD let ~ MOD may,16.25,-9.87,-4.42
PRES ~ PRES PART,4.49,-0.95,-3.93
PRES ~ PRES PERF,-0.23,1.54,-1.1
MOD should,-1.05,-3.04,6.72
FUT ~ MOD lest,0.04,0.05,-0.13
MOD can ~ PRES,0.09,0.11,-0.29
TO INF,-0.15,0.8,-0.48
FUT ~ MOD can,1.03,-0.64,-0.3
MOD may ~ PRES,2.43,-0.77,-1.43
PRES PERF,-0.37,-0.0,0.53
MOD may ~ MOD shall,0.98,0.27,-3.04
IMPV ~ PRES,-2.7,7.87,-2.87
MOD can ~ MOD may,-1.23,-0.51,3.19
PRES PART,0.73,0.13,-1.74
PRES ~ TO INF,1.66,-0.07,-2.16
MOD should ~ PRES,-1.32,1.7,0.0
MOD can ~ MOD shall,-2.54,-0.69,6.03
FUT ~ MOD would,-2.43,0.45,2.28
MOD must,-2.14,0.75,1.36
MOD shall ~ TO INF,-1.02,1.3,0.0
MOD could,1.54,-3.96,0.42
PAST ~ PRES PERF,-1.5,0.83,0.64
MOD may ~ TO INF,0.07,-0.68,0.64
MOD shall ~ MOD should,-1.82,-1.52,6.08
IMPV ~ MOD may,-0.34,1.86,-1.12
FUT ~ TO INF,-0.25,-0.43,1.4
MOD would ~ PAST,3.01,-2.93,-0.21
MOD would ~ PRES,-1.79,2.02,0.11
FUT ~ IMPV,-3.07,5.66,-0.8
MOD let ~ PRES,0.73,-0.7,0.0
PAST ~ PRES PART,1.63,-1.2,-0.25
FUT ~ MOD let,-0.08,-2.13,2.48
MOD shall ~ PRES PART,2.02,-0.55,-1.21
MOD should ~ TO INF,-0.62,0.11,0.67
MOD must ~ PRES,-1.58,1.37,0.29
FUT ~ PRES PART,-0.09,-0.11,0.47
MOD let ~ TO INF,0.21,-1.72,0.76
MOD lest ~ MOD may,0.21,-0.26,0.13
PRES ~ PRES PROG,-0.0,0.42,-0.31
MOD let ~ MOD shall,3.08,-1.52,-0.82
FUT ~ PAST,0.0,-0.26,0.55
IMPV ~ MOD must,-3.37,5.99,-0.83
MOD lest ~ PRES,-1.24,2.26,-0.15
MOD shall ~ PAST,0.56,-0.13,-0.15
MOD should ~ MOD would,1.02,-0.67,-0.15
PAST ~ TO INF,0.4,-0.49,0.0
FUT ~ MOD should,0.11,0.31,-0.63
HAB used to ~ PAST,1.44,-1.09,-0.15
MOD might,-0.0,-0.86,1.07
MOD may ~ MOD must,-0.12,1.09,-0.64
IMPV ~ MOD can,0.66,0.0,-0.64
MOD is to,1.0,-0.33,-0.42
PAST ~ PAST PERF,0.12,-0.89,0.68
MOD let ~ MOD must,0.3,-0.16,0.0
MOD was to ~ PAST,1.82,-0.65,-0.43
MOD is to ~ MOD let,1.82,-0.65,-0.43
MOD can ~ MOD should,-0.0,-0.0,0.0
MOD let ~ PAST,0.3,-0.16,0.0
MOD let ~ MOD should,0.3,-0.67,0.21
MOD can ~ MOD could,-0.0,-0.16,0.21
IMPV ~ PAST,-0.93,2.08,-0.22
MOD could ~ MOD would,0.0,-0.44,1.06
IMPV ~ MOD should,-0.93,2.08,-0.22
FUT ~ MOD must,0.0,-0.44,1.06
MOD lest,0.15,0.18,-0.22
MOD should ~ MOD was to,0.15,0.0,0.0
PAST PERF,0.58,-0.44,0.0
IMPV ~ PRES PART,-2.88,4.52,-0.22
MOD might ~ MOD would,0.15,0.0,0.0
IMPV ~ TO INF,-2.88,4.52,-0.22
FUT ~ FUT going-to,-1.45,0.21,1.24
PRES PART ~ TO INF,0.38,0.0,-0.22
MOD lest ~ MOD might,-0.17,-0.46,1.24
MOD could ~ PAST,0.38,-0.46,-0.0
FUT ~ PRES PERF,-0.17,-0.46,1.24
MOD can ~ TO INF,-0.0,-0.46,0.6
MOD is to ~ MOD may,0.38,0.0,-0.22
MOD may ~ PRES PART,-0.0,-0.46,0.6
MOD could ~ MOD might,-0.0,-0.46,0.6
FUT going-to ~ MOD shall,-1.45,2.54,-0.22
MOD shall ~ MOD would,-0.0,-0.46,0.6
?VB ~ MOD let,0.38,0.0,-0.22
PAST ~ PAST PROG,0.38,0.0,-0.22
MOD can ~ PRES PART,0.0,0.5,0.0
MOD VB ~ MOD may,0.79,-0.23,0.0
MOD is to ~ MOD must,-0.42,0.0,0.73
MOD might ~ TO INF,0.0,-0.23,0.73
MOD can ~ MOD let,-0.42,-0.23,1.49
MOD lest ~ TO INF,-0.42,1.1,0.0
MOD would ~ TO INF,-0.42,0.0,0.73
MOD let ~ PRES PART,0.79,-0.23,0.0
MOD might ~ PAST,-0.42,-0.23,1.49
MOD was to,0.79,-0.23,0.0
MOD might ~ MOD should,0.0,-0.23,0.73
MOD should ~ PAST,-0.0,-0.0,0.0
MOD VB ~ PRES,0.79,-0.24,0.0
FUT ~ PRES PROG,-1.65,-0.24,3.17
IMPV ~ MOD lest,-0.0,-0.0,0.0
HAB used to,0.79,-0.24,0.0
PAST PERF ~ PRES,-0.19,-0.0,0.3
MOD can ~ PAST,0.79,-0.24,0.0
FUT ~ MOD is to,-0.0,-0.0,0.0
?VB ~ PAST,-0.0,-0.24,0.3
PRES PERF ~ TO INF,-0.51,-0.24,1.83
MOD could ~ MOD should,-0.0,0.27,0.0
?VB,-0.0,0.27,0.0
PAST PROG,0.54,0.0,0.0
MOD shall ~ PRES PERF,-1.24,1.93,0.0
MOD can ~ MOD might,-1.24,1.93,0.0
MOD could ~ MOD must,-1.24,0.0,2.38
FUT PROG ~ PRES,-0.25,0.88,0.0
MOD lest ~ MOD would,-0.0,0.0,0.39
FUT ~ MOD that be,0.54,0.0,0.0
MOD need not ~ MOD shall,-0.25,0.88,0.0
MOD may ~ PRES PERF,-0.0,0.0,0.39
MOD may ~ PAST,0.54,0.0,0.0
MOD may ~ MOD might,-0.0,0.27,0.0
PRES PART ~ PRES PERF,-0.25,0.27,0.39
MOD is to ~ PRES PART,-0.25,0.88,0.0
MOD let ~ PRES PERF,-0.0,0.0,0.39
MOD let ~ MOD would,0.54,0.0,0.0
IMPV ~ MOD is to,-0.25,0.88,0.0
MOD would ~ PRES PART,-0.25,0.27,0.39
?VB ~ MOD must,0.28,0.0,0.0
?VB ~ MOD shall,0.28,0.0,0.0
??VB ~ MOD let,0.28,0.0,0.0
MOD must ~ MOD should,0.0,0.0,0.53
MOD is to ~ PRES,0.28,0.0,0.0
MOD can ~ MOD must,-0.82,0.4,0.53
MOD should ~ PRES PERF,-0.82,1.29,0.0
MOD that be,0.28,0.0,0.0
MOD let ~ MOD that be,0.28,0.0,0.0
PAST PROG ~ PRES,0.0,0.4,0.0
MOD lest ~ MOD should,0.28,0.0,0.0
MOD lest ~ MOD shall,-0.82,0.0,1.59
MOD is to ~ TO INF,0.0,0.0,0.53
MOD need not ~ PRES,0.28,0.0,0.0
MOD could ~ TO INF,0.0,0.0,0.53
PRES PROG,0.28,0.0,0.0
PRES ~ PRES do,0.0,0.0,0.53
FUT PERF,-0.0,0.0,0.0
FUT ~ MOD,-0.0,0.0,0.0
MOD quest must,-0.0,0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0,0.0
PRES ~ PRES shall,-0.41,0.64,0.0
MOD should ~ PRES PART,-0.41,0.0,0.79
?VB ~ IMPV,-0.0,0.0,0.0
?VB ~ MOD lest,-0.0,0.0,0.0
MOD that be ~ TO INF,-0.41,0.64,0.0
MOD was to ~ PRES,-0.41,0.64,0.0
MOD would ~ PAST PERF,-0.0,0.0,0.0
MOD ~ PRES,-0.0,0.0,0.0
MOD would ~ PAST PROG,-0.0,0.0,0.0
FUT PERF ~ PRES,-0.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0
PRES ~ PRES can,-0.0,0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0,0.0
MOD must ~ TO INF,-0.0,0.0,0.0
FUT going-to ~ MOD is to,-0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.41,0.64,0.0
FUT PROG ~ MOD shall,-0.0,0.0,0.0
PRES PART ~ PRES PROG,-0.0,0.0,0.0
FUT going-to ~ MOD lest,-0.0,0.0,0.0
MOD can ~ MOD lest,-0.0,0.0,0.0
MOD must ~ PRES shall,-0.41,0.64,0.0
MOD lest ~ MOD let,-0.0,0.0,0.0
MOD could ~ MOD shall,-0.41,0.0,0.79
MOD VB ~ TO INF,-0.0,0.0,0.0
MOD could ~ PAST PERF,-0.0,0.0,0.0
MOD VB ~ MOD shall,-0.0,0.0,0.0
MOD could ~ PRES PERF,-0.0,0.0,0.0
MOD VB ~ MOD can,-0.41,0.0,0.79
