eng_TAMsimp,p3,p2,p1
PRES,0.33,5.36,9.79
FUT,1.16,8.26,1.33
FUT ~ MOD shall,0.26,5.11,21.99
IMPV,18.39,0.06,600.0
IMPV ~ MOD shall,13.49,0.07,inf
PAST,0.35,10.46,4.81
FUT ~ PRES,0.49,4.8,5.31
MOD let,0.26,90.75,4.17
MOD must ~ MOD shall,0.54,1.94,83.5
MOD may,0.46,4.53,6.58
MOD is to ~ MOD shall,0.44,2.27,inf
MOD can,0.61,5.14,3.66
MOD shall,0.8,4.12,3.0
MOD shall ~ PRES,0.47,4.56,6.14
FUT ~ MOD may,0.49,6.05,4.36
MOD would,0.69,5.0,3.14
IMPV ~ MOD let,0.15,8.33,36.33
PAST ~ PRES,0.56,4.05,5.17
MOD let ~ MOD may,0.04,103.0,33.67
PRES ~ PRES PART,0.23,5.4,31.0
PRES ~ PRES PERF,0.73,2.03,10.0
MOD should,0.93,10.86,1.52
FUT ~ MOD lest,0.6,3.24,6.2
MOD can ~ PRES,0.58,3.18,6.89
TO INF,0.69,2.38,7.88
FUT ~ MOD can,0.39,5.4,7.0
MOD may ~ PRES,0.27,5.89,14.5
PRES PERF,0.79,3.36,3.69
MOD may ~ MOD shall,0.38,2.87,57.0
IMPV ~ PRES,1.5,0.72,54.0
MOD can ~ MOD may,1.08,5.25,1.78
PRES PART,0.4,3.08,23.5
PRES ~ TO INF,0.29,4.0,44.0
MOD should ~ PRES,1.14,1.65,5.43
MOD can ~ MOD shall,1.59,6.33,1.1
FUT ~ MOD would,1.62,2.5,2.0
MOD must,1.53,2.17,2.45
MOD shall ~ TO INF,1.11,1.71,5.33
MOD could,0.27,inf,3.75
PAST ~ PRES PERF,1.36,2.0,3.12
MOD may ~ TO INF,0.57,7.25,3.12
MOD shall ~ MOD should,1.58,14.5,0.82
IMPV ~ MOD may,0.88,1.31,29.0
FUT ~ TO INF,0.81,6.25,2.22
MOD would ~ PAST,0.12,inf,8.67
MOD would ~ PRES,1.88,1.09,4.75
FUT ~ IMPV,2.83,0.44,22.0
MOD let ~ PRES,0.29,10.0,6.33
PAST ~ PRES PART,0.17,20.0,9.5
FUT ~ MOD let,0.75,inf,1.33
MOD shall ~ PRES PART,0.11,9.0,inf
MOD should ~ TO INF,1.11,2.8,2.8
MOD must ~ PRES,2.0,1.25,3.5
FUT ~ PRES PART,0.7,4.67,3.25
MOD let ~ TO INF,0.42,inf,2.4
MOD lest ~ MOD may,0.45,7.0,4.33
PRES ~ PRES PROG,0.6,2.2,15.0
MOD let ~ MOD shall,0.0,inf,inf
FUT ~ PAST,0.67,6.5,2.75
IMPV ~ MOD must,6.0,0.17,inf
MOD lest ~ PRES,1.8,0.75,13.0
MOD shall ~ PAST,0.27,6.0,13.0
MOD should ~ MOD would,0.17,13.0,13.0
PAST ~ TO INF,0.3,12.0,5.5
FUT ~ MOD should,0.5,2.0,inf
HAB used to ~ PAST,0.09,inf,11.0
MOD might,0.57,inf,1.75
MOD may ~ MOD must,0.83,1.2,inf
IMPV ~ MOD can,0.22,4.5,inf
MOD is to,0.11,9.0,inf
PAST ~ PAST PERF,0.43,inf,2.33
MOD let ~ MOD must,0.29,8.0,8.0
MOD was to ~ PAST,0.0,inf,inf
MOD is to ~ MOD let,0.0,inf,inf
MOD can ~ MOD should,0.6,3.0,7.0
MOD let ~ PAST,0.33,7.0,7.0
MOD let ~ MOD should,0.33,inf,3.0
MOD can ~ MOD could,0.6,7.0,3.0
IMPV ~ PAST,2.5,0.4,inf
MOD could ~ MOD would,0.75,inf,1.33
IMPV ~ MOD should,2.5,0.4,inf
FUT ~ MOD must,0.75,inf,1.33
MOD lest,0.4,2.5,inf
MOD should ~ MOD was to,0.4,6.0,6.0
PAST PERF,0.17,inf,6.0
IMPV ~ PRES PART,inf,0.0,inf
MOD might ~ MOD would,0.4,6.0,6.0
IMPV ~ TO INF,inf,0.0,inf
FUT ~ FUT going-to,5.0,2.0,1.0
PRES PART ~ TO INF,0.2,5.0,inf
MOD lest ~ MOD might,1.0,inf,1.0
MOD could ~ PAST,0.2,inf,5.0
FUT ~ PRES PERF,1.0,inf,1.0
MOD can ~ TO INF,0.5,inf,2.0
MOD is to ~ MOD may,0.2,5.0,inf
MOD may ~ PRES PART,0.5,inf,2.0
MOD could ~ MOD might,0.5,inf,2.0
FUT going-to ~ MOD shall,5.0,0.2,inf
MOD shall ~ MOD would,0.5,inf,2.0
?VB ~ MOD let,0.2,5.0,inf
PAST ~ PAST PROG,0.2,5.0,inf
MOD can ~ PRES PART,0.67,1.5,inf
MOD VB ~ MOD may,0.0,inf,inf
MOD is to ~ MOD must,1.5,4.0,1.5
MOD might ~ TO INF,0.67,inf,1.5
MOD can ~ MOD let,1.5,inf,0.67
MOD lest ~ TO INF,1.5,0.67,inf
MOD would ~ TO INF,1.5,4.0,1.5
MOD let ~ PRES PART,0.0,inf,inf
MOD might ~ PAST,1.5,inf,0.67
MOD was to,0.0,inf,inf
MOD might ~ MOD should,0.67,inf,1.5
MOD should ~ PAST,0.33,3.0,inf
MOD VB ~ PRES,0.0,inf,inf
FUT ~ PRES PROG,inf,inf,0.0
IMPV ~ MOD lest,0.33,3.0,inf
HAB used to,0.0,inf,inf
PAST PERF ~ PRES,1.0,3.0,3.0
MOD can ~ PAST,0.0,inf,inf
FUT ~ MOD is to,0.33,3.0,inf
?VB ~ PAST,0.33,inf,3.0
PRES PERF ~ TO INF,3.0,inf,0.33
MOD could ~ MOD should,0.5,2.0,inf
?VB,0.5,2.0,inf
PAST PROG,0.0,inf,inf
MOD shall ~ PRES PERF,inf,0.0,inf
MOD can ~ MOD might,inf,0.0,inf
MOD could ~ MOD must,inf,inf,0.0
FUT PROG ~ PRES,2.0,0.5,inf
MOD lest ~ MOD would,0.5,inf,2.0
FUT ~ MOD that be,0.0,inf,inf
MOD need not ~ MOD shall,2.0,0.5,inf
MOD may ~ PRES PERF,0.5,inf,2.0
MOD may ~ PAST,0.0,inf,inf
MOD may ~ MOD might,0.5,2.0,inf
PRES PART ~ PRES PERF,2.0,2.0,2.0
MOD is to ~ PRES PART,2.0,0.5,inf
MOD let ~ PRES PERF,0.5,inf,2.0
MOD let ~ MOD would,0.0,inf,inf
IMPV ~ MOD is to,2.0,0.5,inf
MOD would ~ PRES PART,2.0,2.0,2.0
?VB ~ MOD must,0.0,inf,inf
?VB ~ MOD shall,0.0,inf,inf
??VB ~ MOD let,0.0,inf,inf
MOD must ~ MOD should,1.0,inf,1.0
MOD is to ~ PRES,0.0,inf,inf
MOD can ~ MOD must,inf,1.0,1.0
MOD should ~ PRES PERF,inf,0.0,inf
MOD that be,0.0,inf,inf
MOD let ~ MOD that be,0.0,inf,inf
PAST PROG ~ PRES,1.0,1.0,inf
MOD lest ~ MOD should,0.0,inf,inf
MOD lest ~ MOD shall,inf,inf,0.0
MOD is to ~ TO INF,1.0,inf,1.0
MOD need not ~ PRES,0.0,inf,inf
MOD could ~ TO INF,1.0,inf,1.0
PRES PROG,0.0,inf,inf
PRES ~ PRES do,1.0,inf,1.0
FUT PERF,0.0,inf,inf
FUT ~ MOD,0.0,inf,inf
MOD quest must,0.0,inf,inf
MOD quest must ~ MOD shall,0.0,inf,inf
PRES ~ PRES shall,inf,0.0,inf
MOD should ~ PRES PART,inf,inf,0.0
?VB ~ IMPV,0.0,inf,inf
?VB ~ MOD lest,0.0,inf,inf
MOD that be ~ TO INF,inf,0.0,inf
MOD was to ~ PRES,inf,0.0,inf
MOD would ~ PAST PERF,0.0,inf,inf
MOD ~ PRES,0.0,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf
FUT PERF ~ PRES,0.0,inf,inf
FUT ~ FUT PROG,0.0,inf,inf
PRES ~ PRES can,0.0,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf
MOD must ~ TO INF,0.0,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf
PAST PROG ~ PRES PART,inf,0.0,inf
FUT PROG ~ MOD shall,0.0,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf
FUT going-to ~ MOD lest,0.0,inf,inf
MOD can ~ MOD lest,0.0,inf,inf
MOD must ~ PRES shall,inf,0.0,inf
MOD lest ~ MOD let,0.0,inf,inf
MOD could ~ MOD shall,inf,inf,0.0
MOD VB ~ TO INF,0.0,inf,inf
MOD could ~ PAST PERF,0.0,inf,inf
MOD VB ~ MOD shall,0.0,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf
MOD VB ~ MOD can,inf,inf,0.0
JJ ~ PRES,0.0,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf
MOD is to ~ MOD should,inf,inf,0.0
MOD is to ~ PRES PROG,inf,0.0,inf
IMPV ~ MOD need not,inf,0.0,inf
MOD lest ~ MOD must,0.0,inf,inf
MOD must ~ PRES PROG,inf,0.0,inf
MOD let ~ MOD might,0.0,inf,inf
IMPV ~ MOD,0.0,inf,inf
MOD let ~ VB,inf,inf,0.0
HAB used to ~ PRES PERF,0.0,inf,inf
HAB used to ~ PRES,0.0,inf,inf
MOD may ~ MOD should,0.0,inf,inf
HAB used to ~ MOD would,inf,inf,0.0
MOD may ~ MOD would,0.0,inf,inf
MOD might ~ PRES PERF,inf,0.0,inf
FUT ~ PRES shall,0.0,inf,inf
MOD must ~ MOD quest must,0.0,inf,inf
MOD must ~ PRES PART,inf,0.0,inf
MOD lest ~ MOD that be,0.0,inf,inf
