bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
35,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,WayX,wayq,Main,N,,,,,
82,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,WYq0,yqtl,Main,Q
89,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,ZYqX,yqtl,Main,Q,,,,,
143,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,וְתֵרָאֶ֖ה הַיַּבָּשָׁ֑ה ,WYqX,yqtl,Main,Q
154,יִקָּו֨וּ הַמַּ֜יִם מִתַּ֤חַת הַשָּׁמַ֨יִם֙ אֶל־מָקֹ֣ום אֶחָ֔ד ,ZYqX,yqtl,Main,Q,,,,,
182,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,מַזְרִ֣יעַ זֶ֔רַע ,Ptcp,ptcp,SubMod,Q
239,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,InfC,infc,SubAdv,Q
363,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וְעֹוף֙ יְעֹופֵ֣ף עַל־הָאָ֔רֶץ עַל־פְּנֵ֖י רְקִ֥יעַ הַשָּׁמָֽיִם׃ ,WXYq,yqtl,Main,Q
371,יִשְׁרְצ֣וּ הַמַּ֔יִם שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה ,ZYqX,yqtl,Main,Q,,,,,
434,פְּר֣וּ ,ZIm0,impv,Main,Q,,,,,
449,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,Ellp,Ø,Main,Q
498,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,WYq0,yqtl,Main,Q
505,נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ כִּדְמוּתֵ֑נוּ ,ZYq0,yqtl,Main,Q,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,Ptcp,ptcp,SubMod,Q
619,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ ,xQt0,qtl,Main,Q,,,,,
751,בְּיֹ֗ום ,CPen,Ø,Main,N,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,WXYq,yqtl,Main,D
761,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,WXYq,yqtl,Main,D,כִּי֩ לֹ֨א הִמְטִ֜יר יְהוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ ,xQtX,qtl,SubAdv,D
780,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,WXYq,yqtl,Main,D,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,WQt0,wqtl,Main,D
876,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,Ptcp,ptcp,Main,N,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,WQt0,wqtl,Main,D
977,לֵאמֹ֑ר ,InfC,infc,SubAdv,N,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,CPen,Ø,Main,Q
987,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,CPen,Ø,Main,Q,כִּ֗י בְּיֹ֛ום ,Defc,Ø,SubAdv,Q
995,כִּ֗י בְּיֹ֛ום ,Defc,Ø,SubAdv,Q,,,,,
1007,לֹא־טֹ֛וב ,AjCl,Ø,Main,Q,,,,,
1037,לִרְאֹ֖ות ,InfC,infc,SubAdv,N,,,,,
1042,וְכֹל֩ ,CPen,Ø,Main,N,,,,,
