bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
4997,πλινθεύσωμεν,aorist,active,subj,1,pl,GEN 11:3,aorist subj
5000,ὀπτήσωμεν,aorist,active,subj,1,pl,GEN 11:3,aorist subj
5086,καταβάντες,aorist,active,ptcp,,pl,GEN 11:7,aorist ptcp
5088,συγχέωμεν,present,active,subj,1,pl,GEN 11:7,present subj
5513,μεγαλυνῶ,future,active,indc,1,sg,GEN 12:2,future indc
5519,εὐλογήσω,future,active,indc,1,sg,GEN 12:3,future indc
6032,,,,,,,,
6038,,,,,,,,
7351,θήσομαι,future,middle,indc,1,sg,GEN 17:2,future indc
7870,λήμψομαι,future,middle,indc,1,sg,GEN 18:5,future indc
8162,καταβὰς,aorist,active,ptcp,,sg,GEN 18:21,aorist ptcp
8177,γνῶ,aorist,active,subj,1,sg,GEN 18:21,aorist subj
8351,λαλήσω,aorist,active,subj,1,sg,GEN 18:30,aorist subj
8393,λαλήσω,aorist,active,subj,1,sg,GEN 18:32,aorist subj
8539,συγγενώμεθα,aorist,middle,subj,1,pl,GEN 19:5,aorist subj
8567,ἐξάξω,future,active,indc,1,sg,GEN 19:8,future indc
8881,σωθήσομαι,future,passsive,indc,1,sg,GEN 19:20,future indc
9118,κοιμηθῶμεν,aorist,passsive,subj,1,pl,GEN 19:32,aorist subj
10795,θάψω,aorist,active,subj,1,sg,GEN 23:4,aorist subj
10969,θάψω,aorist,active,subj,1,sg,GEN 23:13,aorist subj
12225,ἀπέλθω,aorist,active,subj,1,sg,GEN 24:56,aorist subj
12235,ἐρωτήσωμεν,aorist,active,subj,1,pl,GEN 24:57,aorist subj
13510,διαθησόμεθα,future,middle,indc,1,pl,GEN 26:28,future indc
13696,φάγω,aorist,active,subj,1,sg,GEN 27:4,aorist subj
13749,φαγὼν,aorist,active,ptcp,,sg,GEN 27:7,aorist ptcp
14037,φάγομαι,future,middle,indc,1,sg,GEN 27:25,future indc
14391,ἀποκτείνω,aorist,active,subj,1,sg,GEN 27:41,aorist subj
15340,εἰσέλθω,aorist,active,subj,1,sg,GEN 29:21,aorist subj
15427,δώσω,future,active,indc,1,sg,GEN 29:27,future indc
15982,ἀπέλθω,aorist,active,subj,1,sg,GEN 30:25,aorist subj
15999,ἀπέλθω,aorist,active,subj,1,sg,GEN 30:26,aorist subj
16029,δώσω,future,active,indc,1,sg,GEN 30:28,future indc
