bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
33,εἶπεν,aorist,active,indc,3,sg,aorist indc
38,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
41,εἶδεν,aorist,active,indc,3,sg,aorist indc
49,διεχώρισεν,aorist,active,indc,3,sg,aorist indc
59,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
72,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
75,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
80,εἶπεν,aorist,active,indc,3,sg,aorist indc
96,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
102,διεχώρισεν,aorist,active,indc,3,sg,aorist indc
123,,,,,,,
126,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
133,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
136,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
141,εἶπεν,aorist,active,indc,3,sg,aorist indc
158,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
161,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
175,εἶδεν,aorist,active,indc,3,sg,aorist indc
180,εἶπεν,aorist,active,indc,3,sg,aorist indc
202,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
205,ἐξήνεγκεν,aorist,active,indc,3,sg,aorist indc
224,εἶδεν,aorist,active,indc,3,sg,aorist indc
229,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
232,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
237,εἶπεν,aorist,active,indc,3,sg,aorist indc
280,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
283,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
315,ἔθετο,aorist,middle,indc,3,sg,aorist indc
348,εἶδεν,aorist,active,indc,3,sg,aorist indc
353,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
356,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
361,εἶπεν,aorist,active,indc,3,sg,aorist indc
381,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
410,εἶδεν,aorist,active,indc,3,sg,aorist indc
415,ηὐλόγησεν,aorist,active,indc,3,sg,aorist indc
439,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
442,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
447,εἶπεν,aorist,active,indc,3,sg,aorist indc
465,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
468,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
491,εἶδεν,aorist,active,indc,3,sg,aorist indc
496,εἶπεν,aorist,active,indc,3,sg,aorist indc
535,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
553,ηὐλόγησεν,aorist,active,indc,3,sg,aorist indc
557,λέγων,present,active,ptcp,,sg,present ptcp
591,εἶπεν,aorist,active,indc,3,sg,aorist indc
652,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
655,εἶδεν,aorist,active,indc,3,sg,aorist indc
666,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
669,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
675,συνετελέσθησαν,aorist,passsive,indc,3,pl,aorist indc
685,συνετέλεσεν,aorist,active,indc,3,sg,aorist indc
696,κατέπαυσεν,aorist,active,indc,3,sg,aorist indc
708,ηὐλόγησεν,aorist,active,indc,3,sg,aorist indc
715,ἡγίασεν,aorist,active,indc,3,sg,aorist indc
792,ἔπλασεν,aorist,active,indc,3,sg,aorist indc
803,ἐνεφύσησεν,aorist,active,indc,3,sg,aorist indc
809,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
816,ἐφύτευσεν,aorist,active,indc,3,sg,aorist indc
825,ἔθετο,aorist,middle,indc,3,sg,aorist indc
833,ἐξανέτειλεν,aorist,active,indc,3,sg,aorist indc
946,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
953,ἔθετο,aorist,middle,indc,3,sg,aorist indc
963,ἐνετείλατο,aorist,middle,indc,3,sg,aorist indc
997,εἶπεν,aorist,active,indc,3,sg,aorist indc
1013,ἔπλασεν,aorist,active,indc,3,sg,aorist indc
1030,ἤγαγεν,aorist,active,indc,3,sg,aorist indc
1051,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1079,ἐπέβαλεν,aorist,active,indc,3,sg,aorist indc
1087,ὕπνωσεν,aorist,active,indc,3,sg,aorist indc
1089,ἔλαβεν,aorist,active,indc,3,sg,aorist indc
1094,ἀνεπλήρωσεν,aorist,active,indc,3,sg,aorist indc
1098,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
1112,ἤγαγεν,aorist,active,indc,3,sg,aorist indc
1117,εἶπεν,aorist,active,indc,3,sg,aorist indc
1158,ἦσαν,imperfect,active,indc,3,pl,imperfect indc
1183,εἶπεν,aorist,active,indc,3,sg,aorist indc
1199,εἶπεν,aorist,active,indc,3,sg,aorist indc
1233,εἶπεν,aorist,active,indc,3,sg,aorist indc
1262,εἶδεν,aorist,active,indc,3,sg,aorist indc
1285,λαβοῦσα,aorist,active,ptcp,,sg,aorist ptcp
1289,ἔφαγεν,aorist,active,indc,3,sg,aorist indc
1291,ἔδωκεν,aorist,active,indc,3,sg,aorist indc
1297,ἔφαγον,aorist,active,indc,3,pl,aorist indc
1299,διηνοίχθησαν,aorist,passsive,indc,3,pl,aorist indc
1303,ἔγνωσαν,aorist,active,indc,3,pl,aorist indc
1308,ἔρραψαν,aorist,active,indc,3,pl,aorist indc
1312,ἐποίησαν,aorist,active,indc,3,pl,aorist indc
1316,ἤκουσαν,aorist,active,indc,3,pl,aorist indc
1330,ἐκρύβησαν,aorist,active,indc,3,pl,aorist indc
1345,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1352,εἶπεν,aorist,active,indc,3,sg,aorist indc
1356,εἶπεν,aorist,active,indc,3,sg,aorist indc
1364,ἐφοβήθην,aorist,passsive,indc,1,sg,aorist indc
1369,ἐκρύβην,aorist,passsive,indc,1,sg,aorist indc
1371,εἶπεν,aorist,active,indc,3,sg,aorist indc
1390,εἶπεν,aorist,active,indc,3,sg,aorist indc
1405,ἔφαγον,aorist,active,indc,3,pl,aorist indc
1407,εἶπεν,aorist,active,indc,3,sg,aorist indc
1417,εἶπεν,aorist,active,indc,3,sg,aorist indc
1424,ἔφαγον,aorist,active,indc,3,pl,aorist indc
1426,εἶπεν,aorist,active,indc,3,sg,aorist indc
1508,φαγεῖν,aorist,active,infv,,,aorist infv
1563,ἐκάλεσεν,aorist,active,indc,3,sg,aorist indc
1576,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
1587,ἐνέδυσεν,aorist,active,indc,3,sg,aorist indc
1589,εἶπεν,aorist,active,indc,3,sg,aorist indc
1623,ἐξαπέστειλεν,aorist,active,indc,3,sg,aorist indc
1639,ἐξέβαλεν,aorist,active,indc,3,sg,aorist indc
1644,κατῴκισεν,aorist,active,indc,3,sg,aorist indc
1675,συλλαβοῦσα,aorist,active,ptcp,,sg,aorist ptcp
1677,ἔτεκεν,aorist,active,indc,3,sg,aorist indc
1681,εἶπεν,aorist,active,indc,3,sg,aorist indc
1687,προσέθηκεν,aorist,active,indc,3,sg,aorist indc
1695,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1705,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1710,ἤνεγκεν,aorist,active,indc,3,sg,aorist indc
1731,ἐπεῖδεν,aorist,active,indc,3,sg,aorist indc
1747,ἐλύπησεν,aorist,active,indc,3,sg,aorist indc
1752,συνέπεσεν,aorist,active,indc,3,sg,aorist indc
1755,εἶπεν,aorist,active,indc,3,sg,aorist indc
1788,εἶπεν,aorist,active,indc,3,sg,aorist indc
1794,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
1801,ἀνέστη,aorist,active,indc,3,sg,aorist indc
1807,ἀπέκτεινεν,aorist,active,indc,3,sg,aorist indc
1809,εἶπεν,aorist,active,indc,3,sg,aorist indc
