bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
255,יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,515730,יְהִ֤י מְאֹרֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,Main,Q,yqtl,ZYqX,p3,HJH[,יהי,וְהָי֤וּ לִמְאֹורֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,515733,וְהָי֤וּ לִמְאֹורֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,Main,Q,wqtl,WQt0,p3,HJH[,היו
267,וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,515732,וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,Main,Q,wqtl,WQt0,p3,HJH[,היו,לְהָאִ֖יר עַל־הָאָ֑רֶץ ,515734,לְהָאִ֖יר עַל־הָאָ֑רֶץ ,SubAdv,Q,infc,InfC,unknown,>WR[,האיר
785,וְאֵ֖ד יַֽעֲלֶ֣ה מִן־הָאָ֑רֶץ ,515827,וְאֵ֖ד יַֽעֲלֶ֣ה מִן־הָאָ֑רֶץ ,Main,D,yqtl,WXYq,p3,<LH[,יעלה,,,,,,,,,,
878,וּמִשָּׁם֙ יִפָּרֵ֔ד ,515842,וּמִשָּׁם֙ יִפָּרֵ֔ד ,Main,D,yqtl,WxY0,p3,PRD[,יפרד,שֵׁ֥ם הָֽאֶחָ֖ד פִּישֹׁ֑ון ,515844,שֵׁ֥ם הָֽאֶחָ֖ד פִּישֹׁ֑ון ,Main,D,Ø,NmCl,,,
1149,עַל־כֵּן֙ יַֽעֲזָב־אִ֔ישׁ אֶת־אָבִ֖יו וְאֶת־אִמֹּ֑ו ,515895,עַל־כֵּן֙ יַֽעֲזָב־אִ֔ישׁ אֶת־אָבִ֖יו וְאֶת־אִמֹּ֑ו ,Main,D,yqtl,xYqX,p3,<ZB[,יעזב,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ ,515897,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ ,Main,D,wqtl,WQt0,p3,HJH[,היו
1153,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,515896,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,Main,D,wqtl,WQt0,p3,DBQ[,דבק,,,,,,,,,,
1251,כִּ֗י בְּיֹום֙ ,515916,כִּ֗י בְּיֹום֙ ,SubArg,Q,Ø,CPen,,,,וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים ,515919,וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים ,Main,Q,wqtl,WQt0,p2,HJH[,הייתם
1254,וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם ,515918,וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם ,Main,Q,wqtl,WQtX,p3,PQX[,נפקחו,יֹדְעֵ֖י טֹ֥וב וָרָֽע׃ ,515920,יֹדְעֵ֖י טֹ֥וב וָרָֽע׃ ,SubMod,Q,Ø,NmCl,,,
1537,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,515983,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלנה,,,,,,,,,,
1610,פֶּן־יִשְׁלַ֣ח יָדֹ֗ו ,515999,פֶּן־יִשְׁלַ֣ח יָדֹ֗ו ,SubAdv,Q,yqtl,xYq0,p3,CLX[,ישׁלח,וְאָכַ֖ל ,516001,וְאָכַ֖ל ,Main,Q,wqtl,WQt0,p3,>KL[,אכל
1617,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,516000,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,Main,Q,wqtl,WQt0,p3,LQX[,לקח,וָחַ֥י לְעֹלָֽם׃ ,516002,וָחַ֥י לְעֹלָֽם׃ ,Main,Q,wqtl,WQt0,p3,XJH[,חי
1619,וְאָכַ֖ל ,516001,וְאָכַ֖ל ,Main,Q,wqtl,WQt0,p3,>KL[,אכל,,,,,,,,,,
1895,וּמִפָּנֶ֖יךָ אֶסָּתֵ֑ר ,516061,וּמִפָּנֶ֖יךָ אֶסָּתֵ֑ר ,Main,Q,yqtl,WxY0,p1,STR[,אסתר,,,,,,,,,,
1903,הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה ,516060,הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה ,Main,Q,qtl,xQt0,p2,GRC[,גרשׁת,כָל־יַֽהַרְגֵֽנִי׃ ,516064,כָל־,Main,Q,Ø,Defc,,,
2654,לֹֽא־יָדֹ֨ון רוּחִ֤י בָֽאָדָם֙ לְעֹלָ֔ם ,516212,לֹֽא־יָדֹ֨ון רוּחִ֤י בָֽאָדָם֙ לְעֹלָ֔ם ,Main,Q,yqtl,xYqX,p3,DWN[,ידון,,,,,,,,,,
2685,אֲשֶׁ֨ר יָבֹ֜אוּ בְּנֵ֤י הָֽאֱלֹהִים֙ אֶל־בְּנֹ֣ות הָֽאָדָ֔ם ,516217,אֲשֶׁ֨ר יָבֹ֜אוּ בְּנֵ֤י הָֽאֱלֹהִים֙ אֶל־בְּנֹ֣ות הָֽאָדָ֔ם ,SubMod,D,yqtl,xYqX,p3,BW>[,יבאו,,,,,,,,,,
