bhsa_node,french_tense
255,
267,
785,imparfait
878,
1149,
1153,
1251,
1254,
1537,
1610,
1617,
1619,
1895,
1903,
2654,
2685,imparfait
2861,
2943,
2948,
3018,
3021,
3121,
3900,
3905,
3907,
4218,
4271,
4281,
4289,
4296,
4324,
4331,
5525,
5715,
5722,
5726,
5741,
6160,
6772,passé_simp
6894,
6896,
7235,
7378,
7391,
7400,
7406,
7414,
7439,
7456,
7492,
7497,
7536,
7553,
7579,
7588,
7590,
7643,
7648,
7666,
7669,
7679,
8113,
8131,
8244,
8275,
8466,
8468,
8867,
9483,
10067,passé_simp
10622,
11175,
11259,
11275,
11385,
11397,
11855,
11881,
11884,
11908,
11942,
11950,
11959,
13043,
13053,
13061,
13071,
13189,
13405,
13436,
13438,
13793,
13797,
13824,
13830,
14360,
14365,
14439,
14454,
14460,
14462,
14547,
14602,
14753,
14760,
14769,
14783,
14789,
14898,
14908,
14918,
14925,
14992,imparfait
14998,imparfait
15008,imparfait
15013,imparfait
15094,
15104,
15249,
16121,
16124,
16317,
16326,imparfait
16351,
16483,passé_comp
16502,
16515,imparfait
17241,
17600,
17602,
17676,
17687,
17779,
17795,
17844,
18251,
18313,imparfait
18317,
18537,passé_simp
18720,
18730,
18733,
18745,
18749,
19028,
19031,
19033,
20223,
20531,
20659,
20914,
20969,
20976,imparfait
21629,
22141,
22145,
22167,
22172,
22176,
22271,
22276,
22883,
22889,
22897,
22967,
23000,
23002,
24124,imparfait
24133,
24303,
24307,
24396,
24912,
24914,
24994,
25241,
25245,
25296,
25340,
25348,
25351,
25375,
25383,
25385,
25410,
25625,
25643,
25648,
25666,
25697,
25711,
25713,
25822,
25826,
26520,
26526,
26530,
26689,
27077,imparfait
27110,
27115,
27120,
27156,
27255,
27266,
27270,
27274,
27364,
27366,
27371,
27749,
27753,
28056,passé_comp
28709,
28741,
28866,
28871,
28877,
28880,
28982,
28990,
28997,
29065,
29246,
29922,
29929,
29989,
29994,
30051,
30055,
30064,
30104,
30108,
30124,
30135,
30142,
30158,
30165,
30299,
30314,
30322,
30339,
30345,
30349,
30358,
30427,
30466,
30468,
30472,
30475,
30490,
30496,
30503,
30627,
30643,
30911,
30952,
31122,
31342,
31349,
31354,
31364,
31370,
31375,
31388,
31408,
31812,
31825,
31840,
31846,
31860,
31872,
31926,
32040,
32058,
32108,
32120,
