eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,364,253,72,140,70,76,63,33,1
PAST..IND,V,356,185,219,44,17,14,18,13,0
PAST..IND,RV,121,388,78,50,29,54,34,18,4
PRES.PERF.IND,V,247,147,79,41,51,16,30,17,1
PAST..IND,_W_SV,176,114,265,6,3,6,8,23,0
PRES.PERF.IND,RV,32,157,6,73,32,69,22,24,1
PAST..IND,_W_V,142,120,135,7,0,2,2,8,0
PAST.PERF.IND,RV,51,82,171,2,0,6,32,10,0
PAST..IND,_KJ_V,81,35,108,41,6,17,12,5,1
PRES.PERF.IND,_KJ_V,67,40,8,94,57,20,1,9,0
PAST..IND,SV,94,96,55,14,12,3,15,4,1
PAST..IND,_W_OV,79,38,138,0,1,2,0,0,0
PRES..IND,_KJ_V,60,29,6,71,54,7,2,2,1
PAST..IND,_>R_V,44,14,74,30,4,30,7,6,1
PRES.PERF.IND,SV,51,47,19,27,17,8,11,10,0
PRES..IND,SV,61,38,16,21,10,1,6,10,0
PRES.PERF.IND,OV,38,34,25,15,10,2,7,1,0
PAST.PERF.IND,_KJ_V,34,6,68,3,0,1,7,7,0
PAST..IND,OV,53,20,37,4,4,3,1,0,0
PRES..IND,_W_SV,68,22,3,13,3,4,2,5,0
PRES.PERF.IND,_W_V,62,24,13,8,0,2,1,1,2
PRES.PERF.IND,_W_SV,53,18,1,16,1,4,2,9,0
PRES..IND,RV,9,39,2,19,9,7,4,4,0
PRES.PERF.IND,_KJ_SV,6,22,1,24,13,19,0,0,1
PRES.PERF.IND,_>R_V,12,12,3,25,6,10,5,7,0
PRES..IND,OV,29,17,6,16,3,0,0,6,0
PRES.PERF.IND,QV,13,18,15,4,4,2,8,1,0
PAST.PERF.IND,_W_SV,19,7,30,0,0,0,0,3,0
PAST.PERF.IND,_>R_V,13,2,34,2,0,1,4,1,0
PRES..IND,_W_V,26,13,3,5,0,2,0,0,0
PRES.PERF.IND,_W_OV,28,7,2,2,1,3,1,3,0
PRES.PERF.IND,_KJ_OV,3,10,1,9,12,4,0,3,0
PRES..IND,_KJ_SV,6,5,0,10,10,4,0,1,2
PAST.PERF.IND,QV,9,5,13,0,0,1,6,2,0
PRES.PERF.IND,IV,6,9,12,4,4,0,1,0,0
PAST..IND,_KJ_SV,8,4,9,6,2,2,1,1,0
PRES..IND,_W_OV,23,3,2,3,0,0,0,2,0
PRES.PERF.IND,_>M_V,5,8,4,10,0,3,0,1,0
FUT..IND,V,7,9,1,8,0,3,2,1,0
PAST..SUBJ,_W_V,6,2,19,0,0,0,0,0,1
PAST.PERF.IND,V,6,9,9,0,1,0,0,1,0
PRES..MOD,_W_V,9,3,13,0,0,0,0,1,0
PRES..IND,_>M_V,2,7,1,5,4,0,0,1,0
PRES..IND,QV,4,5,7,3,0,0,0,0,0
PAST..IND,_W_RV,14,2,0,0,0,0,0,1,0
PAST..IND,QV,3,4,4,3,2,1,0,0,0
PAST.PERF.IND,SV,3,4,8,0,0,0,0,0,0
PAST.PERF.IND,_KJ_SV,7,3,3,0,0,1,1,0,0
PAST.PERF.IND,_W_V,9,0,4,1,0,0,0,1,0
PRES..,V,3,3,6,2,1,0,0,0,0
