eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,0.34,0.24,0.07,0.13,0.07,0.07,0.06,0.03,0.0
PAST..IND,V,0.41,0.21,0.25,0.05,0.02,0.02,0.02,0.02,0.0
PAST..IND,RV,0.16,0.5,0.1,0.06,0.04,0.07,0.04,0.02,0.01
PRES.PERF.IND,V,0.39,0.23,0.13,0.07,0.08,0.03,0.05,0.03,0.0
PAST..IND,_W_SV,0.29,0.19,0.44,0.01,0.0,0.01,0.01,0.04,0.0
PRES.PERF.IND,RV,0.08,0.38,0.01,0.18,0.08,0.17,0.05,0.06,0.0
PAST..IND,_W_V,0.34,0.29,0.32,0.02,0.0,0.0,0.0,0.02,0.0
PAST.PERF.IND,RV,0.14,0.23,0.48,0.01,0.0,0.02,0.09,0.03,0.0
PAST..IND,_KJ_V,0.26,0.11,0.35,0.13,0.02,0.06,0.04,0.02,0.0
PRES.PERF.IND,_KJ_V,0.23,0.14,0.03,0.32,0.19,0.07,0.0,0.03,0.0
PAST..IND,SV,0.32,0.33,0.19,0.05,0.04,0.01,0.05,0.01,0.0
PAST..IND,_W_OV,0.31,0.15,0.53,0.0,0.0,0.01,0.0,0.0,0.0
PRES..IND,_KJ_V,0.26,0.12,0.03,0.31,0.23,0.03,0.01,0.01,0.0
PAST..IND,_>R_V,0.21,0.07,0.35,0.14,0.02,0.14,0.03,0.03,0.0
PRES.PERF.IND,SV,0.27,0.25,0.1,0.14,0.09,0.04,0.06,0.05,0.0
PRES..IND,SV,0.37,0.23,0.1,0.13,0.06,0.01,0.04,0.06,0.0
PRES.PERF.IND,OV,0.29,0.26,0.19,0.11,0.08,0.02,0.05,0.01,0.0
PAST.PERF.IND,_KJ_V,0.27,0.05,0.54,0.02,0.0,0.01,0.06,0.06,0.0
PAST..IND,OV,0.43,0.16,0.3,0.03,0.03,0.02,0.01,0.0,0.0
PRES..IND,_W_SV,0.57,0.18,0.02,0.11,0.02,0.03,0.02,0.04,0.0
PRES.PERF.IND,_W_V,0.55,0.21,0.12,0.07,0.0,0.02,0.01,0.01,0.02
PRES.PERF.IND,_W_SV,0.51,0.17,0.01,0.15,0.01,0.04,0.02,0.09,0.0
PRES..IND,RV,0.1,0.42,0.02,0.2,0.1,0.08,0.04,0.04,0.0
PRES.PERF.IND,_KJ_SV,0.07,0.26,0.01,0.28,0.15,0.22,0.0,0.0,0.01
PRES.PERF.IND,_>R_V,0.15,0.15,0.04,0.31,0.08,0.12,0.06,0.09,0.0
PRES..IND,OV,0.38,0.22,0.08,0.21,0.04,0.0,0.0,0.08,0.0
PRES.PERF.IND,QV,0.2,0.28,0.23,0.06,0.06,0.03,0.12,0.02,0.0
PAST.PERF.IND,_W_SV,0.32,0.12,0.51,0.0,0.0,0.0,0.0,0.05,0.0
PAST.PERF.IND,_>R_V,0.23,0.04,0.6,0.04,0.0,0.02,0.07,0.02,0.0
PRES..IND,_W_V,0.53,0.27,0.06,0.1,0.0,0.04,0.0,0.0,0.0
PRES.PERF.IND,_W_OV,0.6,0.15,0.04,0.04,0.02,0.06,0.02,0.06,0.0
PRES.PERF.IND,_KJ_OV,0.07,0.24,0.02,0.21,0.29,0.1,0.0,0.07,0.0
PRES..IND,_KJ_SV,0.16,0.13,0.0,0.26,0.26,0.11,0.0,0.03,0.05
PAST.PERF.IND,QV,0.25,0.14,0.36,0.0,0.0,0.03,0.17,0.06,0.0
PRES.PERF.IND,IV,0.17,0.25,0.33,0.11,0.11,0.0,0.03,0.0,0.0
PAST..IND,_KJ_SV,0.24,0.12,0.27,0.18,0.06,0.06,0.03,0.03,0.0
PRES..IND,_W_OV,0.7,0.09,0.06,0.09,0.0,0.0,0.0,0.06,0.0
PRES.PERF.IND,_>M_V,0.16,0.26,0.13,0.32,0.0,0.1,0.0,0.03,0.0
FUT..IND,V,0.23,0.29,0.03,0.26,0.0,0.1,0.06,0.03,0.0
PAST..SUBJ,_W_V,0.21,0.07,0.68,0.0,0.0,0.0,0.0,0.0,0.04
PAST.PERF.IND,V,0.23,0.35,0.35,0.0,0.04,0.0,0.0,0.04,0.0
PRES..MOD,_W_V,0.35,0.12,0.5,0.0,0.0,0.0,0.0,0.04,0.0
PRES..IND,_>M_V,0.1,0.35,0.05,0.25,0.2,0.0,0.0,0.05,0.0
PRES..IND,QV,0.21,0.26,0.37,0.16,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_RV,0.82,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.0
PAST..IND,QV,0.18,0.24,0.24,0.18,0.12,0.06,0.0,0.0,0.0
PAST.PERF.IND,SV,0.2,0.27,0.53,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_SV,0.47,0.2,0.2,0.0,0.0,0.07,0.07,0.0,0.0
PAST.PERF.IND,_W_V,0.6,0.0,0.27,0.07,0.0,0.0,0.0,0.07,0.0
PRES..,V,0.2,0.2,0.4,0.13,0.07,0.0,0.0,0.0,0.0
PAST..SUBJ,V,0.47,0.33,0.13,0.0,0.07,0.0,0.0,0.0,0.0
PAST..IND,IV,0.13,0.13,0.27,0.2,0.2,0.0,0.07,0.0,0.0
PRES..IND,IV,0.07,0.21,0.29,0.36,0.0,0.0,0.07,0.0,0.0
PRES..IND,_W__>M_V,0.17,0.08,0.0,0.42,0.08,0.25,0.0,0.0,0.0
PRES..IND,RSV,0.08,0.42,0.0,0.25,0.08,0.08,0.08,0.0,0.0
PAST..IND,_KJ_OV,0.09,0.09,0.27,0.36,0.09,0.09,0.0,0.0,0.0
PAST.PERF.IND,_W_OV,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ_OV,0.3,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0
PRES.PERF.IND,ISV,0.11,0.22,0.22,0.22,0.11,0.0,0.11,0.0,0.0
PAST..IND,_>M_V,0.33,0.11,0.11,0.22,0.0,0.22,0.0,0.0,0.0
PRES.PERF.IND,_W_IV,0.33,0.11,0.11,0.0,0.0,0.44,0.0,0.0,0.0
PRES..IND,_>R_V,0.33,0.22,0.11,0.33,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_KJ_OV,0.25,0.12,0.5,0.0,0.0,0.12,0.0,0.0,0.0
PAST..IND,_W_IV,0.12,0.0,0.5,0.12,0.0,0.0,0.0,0.25,0.0
PRES.PERF.IND,_>M_IV,0.0,0.25,0.62,0.0,0.0,0.0,0.12,0.0,0.0
PRES..IND,ISV,0.0,0.5,0.25,0.0,0.12,0.0,0.12,0.0,0.0
PAST..IND,_W__KJ_V,0.75,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,SV,0.38,0.12,0.0,0.38,0.0,0.12,0.0,0.0,0.0
PRES..IND,_>W_V,0.25,0.0,0.0,0.12,0.0,0.62,0.0,0.0,0.0
PAST..IND,_J<N/_V,0.29,0.29,0.0,0.14,0.0,0.14,0.0,0.14,0.0
PAST..IND,_W_ISV,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.29,0.0
PRES.PERF.IND,_W__>M_V,0.83,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_RV,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_V,0.33,0.5,0.0,0.0,0.0,0.17,0.0,0.0,0.0
PRES.PERF.IND,IIV,0.0,0.17,0.67,0.17,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_V,0.5,0.33,0.0,0.17,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LW_V,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,V,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_V,0.2,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0
PAST..IND,ISV,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_RV,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IIV,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
PRES..,_W_V,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0
