cl_args,mother_verbtype,sum
RV,Ø,671
V,qtl,646
AV,qtl,344
V,Ø,308
AV,Ø,304
CV,wayq,299
_W_SV,wayq,296
_W_SV,qtl,296
CV,qtl,273
RV,wayq,258
CV,yqtl,247
RV,qtl,212
AV,wayq,194
V,wayq,189
SV,qtl,177
_W_AV,qtl,163
V,yqtl,160
SV,Ø,158
_W_SV,Ø,156
CV,Ø,147
RV,yqtl,143
_W_OV,wayq,141
RV,wqtl,138
_W_AV,Ø,133
_W_OV,qtl,121
OV,qtl,106
CV,impv,105
_W_AV,wayq,100
RV,infc,92
_W_V,qtl,91
_W_V,wayq,89
SV,wayq,87
CV,wqtl,86
AV,wqtl,78
AV,yqtl,72
AV,infc,72
CAV,qtl,71
AV,impv,71
RV,impv,69
V,impv,68
OV,Ø,68
CAV,yqtl,62
QV,wayq,58
RV,ptcp,56
SV,yqtl,54
_W_OV,Ø,48
OV,wayq,47
V,infc,44
V,ptcp,44
_W_SV,ptcp,42
QV,qtl,41
CSV,yqtl,38
CV,infc,38
CSV,Ø,37
CV,ptcp,36
_W_SV,yqtl,36
CSV,qtl,36
SV,infc,33
CAV,Ø,31
V,wqtl,30
OV,yqtl,30
QV,Ø,30
CAV,impv,30
_W_CV,qtl,28
SV,impv,26
CSV,wqtl,26
CAV,wayq,25
CSV,impv,24
QV,impv,23
_W_RV,qtl,22
QV,yqtl,20
AV,ptcp,20
SV,ptcp,20
CAV,wqtl,19
_W_SAV,qtl,19
IV,wayq,17
COV,Ø,17
QV,infc,16
_W_V,Ø,16
COV,yqtl,16
IV,Ø,16
COV,impv,15
SAV,Ø,15
_W_AV,yqtl,14
CSV,wayq,13
COV,qtl,13
ASV,Ø,12
_W_SV,wqtl,12
AOV,qtl,12
SAV,qtl,12
SV,wqtl,12
QAV,Ø,12
_W_SAV,Ø,11
_W_SV,infc,11
_W_V,yqtl,10
ASV,qtl,10
IV,qtl,9
OV,impv,9
_W_OAV,qtl,9
IV,yqtl,9
IIV,wayq,8
ISV,Ø,8
_W_QV,qtl,8
COV,wayq,7
_W_IV,wayq,7
IV,impv,6
_W_V,ptcp,6
_W_CV,Ø,6
OV,ptcp,6
_W_QV,Ø,6
COV,wqtl,6
ASV,wayq,6
QAV,qtl,6
_W_SOV,Ø,6
_W_OV,ptcp,6
OAV,qtl,6
QV,wqtl,6
_W_IV,wqtl,5
CAV,ptcp,5
_W_ISV,wayq,5
_W_AV,ptcp,5
_W_CV,yqtl,5
_W_AV,wqtl,5
RSV,Ø,5
_W_SV,impv,5
IOV,qtl,5
CIV,wayq,5
ISV,qtl,5
ISV,wayq,5
_W_OV,wqtl,5
