eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,RV,0.16,0.5,0.1,0.06,0.04,0.07,0.04,0.02,0.01
PAST..IND,_W_SV,0.29,0.19,0.44,0.01,0.0,0.01,0.01,0.04,0.0
PRES..IND,V,0.45,0.22,0.04,0.17,0.03,0.03,0.01,0.05,0.0
PRES..IND,AV,0.22,0.25,0.1,0.09,0.1,0.11,0.1,0.02,0.0
PRES.PERF.IND,V,0.4,0.2,0.13,0.07,0.09,0.02,0.05,0.03,0.0
PAST..IND,V,0.45,0.2,0.22,0.07,0.02,0.02,0.02,0.01,0.0
PRES.PERF.IND,RV,0.07,0.38,0.01,0.18,0.08,0.17,0.05,0.06,0.0
PAST..IND,AV,0.37,0.23,0.29,0.03,0.02,0.02,0.02,0.02,0.0
PAST.PERF.IND,RV,0.14,0.23,0.48,0.01,0.0,0.02,0.09,0.03,0.0
PAST..IND,_W_AV,0.4,0.27,0.3,0.02,0.0,0.01,0.0,0.02,0.0
PAST..IND,_KJ_V,0.27,0.11,0.39,0.1,0.02,0.04,0.04,0.02,0.0
PAST..IND,SV,0.31,0.33,0.19,0.04,0.03,0.01,0.06,0.02,0.0
PRES.PERF.IND,_KJ_V,0.24,0.15,0.02,0.29,0.21,0.06,0.0,0.03,0.0
PAST..IND,_W_OV,0.3,0.15,0.55,0.0,0.0,0.01,0.0,0.0,0.0
PAST..IND,_>CR_V,0.21,0.07,0.35,0.14,0.02,0.14,0.03,0.03,0.0
PRES.PERF.IND,SV,0.26,0.26,0.1,0.15,0.07,0.05,0.07,0.05,0.0
PRES..IND,_KJ_V,0.18,0.15,0.03,0.34,0.23,0.04,0.01,0.01,0.01
PRES..IND,SV,0.38,0.23,0.11,0.13,0.06,0.01,0.04,0.06,0.0
PAST..IND,_W_V,0.22,0.34,0.39,0.02,0.0,0.0,0.02,0.02,0.0
PRES.PERF.IND,AV,0.36,0.34,0.1,0.04,0.06,0.05,0.03,0.02,0.01
PRES.PERF.IND,QV,0.19,0.19,0.29,0.08,0.13,0.03,0.09,0.01,0.0
PAST.PERF.IND,_KJ_V,0.28,0.04,0.53,0.03,0.0,0.01,0.06,0.05,0.0
PAST..IND,OV,0.43,0.17,0.32,0.04,0.0,0.03,0.01,0.0,0.0
PRES..IND,_W_SV,0.55,0.19,0.03,0.11,0.02,0.03,0.02,0.05,0.0
PRES.PERF.IND,_W_SV,0.52,0.16,0.01,0.16,0.01,0.03,0.02,0.09,0.0
PRES..IND,RV,0.1,0.41,0.02,0.21,0.1,0.08,0.04,0.04,0.0
PRES.PERF.IND,OV,0.35,0.33,0.07,0.12,0.06,0.01,0.05,0.01,0.0
PRES..IND,_KJ_AV,0.4,0.08,0.02,0.24,0.23,0.01,0.0,0.01,0.0
PRES.PERF.IND,_KJ_SV,0.07,0.26,0.01,0.27,0.15,0.23,0.0,0.0,0.01
PRES.PERF.IND,_>CR_V,0.15,0.14,0.04,0.32,0.08,0.13,0.06,0.09,0.0
PRES..IND,OV,0.34,0.26,0.07,0.23,0.03,0.0,0.0,0.07,0.0
PRES.PERF.IND,_W_AV,0.59,0.19,0.1,0.09,0.0,0.03,0.0,0.0,0.0
