,V,RV,_KJ_V,_W_SV,SV,_W_V,_>R_V,_W_OV,OV,_KJ_SV,QV,_KJ_OV,IV,_>M_V,_W_RV,ISV,_W_IV,_W__>M_V,_W__KJ_V,RSV,_J<N/_V,_W_SOV,_KJ__>M_V,_>W_V,IIV,IOV,_W_QV,_<D_V,_W__>R_V,_W_ISV,_>M_IV,_LW_V,SOV,_>M_SV,QSV,__V,OSV,_LWL>_SV,_J<N/_OV,QOV,_>XR/_V,_>M_OV,_>R__>M_V,_LWL>_V,_W_OSV,_KJ__LWL>_V,_LM<N_V,_KJ_IV,_>W_SV,_KJ_VSV,_W__LW_V,_KJ_ISV,_>R_SV,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_QSV,ROV,_ZWLH/_OV,_PN_V,_KJ_QV,VSV,_<D_SV,_K_V,_<L_OV,__SV,_<QB/_V,_>LW_V,_KMW_V,_KJ__>M_SV,_KJ__>M_OV,_>W_QV,_BLT/_V,_KJ_SOV,_<L_V
PAST..IND,-34.2,3.55,-14.68,53.74,0.0,27.3,8.96,30.61,-2.27,-11.24,-14.71,-6.07,-3.81,-5.9,1.03,-1.61,-0.39,-2.84,-0.0,-1.71,0.24,-0.38,-0.6,-1.53,-2.46,-0.69,-0.5,-0.0,-0.0,1.61,-1.91,-0.6,0.0,0.0,-0.15,0.18,-0.85,0.0,-0.58,-0.58,-0.58,0.0,-0.58,-0.29,0.73,-0.29,-0.29,-0.29,0.73,0.73,-0.29,-0.0,-0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.37
PRES.PERF.IND,-1.48,0.24,4.64,-25.88,1.36,-6.22,-0.46,-6.86,8.21,11.5,7.81,8.22,5.65,4.63,-0.08,0.62,0.81,0.21,0.0,-0.86,1.0,-0.13,-0.13,-0.5,1.5,0.15,0.0,-0.16,0.0,-0.67,4.88,-0.69,-0.69,0.0,0.0,-0.46,-0.0,0.0,0.82,0.24,0.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.61,0.0,0.0,0.0,0.61,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0
PRES..IND,157.61,-82.86,1.15,-11.64,1.26,-23.67,-25.66,-9.07,0.19,0.0,-1.42,-1.04,0.0,1.2,-1.92,1.05,-0.86,3.4,-1.7,5.64,-1.07,0.77,0.14,3.4,1.18,0.0,-0.16,-0.0,-0.66,0.0,-0.67,-0.45,1.37,0.19,-0.45,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.29,0.42,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.42,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,-80.37,81.32,7.01,-0.83,-11.04,-10.43,6.05,-4.39,-8.93,0.05,9.52,0.4,-2.41,-0.31,1.08,-0.58,-0.0,0.0,1.9,-0.2,-0.21,-0.21,-0.21,0.22,0.0,0.24,2.4,0.27,1.5,0.0,0.0,4.18,0.0,0.35,2.05,0.46,0.0,1.72,0.65,1.72,3.27,0.0,0.0,0.8,0.0,2.18,0.0,0.0,0.0,0.0,2.18,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.09,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,2.35,-5.51,-0.8,-0.39,0.8,0.09,-0.73,-0.28,0.13,0.44,0.0,0.99,0.39,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,-0.31,-2.2,0.0,-0.9,-0.2,16.0,-0.76,-0.14,-0.14,-0.2,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,-2.61,-2.43,-0.43,-0.44,-0.1,16.62,-0.57,0.0,-0.0,1.09,0.25,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,1.53,-0.19,-0.6,-0.12,-0.78,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,-0.36,-0.12,0.0,-0.6,0.42,0.44,0.0,0.0,0.32,0.0,0.0,0.0,5.1,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,-1.59,-0.84,0.85,3.12,0.62,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,1.59,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0
past.PERF_PROG.IND,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
