eng_TAM,V,RV,_KJ_V,_W_SV,SV,_W_V,_>R_V,_W_OV,OV,_KJ_SV,QV,_KJ_OV,IV,_>M_V,_W_RV,ISV,_W_IV,_W__>M_V,_W__KJ_V,RSV,_J<N/_V,_W_SOV,_KJ__>M_V,_>W_V,IIV,IOV,_W_QV,_<D_V,_W__>R_V,_W_ISV,_>M_IV,_LW_V,SOV,_>M_SV,QSV,__V,OSV,_LWL>_SV,_J<N/_OV,QOV,_>XR/_V,_>M_OV,_>R__>M_V,_LWL>_V,_W_OSV,_KJ__LWL>_V,_LM<N_V,_KJ_IV,_>W_SV,_KJ_VSV,_W__LW_V,_KJ_ISV,_>R_SV,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_QSV,ROV,_ZWLH/_OV,_PN_V,_KJ_QV,VSV,_<D_SV,_K_V,_<L_OV,__SV,_<QB/_V,_>LW_V,_KMW_V,_KJ__>M_SV,_KJ__>M_OV,_>W_QV,_BLT/_V,_KJ_SOV,_<L_V
PAST..IND,3.54,4.29,12.45,5.62,12.86,8.68,18.6,14.95,32.74,123.73,241.12,342.0,273.4,456.33,241.12,822.2,513.5,2057.0,513.5,2057.0,587.0,1028.0,1371.0,4115.0,inf,2057.0,2057.0,1028.0,1028.0,587.0,inf,4115.0,1371.0,1371.0,2057.0,1371.0,inf,4115.0,inf,inf,inf,4115.0,inf,inf,2057.0,inf,inf,inf,2057.0,2057.0,inf,4115.0,4115.0,inf,inf,inf,4115.0,inf,4115.0,inf,inf,4115.0,inf,inf,inf,4115.0,inf,inf,inf,inf,4115.0,4115.0,inf,inf,4115.0
PRES.PERF.IND,2.73,4.66,6.95,21.63,11.26,19.83,28.42,49.09,16.83,26.37,35.22,55.05,64.39,74.94,391.33,260.56,260.56,391.33,587.5,2353.0,391.33,1176.0,1176.0,2353.0,391.33,783.67,1176.0,2353.0,1176.0,inf,293.25,inf,inf,2353.0,2353.0,inf,2353.0,inf,1176.0,2353.0,inf,1176.0,1176.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,2353.0,inf,inf,2353.0,inf,inf,inf,2353.0,inf,inf,2353.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2353.0,inf
PRES..IND,0.88,21.17,7.85,16.18,11.2,40.24,228.11,61.48,25.78,53.26,102.1,205.2,136.47,102.1,2061.0,228.11,1030.0,170.83,inf,170.83,inf,411.4,686.33,256.75,411.4,1030.0,2061.0,1030.0,inf,2061.0,inf,inf,514.5,1030.0,inf,2061.0,1030.0,inf,inf,inf,inf,inf,2061.0,2061.0,inf,inf,inf,2061.0,inf,inf,inf,2061.0,inf,inf,2061.0,inf,inf,2061.0,inf,inf,2061.0,inf,inf,inf,inf,inf,2061.0,inf,inf,2061.0,inf,inf,inf,inf,inf
PAST.PERF.IND,29.08,1.21,5.21,11.22,51.13,51.13,12.72,77.2,259.67,51.13,20.72,96.75,inf,259.67,155.4,inf,390.0,781.0,155.4,inf,inf,inf,inf,781.0,inf,781.0,194.5,781.0,259.67,inf,inf,155.4,inf,781.0,259.67,781.0,inf,390.0,781.0,390.0,259.67,inf,inf,781.0,inf,390.0,inf,inf,inf,inf,390.0,inf,inf,781.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,781.0,781.0,inf,inf,781.0,inf,inf,inf,inf,inf,inf,inf
FUT..IND,1.23,inf,22.0,16.25,7.62,12.8,inf,68.0,22.0,33.5,68.0,33.5,68.0,inf,inf,inf,22.0,inf,inf,inf,inf,inf,22.0,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,3.13,19.67,9.33,30.0,19.67,1.21,inf,61.0,61.0,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,8.17,26.5,17.33,17.33,17.33,1.04,inf,26.5,26.5,17.33,54.0,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,26.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,1.13,7.0,31.0,15.0,inf,5.4,31.0,31.0,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,31.0,inf,inf,inf,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,5.0,8.0,17.0,inf,8.0,8.0,inf,inf,17.0,inf,inf,inf,3.5,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.0,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,inf,inf,3.33,1.17,5.5,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
