eng_TAM,V,RV,_KJ_V,_W_SV,SV,_W_V,_>R_V,_W_OV,OV,_KJ_SV,QV,_KJ_OV,IV,_>M_V,_W_RV,ISV,_W_IV,_W__>M_V,_W__KJ_V,RSV,_J<N/_V,_W_SOV,_KJ__>M_V,_>W_V,IIV,IOV,_W_QV,_<D_V,_W__>R_V,_W_ISV,_>M_IV,_LW_V,SOV,_>M_SV,QSV,__V,OSV,_LWL>_SV,_J<N/_OV,QOV,_>XR/_V,_>M_OV,_>R__>M_V,_LWL>_V,_W_OSV,_KJ__LWL>_V,_LM<N_V,_KJ_IV,_>W_SV,_KJ_VSV,_W__LW_V,_KJ_ISV,_>R_SV,_W__KJ_OV,_W__>M_SV,_W__>M_OV,_W_QSV,ROV,_ZWLH/_OV,_PN_V,_KJ_QV,VSV,_<D_SV,_K_V,_<L_OV,__SV,_<QB/_V,_>LW_V,_KMW_V,_KJ__>M_SV,_KJ__>M_OV,_>W_QV,_BLT/_V,_KJ_SOV,_<L_V
PAST..IND,4.54,5.29,13.45,6.62,13.86,9.68,19.6,15.95,33.74,124.73,242.12,343.0,274.4,457.33,242.12,823.2,514.5,2058.0,514.5,2058.0,588.0,1029.0,1372.0,4116.0,inf,2058.0,2058.0,1029.0,1029.0,588.0,inf,4116.0,1372.0,1372.0,2058.0,1372.0,inf,4116.0,inf,inf,inf,4116.0,inf,inf,2058.0,inf,inf,inf,2058.0,2058.0,inf,4116.0,4116.0,inf,inf,inf,4116.0,inf,4116.0,inf,inf,4116.0,inf,inf,inf,4116.0,inf,inf,inf,inf,4116.0,4116.0,inf,inf,4116.0
PRES.PERF.IND,3.73,5.66,7.95,22.63,12.26,20.83,29.42,50.09,17.83,27.37,36.22,56.05,65.39,75.94,392.33,261.56,261.56,392.33,588.5,2354.0,392.33,1177.0,1177.0,2354.0,392.33,784.67,1177.0,2354.0,1177.0,inf,294.25,inf,inf,2354.0,2354.0,inf,2354.0,inf,1177.0,2354.0,inf,1177.0,1177.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,2354.0,inf,inf,2354.0,inf,inf,inf,2354.0,inf,inf,2354.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2354.0,inf
PRES..IND,1.88,22.17,8.85,17.18,12.2,41.24,229.11,62.48,26.78,54.26,103.1,206.2,137.47,103.1,2062.0,229.11,1031.0,171.83,inf,171.83,inf,412.4,687.33,257.75,412.4,1031.0,2062.0,1031.0,inf,2062.0,inf,inf,515.5,1031.0,inf,2062.0,1031.0,inf,inf,inf,inf,inf,2062.0,2062.0,inf,inf,inf,2062.0,inf,inf,inf,2062.0,inf,inf,2062.0,inf,inf,2062.0,inf,inf,2062.0,inf,inf,inf,inf,inf,2062.0,inf,inf,2062.0,inf,inf,inf,inf,inf
PAST.PERF.IND,30.08,2.21,6.21,12.22,52.13,52.13,13.72,78.2,260.67,52.13,21.72,97.75,inf,260.67,156.4,inf,391.0,782.0,156.4,inf,inf,inf,inf,782.0,inf,782.0,195.5,782.0,260.67,inf,inf,156.4,inf,782.0,260.67,782.0,inf,391.0,782.0,391.0,260.67,inf,inf,782.0,inf,391.0,inf,inf,inf,inf,391.0,inf,inf,782.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,782.0,782.0,inf,inf,782.0,inf,inf,inf,inf,inf,inf,inf
FUT..IND,2.23,inf,23.0,17.25,8.62,13.8,inf,69.0,23.0,34.5,69.0,34.5,69.0,inf,inf,inf,23.0,inf,inf,inf,inf,inf,23.0,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,4.13,20.67,10.33,31.0,20.67,2.21,inf,62.0,62.0,inf,inf,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,62.0,inf,inf,inf,inf,inf,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,9.17,27.5,18.33,18.33,18.33,2.04,inf,27.5,27.5,18.33,55.0,inf,inf,inf,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,2.13,8.0,32.0,16.0,inf,6.4,32.0,32.0,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,inf,inf,inf,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,6.0,9.0,18.0,inf,9.0,9.0,inf,inf,18.0,inf,inf,inf,4.5,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,18.0,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,inf,inf,4.33,2.17,6.5,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
