eng_TAM,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,1272,726,639,353,275,486,129,228,8,0
PRES.PERF.IND,994,324,108,296,289,151,142,36,13,1
PRES..IND,445,643,128,244,276,77,227,21,0,1
PAST.PERF.IND,329,293,64,36,9,37,2,11,1,0
FUT..IND,26,3,4,11,12,6,4,3,0,0
PAST..SUBJ,19,4,2,3,4,20,1,9,0,0
PRES..MOD,10,3,3,7,1,19,2,10,0,0
PRES..,18,1,2,0,4,6,0,1,0,0
PRES.PROG.IND,7,2,0,4,0,2,3,0,0,0
PAST.PROG.IND,1,3,6,2,0,1,0,0,0,0
..,1,0,0,0,3,0,1,0,0,0
past.PERF_PROG.IND,0,2,0,0,0,0,0,0,0,0
FUT.PERF.IND,0,0,2,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,1,0,0,0,0,0,0,0,0,0
