,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
,0,0,0,1,0,1,1,1
PAST..IND,0.04,-12.02,2.44,29.83,-5.64,-1.06,2.55,-0.0
PRES.PERF.IND,-4.75,10.08,-0.03,-5.93,1.96,0.84,-0.19,0.63
PRES..IND,67.11,0.02,-61.46,-10.57,-11.18,-1.15,-5.72,-0.16
PAST.PERF.IND,-109.09,3.23,73.61,-4.14,28.82,0.17,0.86,0.0
FUT..IND,2.69,-0.37,-5.06,0.91,-0.13,0.36,0.0,0.0
PAST..SUBJ,3.38,-2.19,-2.03,-0.28,-0.56,4.99,0.0,0.0
PRES..MOD,1.71,-0.14,-2.05,-0.13,0.15,1.13,0.0,0.0
PRES..,0.07,0.6,-0.09,-0.4,-0.2,0.0,0.76,0.0
PRES.PROG.IND,0.63,-0.46,-0.12,0.0,0.9,0.0,0.0,0.0
PAST.PROG.IND,0.1,0.15,-0.84,0.0,1.15,0.0,0.0,0.0
..,-0.0,-0.0,0.0,0.0,0.79,0.0,0.0,0.0
past.PERF_PROG.IND,-0.73,0.0,1.58,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,-0.36,0.0,0.0,0.0,0.0,2.09,0.0,0.0
