clause_rela,Main,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubAdv,SubMod,SubMod,SubArg
cltype_simp,x,Wx,x,Ø,x,x,Wx,Ø,Ø,Wx,Ø
eng_TAM,,,,,,,,,,,
PAST..IND,4.41,3.49,5.69,7.89,7.57,39.96,76.22,187.09,132.77,1029.0,4116.0
PRES.PERF.IND,3.78,10.02,6.26,5.2,5.07,23.08,51.17,65.39,147.12,2354.0,784.67
PRES..IND,2.37,11.21,21.26,4.15,6.53,79.31,60.65,85.92,147.29,inf,inf
PAST.PERF.IND,11.01,8.79,2.36,111.71,4.92,8.23,39.1,391.0,156.4,260.67,inf
FUT..IND,2.65,5.31,inf,3.63,6.9,69.0,inf,inf,inf,inf,inf
PAST..SUBJ,4.13,2.14,20.67,10.33,7.75,inf,62.0,inf,inf,inf,inf
PRES..MOD,6.11,1.9,55.0,18.33,7.86,27.5,18.33,inf,55.0,inf,inf
PRES..,3.56,5.33,6.4,8.0,8.0,inf,10.67,32.0,inf,inf,inf
PRES.PROG.IND,2.57,9.0,9.0,4.5,18.0,9.0,inf,inf,inf,inf,inf
PAST.PROG.IND,6.5,2.17,inf,inf,6.5,6.5,13.0,inf,inf,inf,inf
..,inf,inf,inf,1.67,5.0,inf,inf,inf,inf,inf,5.0
past.PERF_PROG.IND,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
